cycle,t,dt,lowstate_age,joint_id,q,dq,tau_est,q_cmd,dq_cmd,kp_cmd,kd_cmd,tau_cmd,flags,debug_0,debug_1,debug_2,debug_3,debug_4,debug_5,debug_6,debug_7,debug_8,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31
21,14263.4,0.00200668,0.000922024,2,0.324828,-0.00667382,-0.9375,0.324828,0,0,0.8,-1.2684,4,0.324934,-0.00104841,0.324828,-0.00667382,0.000106076,0.0056254,-2.33321,1.06481,-1.2684,0.00011443,0.0143123,0.324212,-0.0837152,5.78614e-05,-0.0144653,0.324326,0.324931,-0.00108208,-0.0694028,0.290853,-0.00891315,-0.033473,0.0604897,-9.63411,-1.2684,-1.2684,0.212164,0.645206,0,0,0,0
22,14263.5,0.00200629,0.000855172,2,0.324796,-0.00779576,-1.125,0.324796,0,0,0.8,-1.36394,4,0.324931,-0.00108219,0.324796,-0.00779576,0.000134862,0.00671358,-2.49583,1.13189,-1.36394,0.000119901,0.0149973,0.324149,-0.0886711,6.05973e-05,-0.0151493,0.324269,0.324928,-0.00111313,-0.0736738,0.288475,-0.00949511,-0.0357941,0.0641787,-10.0166,-1.36394,-1.36394,0.213478,0.663737,0,0,0,0
23,14263.5,0.00200706,0.00083192,2,0.32478,-0.00876081,-0.5625,0.32478,0,0,0.8,-1.47182,4,0.324928,-0.00111324,0.32478,-0.00876081,0.000147609,0.00764758,-2.67154,1.19972,-1.47182,0.000125823,0.0157334,0.324082,-0.093707,6.35652e-05,-0.0158913,0.324207,0.324924,-0.00114224,-0.0779736,0.285905,-0.0101184,-0.0383022,0.0678552,-10.4508,-1.47182,-1.47182,0.214825,0.677187,0,0,0,0
24,14263.5,0.0020082,0.000841486,2,0.324748,-0.00991234,-1.03125,0.324748,0,0,0.8,-1.59182,4,0.324924,-0.00114236,0.324748,-0.00991234,0.000176297,0.00876998,-2.90866,1.26893,-1.59182,0.000134486,0.0165183,0.32401,-0.0988752,6.83784e-05,-0.0170946,0.324144,0.324921,-0.00117543,-0.0823569,0.282438,-0.0109468,-0.0417059,0.0714101,-10.9355,-1.59182,-1.63973,0.216193,0.685052,0,0,0,0
25,14263.5,0.00200883,0.000817949,2,0.3247,-0.0115046,-1.3125,0.3247,0,0,0.8,-1.71182,4,0.324921,-0.00116984,0.3247,-0.0115046,0.000220872,0.0103347,-3.13181,1.34092,-1.71182,0.000142729,0.0173147,0.323936,-0.104228,7.27316e-05,-0.0181829,0.324078,0.324918,-0.00119304,-0.0869131,0.279175,-0.0117265,-0.0449029,0.0751866,-11.4194,-1.71182,-1.79089,0.217573,0.688222,0,0,0,0
26,14263.5,0.00201033,0.000878466,2,0.324668,-0.0125832,-1.125,0.324668,0,0,0.8,-1.83182,4,0.324917,-0.00119314,0.324668,-0.0125832,0.000249448,0.0113901,-3.31801,1.41625,-1.83182,0.000149076,0.0180834,0.323859,-0.109752,7.59426e-05,-0.0189856,0.324008,0.324914,-0.00120925,-0.0916686,0.276452,-0.0123774,-0.0475557,0.0792911,-11.9024,-1.83182,-1.90175,0.218961,0.692817,0,0,0,0
27,14263.5,0.00201003,0.000846545,2,0.32462,-0.0141359,-0.75,0.32462,0,0,0.8,-1.95182,4,0.324914,-0.00120931,0.32462,-0.0141359,0.000293929,0.0129266,-3.54249,1.49375,-1.95182,0.000157055,0.0189274,0.323777,-0.115473,8.01424e-05,-0.0200356,0.323934,0.324911,-0.00121768,-0.0965461,0.27317,-0.0131503,-0.0507642,0.0833958,-12.3849,-1.95182,-2.04873,0.220363,0.703424,0,0,0,0
28,14263.5,0.00201138,0.000939474,2,0.324572,-0.015917,-1.96875,0.324572,0,0,0.8,-2.07182,4,0.324911,-0.00121769,0.324572,-0.015917,0.000338413,0.0146993,-3.75164,1.57357,-2.07182,0.000164291,0.019765,0.323691,-0.121316,8.38553e-05,-0.0209638,0.323856,0.324907,-0.00121767,-0.101551,0.270111,-0.0138637,-0.0537444,0.0876872,-12.8667,-2.07182,-2.17808,0.221793,0.719448,0,0,0,0
29,14263.5,0.002011,0.000903532,2,0.324492,-0.0181578,-1.59375,0.324492,0,0,0.8,-2.19182,4,0.324907,-0.00121764,0.324492,-0.0181578,0.000414808,0.0169402,-3.96306,1.65593,-2.19182,0.000171708,0.0205867,0.323601,-0.127284,8.771e-05,-0.0219275,0.323773,0.324904,-0.00120865,-0.106698,0.26702,-0.0145763,-0.056753,0.0921214,-13.3479,-2.19182,-2.30713,0.22326,0.740274,0,0,0,0
30,14263.5,0.00200962,0.00094305,2,0.324444,-0.019622,-1.5,0.324444,0,0,0.8,-2.31182,4,0.324904,-0.00120858,0.324444,-0.019622,0.000459295,0.0184134,-4.1045,1.74178,-2.31182,0.00017579,0.0213608,0.323506,-0.133393,8.94056e-05,-0.0223514,0.323682,0.3249,-0.00119011,-0.112033,0.26495,-0.015044,-0.0587315,0.0969886,-13.8281,-2.31182,-2.36272,0.224772,0.765298,0,0,0,0
31,14263.5,0.00201314,0.00103778,2,0.324269,-0.0250176,-1.6875,0.324269,0,0,0.8,-2.43182,4,0.3249,-0.00118994,0.324269,-0.0250176,0.000631626,0.0238277,-4.31979,1.82945,-2.43182,0.000183212,0.0222317,0.323402,-0.139689,9.31988e-05,-0.0232997,0.323586,0.324897,-0.00116151,-0.117457,0.261802,-0.015751,-0.0617835,0.101706,-14.3079,-2.43182,-2.49034,0.226342,0.794013,0,0,0,0
