Listening to rt/lowstate on interface eth0, domain 0
Target joint: 2 (from controller.target_joint)
t_s,joint_id,q_rad,dq_rad_s,tau_est_nm,lowstate_age_s
3267.989770,2,-0.285617,0.000169,-0.187500,0.001599
3268.090005,2,-0.285617,-0.000002,-0.281250,0.001838
3268.190348,2,-0.285617,-0.000125,0.187500,0.000133
3268.290520,2,-0.285601,0.000185,-0.093750,0.000551
3268.390685,2,-0.285617,-0.000060,0.281250,0.000660
3268.490865,2,-0.285617,-0.000069,0.093750,0.000973
3268.591024,2,-0.285601,0.000401,0.000000,0.001019
3268.691212,2,-0.285617,-0.000046,0.468750,0.001319
3268.791381,2,-0.285617,-0.000119,-0.843750,0.001629
3268.891629,2,-0.285633,-0.000547,-0.187500,0.001702
3268.991827,2,-0.285617,-0.000170,-0.281250,0.001746
3269.092001,2,-0.285617,-0.000077,0.000000,0.001949
3269.192152,2,-0.285617,-0.000104,0.000000,0.000199
3269.292321,2,-0.285601,0.000228,-0.093750,0.000422
3269.392525,2,-0.285633,-0.000060,0.468750,0.000742
3269.492796,2,-0.285617,-0.000070,0.187500,0.000808
3269.593206,2,-0.285617,0.000017,-0.281250,0.001093
3269.693557,2,-0.285601,0.000400,0.468750,0.001610
3269.793808,2,-0.285617,-0.000070,0.375000,0.001678
3269.894166,2,-0.285617,-0.000123,-0.375000,0.002079
3269.994359,2,-0.285617,-0.000209,-0.093750,0.000281
3270.094621,2,-0.285617,-0.000189,0.375000,0.000708
3270.194824,2,-0.285617,-0.000198,-0.375000,0.000905
3270.295138,2,-0.285617,-0.000133,0.000000,0.001142
3270.395469,2,-0.285633,-0.000602,-0.281250,0.001175
3270.495700,2,-0.285617,-0.000173,0.187500,0.001707
3270.596004,2,-0.285601,0.000218,-0.843750,0.000021
3270.696398,2,-0.285617,-0.000048,-0.843750,0.000456
3270.796765,2,-0.285617,-0.000080,0.000000,0.000472
3270.897145,2,-0.285617,-0.000095,0.187500,0.000994
3270.997761,2,-0.285617,-0.000003,-0.093750,0.001342
3271.098076,2,-0.285617,-0.000112,0.281250,0.001813
3271.198370,2,-0.285617,0.000027,0.187500,0.000489
3271.298651,2,-0.285617,-0.000025,0.187500,0.000651
3271.398867,2,-0.285617,-0.000087,0.000000,0.000588
3271.499254,2,-0.285617,-0.000000,0.281250,0.000967
3271.599480,2,-0.285601,0.000098,-0.281250,0.001321
3271.699789,2,-0.285617,-0.000020,0.281250,0.001698
3271.799998,2,-0.285617,0.000169,-0.281250,0.001890
3271.900374,2,-0.285617,-0.000097,-0.187500,0.000091
3272.000618,2,-0.285617,-0.000087,-0.093750,0.000283
3272.100968,2,-0.285617,-0.000133,0.187500,0.000850
3272.201324,2,-0.285617,-0.000078,-0.281250,0.001012
3272.301662,2,-0.285617,-0.000112,-0.843750,0.001596
3272.401891,2,-0.285601,0.000400,-0.187500,0.001715
3272.502169,2,-0.285617,-0.000084,-0.843750,0.001809
3272.602446,2,-0.285617,-0.000079,-0.281250,0.000372
3272.702598,2,-0.285617,-0.000084,0.000000,0.000530
3272.802895,2,-0.285601,0.000190,0.281250,0.000853
3272.903114,2,-0.285585,0.000904,-0.281250,0.001383
3273.003238,2,-0.285617,-0.000113,-0.093750,0.001429
3273.103423,2,-0.285617,-0.000073,0.281250,0.001710
3273.203575,2,-0.285617,-0.000039,-0.187500,0.001433
3273.303870,2,-0.285617,0.000032,-0.375000,0.001873
3273.404104,2,-0.285617,0.000250,-0.281250,0.000040
3273.504449,2,-0.285617,-0.000065,-0.187500,0.000289
3273.604633,2,-0.285617,-0.000041,0.000000,0.000820
3273.704817,2,-0.285617,-0.000128,0.000000,0.000701
3273.805163,2,-0.285601,0.000424,-0.281250,0.001185
3273.905556,2,-0.285601,0.000340,0.000000,0.001171
3274.005761,2,-0.285617,-0.000131,0.000000,0.001580
3274.106039,2,-0.285617,-0.000081,0.468750,0.001834
3274.206403,2,-0.285617,-0.000058,0.187500,0.000332
3274.306658,2,-0.285617,-0.000116,-0.468750,0.000481
3274.406990,2,-0.285617,-0.000152,-0.562500,0.000995
3274.507396,2,-0.285617,-0.000113,-0.187500,0.001266
3274.607657,2,-0.285617,-0.000206,0.281250,0.001556
3274.707821,2,-0.285601,0.000419,0.468750,0.001942
3274.808057,2,-0.285617,0.000452,0.375000,0.000050
3274.908310,2,-0.285617,-0.000039,0.093750,0.000157
3275.008549,2,-0.285617,0.000106,0.187500,0.000452
3275.108812,2,-0.285617,-0.000002,0.375000,0.000809
3275.209142,2,-0.285617,0.000005,0.000000,0.000986
3275.309347,2,-0.285601,0.000220,-0.281250,0.001385
3275.409568,2,-0.285601,0.000337,-0.093750,0.001739
3275.509876,2,-0.285617,-0.000109,-0.093750,0.001637
3275.610114,2,-0.285617,-0.000098,-0.093750,0.000081
3275.710459,2,-0.285601,0.000542,0.187500,0.000532
3275.810833,2,-0.285617,0.000017,-0.281250,0.000569
3275.911138,2,-0.285617,-0.000035,-0.281250,0.001063
3276.011485,2,-0.285617,-0.000100,-0.375000,0.001296
3276.111906,2,-0.285617,0.000058,0.093750,0.001758
3276.212126,2,-0.285617,-0.000160,-0.093750,0.000066
3276.312275,2,-0.285617,-0.000137,-1.031250,0.000447
3276.412478,2,-0.285617,-0.000087,-0.656250,0.000717
3276.512642,2,-0.285601,0.000137,-0.468750,0.000795
3276.612905,2,-0.285601,0.000268,-0.375000,0.001046
3276.713154,2,-0.285617,-0.000119,0.375000,0.001279
3276.813441,2,-0.285617,-0.000191,-0.187500,0.001559
3276.913603,2,-0.285601,0.000192,-0.375000,0.001736
3277.013857,2,-0.285617,-0.000061,0.000000,0.001855
3277.114034,2,-0.285617,0.000146,0.000000,0.000116
3277.214328,2,-0.285617,-0.000150,0.000000,0.002425
3277.314540,2,-0.285617,-0.000021,0.000000,0.000453
3277.414900,2,-0.285617,-0.000094,-0.093750,0.000393
3277.515159,2,-0.285633,-0.000600,-0.093750,0.000729
3277.615449,2,-0.285601,0.000532,0.000000,0.001083
3277.715721,2,-0.285601,0.000473,-0.093750,0.001313
3277.815966,2,-0.285601,0.000523,0.000000,0.001541
3277.916334,2,-0.285617,-0.000151,0.000000,0.002016
3278.016710,2,-0.285617,-0.000018,0.093750,0.000415
3278.117060,2,-0.285601,0.000117,0.187500,0.000856
3278.217397,2,-0.285617,0.000154,-0.281250,0.001102
3278.317652,2,-0.285633,-0.000660,-0.093750,0.001297
3278.417976,2,-0.285617,-0.000134,0.000000,0.001933
3278.518351,2,-0.285601,0.000196,-0.375000,0.000186
3278.618568,2,-0.285617,-0.000176,-0.093750,0.000318
3278.718763,2,-0.285617,-0.000048,-0.656250,0.001022
3278.819044,2,-0.285617,-0.000075,0.093750,0.000646
3278.919186,2,-0.285601,0.000329,0.375000,0.001153
3279.019365,2,-0.285617,-0.000095,0.375000,0.001250
3279.119629,2,-0.285617,-0.000166,-0.093750,0.001562
3279.219851,2,-0.285617,0.000005,0.000000,0.001600
3279.320111,2,-0.285617,0.000151,0.468750,0.001849
3279.420368,2,-0.285617,-0.000113,0.093750,0.000198
3279.520517,2,-0.285617,-0.000155,-0.843750,0.000425
3279.620753,2,-0.285633,-0.000373,-0.468750,0.000720
3279.721048,2,-0.285633,-0.000029,-0.468750,0.000887
