t,q,dq,q_next,dq_next,qacc,r_star_q,r_star_dq,r_star_next_q,r_star_next_dq,x_hat_q,x_hat_dq,x_hat_next_q,x_hat_next_dq,eta_q,eta_dq,eta_filter_next_q,eta_filter_next_dq,x_bar_q,x_bar_dq,x_bar_next_q,x_bar_next_dq,x_tilde_q,x_tilde_dq,r_d_q,r_d_dq,e_q_t,e_dq_t,u_star,u_t,d_in_t,u_plant_raw_t,u_plant_t,observer_qacc,observer_tau_applied
0.4,1.34867940800693,0.354831621454079,1.34934488791593,0.332739954500955,-11.0458334765619,1.34874339692119,0.353718080041246,1.34940672470192,0.331663890361989,1.34867940800693,0.354831621454079,1.34934488791593,0.332739954500955,0,0,0,0,1.34867940800693,0.354831621454079,1.34934488791593,0.332739954500955,0,0,1.35500759775044,0.354151755483271,0.00632818974351279,-0.000679865970807603,1.63649837356121,1.63309174583879,0,1.63309174583879,1.63309174583879,-11.0458334765619,1.63309174583879
0.402,1.34934488791593,0.332739954500955,1.34996218701729,0.308649550679287,-12.0452019108342,1.34940672470192,0.331663890361989,1.35002194410328,0.307609700682732,1.34934488791593,0.332739954500955,1.34996218701729,0.308649550679287,0,0,0,0,1.34934488791593,0.332739954500955,1.34996218701729,0.308649550679287,0,0,1.35467787991495,0.332028816492122,0.00533299199901727,-0.000711138008833045,1.37706902573061,1.37377743558549,0,1.37377743558549,1.37377743558549,-12.0452019108342,1.37377743558549
0.404,1.34996218701729,0.308649550679287,1.35052730775195,0.282560367331406,-13.0445916739403,1.35002194410328,0.307609700682732,1.35058505512529,0.281555511003475,1.34996218701729,0.308649550679287,1.35052730775195,0.282560367331406,0,0,0,0,1.34996218701729,0.308649550679287,1.35052730775195,0.282560367331406,0,0,1.35429221832845,0.307905335052166,0.00433003131115561,-0.000744215627120515,1.11559271719218,1.11241225961229,0,1.11241225961229,1.11241225961229,-13.0445916739403,1.11241225961229
0.406,1.35052730775195,0.282560367331406,1.35103625247846,0.254472363251097,-14.0440020401547,1.35058505512529,0.281555511003475,1.35109205776794,0.253501321324217,1.35052730775195,0.282560367331406,1.35103625247846,0.254472363251097,0,0,0,0,1.35052730775195,0.282560367331406,1.35103625247846,0.254472363251097,0,0,1.35384660008439,0.281781310269874,0.00331929233243744,-0.000779057061532196,0.85206607616138,0.848992979326155,0,0.848992979326155,0.848992979326155,-14.0440020401547,0.848992979326155
0.408,1.35103625247846,0.254472363251097,1.35148502347572,0.224385498632411,-15.0434323093429,1.35109205776794,0.253501321324217,1.35153895203123,0.22344713164496,1.35103625247846,0.254472363251097,1.35148502347572,0.224385498632411,0,0,0,0,1.35103625247846,0.254472363251097,1.35148502347572,0.224385498632411,0,0,1.35333701229688,0.253656741253144,0.00230075981842681,-0.000815621997952487,0.586485736246069,0.583516356827826,0,0.583516356827826,0.583516356827826,-15.0434323093429,0.583516356827826
0.41,1.35148502347572,0.224385498632411,1.35186962294576,0.192299735020483,-16.0428818059639,1.35153895203123,0.22344713164496,1.35192173791516,0.191392941965703,1.35148502347572,0.224385498632411,1.35186962294576,0.192299735020483,0,0,0,0,1.35148502347572,0.224385498632411,1.35186962294576,0.192299735020483,0,0,1.35275944206595,0.223531627108903,0.00127441859023336,-0.00085387152350816,0.31884832737961,0.315979146037527,0,0.315979146037527,0.315979146037527,-16.0428818059639,0.315979146037527
0.412,1.35186962294576,0.192299735020483,1.35218605301629,0.158215035264317,-17.042349878083,1.35192173791516,0.191392941965703,1.35223641541973,0.157338752286446,1.35186962294576,0.192299735020483,1.35218605301629,0.158215035264317,0,0,0,0,1.35186962294576,0.192299735020483,1.35218605301629,0.158215035264317,0,0,1.35210987644033,0.191405966940522,0.000240253494564469,-0.000893768079960888,0.0491504660899154,0.0463780831474658,0,0.0463780831474658,0.0463780831474658,-17.042349878083,0.0463780831474658
0.414,1.35218605301629,0.158215035264317,1.35243031574323,0.122131363471533,-18.0418358963921,1.35223641541973,0.157338752286446,1.35247898454495,0.121284562607188,1.35218605301629,0.158215035264317,1.35243031574323,0.122131363471533,0,0,0,0,1.35218605301629,0.158215035264317,1.35243031574323,0.122131363471533,0,0,1.35138430237763,0.15727975984507,-0.000801750638656173,-0.0009352754192474,-0.222611254890393,-0.225290123597058,0,-0.225290123597058,-0.225290123597058,-18.0418358963921,-0.225290123597058
0.416,1.35243031574323,0.122131363471533,1.35259841311316,0.0840486849647119,-19.0413392534104,1.35247898454495,0.121284562607188,1.3526454452908,0.0832303729279311,1.35243031574323,0.122131363471533,1.35259841311316,0.0840486849647119,0,0,0,0,1.35243031574323,0.122131363471533,1.35259841311316,0.0840486849647119,0,0,1.35057870670197,0.121153004910367,-0.00185160904125903,-0.000978358561165543,-0.496440277715729,-0.499028804828327,0,-0.499028804828327,-0.499028804828327,-19.0413392534104,-0.499028804828327
0.418,1.35259841311316,0.0840486849647119,1.352686455425,0.044021155918827,-20.0137645229425,1.3526454452908,0.0832303729279313,1.35273190603666,0.0432303729279313,1.35259841311316,0.0840486849647119,1.352686455425,0.044021155918827,0,0,0,0,1.35259841311316,0.0840486849647119,1.352686455425,0.044021155918827,0,0,1.34971375995096,0.0830274100967116,-0.00288465316220043,-0.0010212748680003,-0.765891519320531,-0.768392769796118,0,-0.768392769796118,-0.768392769796118,-20.0137645229425,-0.768392769796118
