cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
60,0.12,2,0.778729617596,-0.00539225852117,0,120,5,-0.0186762359317,0,-0.0186762359317,0,0.778729600095,-0.00539225853287,0.778789298269,-0.00308934750195,-5.96981746621e-05,-0.00230291103092,120,5,0,0.753079472312,-0.730539813018,-0.0257098259575,-0.727450465516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
65,0.13,1,-0.522931993008,0.00607712427154,0,120,5,0.0292507763334,0,0.0292507763334,0,-0.52293199472,0.00607712443976,-0.523026546782,0.0024962595795,9.45520611098e-05,0.00358086486025,120,5,0,-0.496025293037,0.700836072103,0.0270012537446,0.698339812523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
65,0.13,2,0.778665006161,-0.00759640568867,0,120,5,-0.0254295410668,0,-0.0254295410668,0,0.778664993396,-0.00759640567458,0.778749999214,-0.00455033075761,-8.5005818271e-05,-0.00304607491697,120,5,0,0.745031615433,-0.876045099874,-0.0337183837811,-0.871494769116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
70,0.14,1,-0.522861421108,0.00805168133229,0,120,5,0.0383446700872,0,0.0383446700872,0,-0.522861425781,0.00805168154155,-0.522995215697,0.00359381744359,0.000133789916138,0.00445786409796,120,5,0,-0.488550511618,0.786613922568,0.0344447040785,0.783020105124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
70,0.14,2,0.778576791286,-0.0100646018982,0,120,5,-0.0320094095073,0,-0.0320094095073,0,0.77857678222,-0.0100646020713,0.778693379492,-0.00646083692965,-0.000116597272068,-0.00360376514167,120,5,0,0.735688138565,-0.983267412547,-0.0430052409274,-0.976806575617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
75,0.15,1,-0.522771120071,0.00997874327004,0,120,5,0.0468230851249,0,0.0468230851249,0,-0.522771117459,0.00997874342061,-0.522951373982,0.00494022008796,0.000180256522973,0.00503852333264,120,5,0,-0.480475511525,0.818112691796,0.0424758624561,0.813172471708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
75,0.15,2,0.778463900089,-0.0124734295532,0,120,5,-0.0368128795585,0,-0.0368128795585,0,0.778463896816,-0.012473429442,0.778615306934,-0.00874461791818,-0.000151410118543,-0.00372881152379,120,5,0,0.725594388356,-1.0226408739,-0.053020918578,-1.01389625599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
80,0.16,1,-0.522660791874,0.0122223133221,0,120,5,0.0565109612797,0,0.0565109612797,0,-0.522660815995,0.0122223135766,-0.52289285671,0.00648967713244,0.000232040714652,0.00573263644415,120,5,0,-0.472145883654,0.860165663538,0.0507469730555,0.853675986406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
80,0.16,2,0.778326034546,-0.0152778923512,0,120,5,-0.04238221577,0,-0.04238221577,0,0.778326019985,-0.0152778921592,0.778512856008,-0.0112851642987,-0.00018683602364,-0.00399272786043,120,5,0,0.715182353427,-1.07520708831,-0.0633305025817,-1.06392192402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
85,0.17,1,-0.522524178028,0.0152138974518,0,120,5,0.0695610991525,0,0.0695610991525,0,-0.522524165105,0.0152138970165,-0.522817178695,0.0083336936172,0.000293013589164,0.00688020339931,120,5,0,-0.463115552422,0.949686523839,0.0597016262725,0.941352830222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
