layer,case,label,signal,fs_hz,peak_freq_hz_0p5_100,peak_psd,bandpower_0p5_3hz,bandpower_3_15hz,bandpower_15_80hz
structure,O5U1_center_feedback_only,O5+U1: center feedback only,hip_eta_u,500.0000000000551,0.9765625000001076,0.0,0.0,0.0,0.0
structure,O5U1_center_feedback_only,O5+U1: center feedback only,knee_eta_u,500.0000000000551,0.9765625000001076,0.0,0.0,0.0,0.0
structure,O5U1_input_compensation_only,O5+U1: input compensation only,coord_error,500.0000000000551,0.9765625000001076,0.00015297916902733163,0.0001127928373432761,5.788418965557389e-07,5.1395182971260106e-08
structure,O5U1_input_compensation_only,O5+U1: input compensation only,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.011780543370766013,0.0004352038558131632,4.314365053748798e-05,0.03216456618230254
structure,O5U1_input_compensation_only,O5+U1: input compensation only,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.007184262801095102,0.00017426534550191698,1.1644674979306286e-05,0.021489084826650847
structure,O5U1_input_compensation_only,O5+U1: input compensation only,hip_eta_u,500.0000000000551,20.50781250000226,1.1843322392805093e-06,5.635530980537584e-07,1.5028640400825347e-08,3.0552349208199504e-06
structure,O5U1_input_compensation_only,O5+U1: input compensation only,knee_eta_u,500.0000000000551,20.50781250000226,2.079603728023376e-06,1.4801728663647191e-06,4.853710179760209e-08,5.348807705374322e-06
structure,O5U1_full_eid,O5+U1: full EID,coord_error,500.0000000000551,0.9765625000001076,0.0001647558425394079,0.00011121664814035047,7.73550913564052e-07,6.823771769412805e-08
structure,O5U1_full_eid,O5+U1: full EID,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.01149632397328277,0.00037061713181651837,5.688340784078991e-05,0.0323137043859242
structure,O5U1_full_eid,O5+U1: full EID,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.00796516641301012,0.00016253210487289304,2.460524577613615e-05,0.023358994753740273
structure,O5U1_full_eid,O5+U1: full EID,hip_eta_u,500.0000000000551,20.50781250000226,1.2572370497625643e-06,5.345623683468742e-07,2.5426170802634825e-08,3.282186234394592e-06
structure,O5U1_full_eid,O5+U1: full EID,knee_eta_u,500.0000000000551,20.50781250000226,2.2080685412405275e-06,1.384295781611891e-06,6.064209209253544e-08,5.745430620268486e-06
residual,O4U1_lambda_0,O4+U1: lambda=0,coord_error,500.0000000000551,0.9765625000001076,0.00016380729835175874,0.0001108982959930457,7.605051938699808e-07,6.888028042404333e-08
residual,O4U1_lambda_0,O4+U1: lambda=0,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.011495255630248032,0.00037163487957690434,5.6845640504763284e-05,0.0323235081363943
residual,O4U1_lambda_0,O4+U1: lambda=0,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.008034646708157565,0.00016270608616116342,2.4701653739389187e-05,0.023538131321300237
residual,O4U1_lambda_0,O4+U1: lambda=0,hip_eta_u,500.0000000000551,20.50781250000226,1.3794129081186444e-06,5.357147172435212e-07,2.5545780535527166e-08,3.5937221577751946e-06
residual,O4U1_lambda_0,O4+U1: lambda=0,knee_eta_u,500.0000000000551,20.50781250000226,2.4173507069932813e-06,1.3876904722465448e-06,6.104001409485326e-08,6.277528286888765e-06
residual,O4U1_lambda_0p5,O4+U1: lambda=0.5,coord_error,500.0000000000551,0.9765625000001076,0.00016564000299287937,0.00011102290685382826,7.972128557623827e-07,6.834196907189873e-08
residual,O4U1_lambda_0p5,O4+U1: lambda=0.5,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.011491525318000732,0.0003628772638648503,5.5383046539284425e-05,0.03233594993988874
residual,O4U1_lambda_0p5,O4+U1: lambda=0.5,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.007945218643179755,0.0001608206298350307,2.295346516624425e-05,0.02323657823461372
residual,O4U1_lambda_0p5,O4+U1: lambda=0.5,hip_eta_u,500.0000000000551,20.50781250000226,1.1753355334349722e-06,5.447505578202399e-07,2.4781539403800592e-08,3.0722562717869475e-06
residual,O4U1_lambda_0p5,O4+U1: lambda=0.5,knee_eta_u,500.0000000000551,20.50781250000226,2.0642367500125676e-06,1.402503102964578e-06,5.935167779473753e-08,5.377348421534866e-06
residual,O4U1_lambda_1,O4+U1: lambda=1,coord_error,500.0000000000551,0.9765625000001076,0.00016791805461086954,0.00011133431046393604,8.429373793625397e-07,6.767688915999318e-08
residual,O4U1_lambda_1,O4+U1: lambda=1,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.011490211298999858,0.00035421233457988633,5.493254608451572e-05,0.03234527793028983
residual,O4U1_lambda_1,O4+U1: lambda=1,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.00784346361992785,0.000159024511530288,2.3229774275551163e-05,0.022925659744759234
residual,O4U1_lambda_1,O4+U1: lambda=1,hip_eta_u,500.0000000000551,20.50781250000226,1.0015343088823595e-06,5.537900439731424e-07,2.5387283033713488e-08,2.627256057571302e-06
residual,O4U1_lambda_1,O4+U1: lambda=1,knee_eta_u,500.0000000000551,0.9765625000001076,2.0246142096126414e-06,1.4175662488508443e-06,5.992275922643099e-08,4.60755196089346e-06
residual,O5U1_lambda_0,O5+U1: lambda=0,coord_error,500.0000000000551,0.9765625000001076,0.0001617841127626589,0.0001116817466408879,7.042000959349191e-07,6.847007738797038e-08
