cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
13,0.026,1,-0.399999976158,1.64481280081e-05,0,120,3,5.63125403783e-05,0,5.63125403783e-05,5.63125403783e-05,200,0,-0.399999983476,1.64481275747e-05,-0.40000003302,-4.82294589581e-08,4.95441402903e-08,1.64963570337e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.026,2,0.829999983311,-1.31585020426e-05,0,70,4,-5.50999968391e-05,0,-5.50999968391e-05,-5.50999968391e-05,300,0,0.829999986781,-1.31585020693e-05,0.83000005316,-6.05865301326e-07,-6.63789955224e-08,-1.2552636768e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.028,1,-0.399999946356,1.55468733283e-05,0,120,3,5.57177073046e-05,0,5.57177073046e-05,5.57177073046e-05,200,0,-0.399999951333,1.55468735856e-05,-0.400000032204,4.08228191922e-07,8.08710527433e-08,1.51386453936e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.028,2,0.829999983311,-1.24374992083e-05,0,70,4,-4.86220726655e-05,0,-4.86220726655e-05,-4.86220726655e-05,300,0,0.829999961066,-1.24374988775e-05,0.830000050253,-1.45347199008e-06,-8.91867466546e-08,-1.09840268874e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.03,1,-0.399999916553,1.3779253095e-05,0,120,3,5.25128259358e-05,0,5.25128259358e-05,5.25128259358e-05,200,0,-0.399999921867,1.37792528584e-05,-0.400000030535,8.34254299384e-07,1.08668316456e-07,1.2944998559e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.03,2,0.829999923706,-1.10234022941e-05,0,70,4,-4.38042217761e-05,0,-4.38042217761e-05,-4.38042217761e-05,300,0,0.829999937494,-1.10234022949e-05,0.830000045834,-2.20958365482e-06,-1.08340197258e-07,-8.81381864004e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.032,1,-0.399999886751,1.12150401037e-05,0,120,3,4.69347453989e-05,0,4.69347453989e-05,4.69347453989e-05,200,0,-0.399999896748,1.12150398956e-05,-0.400000028088,1.2236059097e-06,1.31340507026e-07,9.99143398593e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.032,2,0.829999923706,-8.97203153727e-06,0,70,4,-3.24877486155e-05,0,-3.24877486155e-05,-3.24877486155e-05,300,0,0.829999917398,-8.97203192333e-06,0.830000040061,-2.88631032758e-06,-1.22663098567e-07,-6.08572159574e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.034,1,-0.399999886751,7.95889627625e-06,0,120,3,3.58377039694e-05,0,3.58377039694e-05,3.58377039694e-05,200,0,-0.399999877469,7.95889645085e-06,-0.400000025002,1.54303323374e-06,1.47533135597e-07,6.41586321711e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.034,2,0.829999923706,-6.36711729385e-06,0,70,4,-1.95429564698e-05,0,-1.95429564698e-05,-1.95429564698e-05,300,0,0.829999901975,-6.36711716582e-06,0.830000033264,-3.39864166297e-06,-1.31288771299e-07,-2.96847550285e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.036,1,-0.399999856949,4.15037175117e-06,0,120,3,2.69100780129e-05,0,2.69100780129e-05,2.69100780129e-05,200,0,-0.399999865281,4.15037152883e-06,-0.400000021479,1.76155270627e-06,1.56197891343e-07,2.38881882256e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
