cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
11,0.022,2,0.267624974251,-3.58353531738e-06,0,120,5,-1.90613861428e-05,0,-1.90613861428e-05,0,0.267624978404,-3.58353541934e-06,0.267624998988,-3.6495455814e-07,-2.05841007017e-08,-3.2185808612e-06,120,5,0,0.267490483141,-0.0101223559961,-0.000134515847378,-0.0101219910415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
12,0.024,1,-0.485900014639,-3.42427460964e-06,0,120,5,-1.83739941732e-05,0,-1.83739941732e-05,0,-0.485900023573,-3.42427458117e-06,-0.485900001234,-7.12009082017e-08,-2.23390372311e-08,-3.35307367297e-06,120,5,0,-0.486023432913,-0.00767189269149,-0.000123431679778,-0.00767182149058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
12,0.024,2,0.267624974251,-4.28034309152e-06,0,120,5,-2.1469479868e-05,0,-2.1469479868e-05,0,0.267624970534,-4.28034322604e-06,0.267624997881,-5.53572124878e-07,-2.73469071832e-08,-3.72677110117e-06,120,5,0,0.267470708858,-0.00958986586168,-0.000154289022839,-0.00958931228956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
13,0.026,1,-0.485900044441,-3.92904394175e-06,0,120,5,-2.44481490156e-05,0,-2.44481490156e-05,0,-0.485900030939,-3.92904407863e-06,-0.485900001379,-7.28960013868e-08,-2.95594564936e-08,-3.85614807725e-06,120,5,0,-0.486038100884,-0.0069456388643,-0.000138099504184,-0.0069455659683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
13,0.026,2,0.267624974251,-4.91130504088e-06,0,120,5,-2.34059674677e-05,0,-2.34059674677e-05,0,0.267624961326,-4.91130509783e-06,0.26762499636,-7.60721902986e-07,-3.50332274301e-08,-4.15058319484e-06,120,5,0,0.267452373895,-0.00868204857824,-0.000172622464137,-0.00868128785634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
14,0.028,1,-0.485900044441,-4.32878960055e-06,0,120,5,-2.63059185313e-05,0,-2.63059185313e-05,0,-0.485900039219,-4.32878950517e-06,-0.485900001572,-9.64577832988e-08,-3.76466789409e-08,-4.23233172187e-06,120,5,0,-0.486051012619,-0.00591511012306,-0.000151011046585,-0.00591501366527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
14,0.028,2,0.267624944448,-5.410986887e-06,0,120,5,-2.82205245896e-05,0,-2.82205245896e-05,0,0.267624950976,-5.41098688128e-06,0.267624994427,-9.66362654521e-07,-4.34506746694e-08,-4.44462422676e-06,120,5,0,0.267436234226,-0.00739388765328,-0.000188760200556,-0.00739292129063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
15,0.03,1,-0.485900044441,-4.56291809314e-06,0,120,5,-2.73831124747e-05,0,-2.73831124747e-05,0,-0.485900048144,-4.56291794602e-06,-0.485900001792,-1.09873556592e-07,-4.63517276228e-08,-4.45304438943e-06,120,5,0,-0.486061556608,-0.0045775070758,-0.000161554815809,-0.00457739720224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
15,0.03,2,0.267624944448,-5.70364727537e-06,0,120,5,-2.80880797513e-05,0,-2.80880797513e-05,0,0.26762493982,-5.7036474326e-06,0.267624991974,-1.22663359775e-06,-5.2153402208e-08,-4.47701383485e-06,120,5,0,0.26742305424,-0.00572188384513,-0.000201937733503,-0.00572065721153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
16,0.032,1,-0.485900044441,-4.56261750514e-06,0,120,5,-2.72502904077e-05,0,-2.72502904077e-05,0,-0.485900057315,-4.56261735154e-06,-0.485900002052,-1.29902081721e-07,-5.5262699028e-08,-4.43271526982e-06,120,5,0,-0.486069116605,-0.00293084112823,-0.000169114553404,-0.00293071122615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
16,0.032,2,0.267624914646,-5.70327165406e-06,0,120,5,-3.00548264589e-05,0,-3.00548264589e-05,0,0.267624928357,-5.70327168975e-06,0.267624989019,-1.47725608097e-06,-6.066235958e-08,-4.22601560878e-06,120,5,0,0.267413604243,-0.00366355141129,-0.00021138477574,-0.0036620741552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
17,0.034,1,-0.485900074244,-4.25087637268e-06,0,120,5,-2.91726846649e-05,0,-2.91726846649e-05,0,-0.485900066187,-4.25087637019e-06,-0.485900002336,-1.42116254497e-07,-6.38507178796e-08,-4.10876011569e-06,120,5,0,-0.486073072964,-0.000973662044302,-0.000173070627528,-0.000973519928048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
17,0.034,2,0.267624914646,-5.31359546585e-06,0,120,5,-2.63141797711e-05,0,-2.63141797711e-05,0,0.267624917266,-5.31359546313e-06,0.267624985516,-1.75163094465e-06,-6.82494118442e-08,-3.56196451848e-06,120,5,0,0.267408658795,-0.00121707755633,-0.000216326720426,-0.00121532592538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
18,0.036,1,-0.485900074244,-3.54249868906e-06,0,120,5,-2.53993107058e-05,0,-2.53993107058e-05,0,-0.485900074054,-3.54249872076e-06,-0.485900002696,-1.79783742999e-07,-7.13581636558e-08,-3.36271497776e-06,120,5,0,-0.486072803515,0.0012951253966,-0.000172800818876,0.00129530518034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
18,0.036,2,0.267624914646,-4.42812324764e-06,0,120,5,-2.03532579508e-05,0,-2.03532579508e-05,0,0.267624907433,-4.42812340122e-06,0.267624981588,-1.96406783491e-06,-7.4155042773e-08,-2.46405556631e-06,120,5,0,0.267408995607,0.00161890674526,-0.000215985980936,0.0016208708131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
19,0.038,1,-0.485900074244,-2.34411368183e-06,0,120,5,-1.9130384116e-05,0,-1.9130384116e-05,0,-0.48590008003,-2.34411374987e-06,-0.485900003145,-2.24412264939e-07,-7.68858320344e-08,-2.11970148493e-06,120,5,0,-0.486067684148,0.00387638354688,-0.000167681003744,0.00387660795914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
19,0.038,2,0.267624914646,-2.93014227282e-06,0,120,5,-1.16332932218e-05,0,-1.16332932218e-05,0,0.267624899962,-2.93014218774e-06,0.26762497737,-2.1088547762e-06,-7.74079493837e-08,-8.21287411538e-07,120,5,0,0.267415394815,0.00484547943296,-0.000209582555343,0.00484758828774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
20,0.04,1,-0.485900074244,-5.54185191959e-07,0,120,5,-9.86145389594e-06,0,-9.86145389594e-06,0,-0.485900083036,-5.54185181047e-07,-0.485900003695,-2.75066621876e-07,-7.93414808298e-08,-2.79118559171e-07,120,5,0,-0.486057089194,0.00677082143285,-0.000157085499241,0.00677109649947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
20,0.04,2,0.267624884844,-6.92731475738e-07,0,120,5,-3.24870763746e-06,0,-3.24870763746e-06,0,0.267624896205,-6.92731476558e-07,0.26762497305,-2.15993972639e-06,-7.68452974031e-08,1.46720824983e-06,120,5,0,0.267428638508,0.00846352679083,-0.000196334542502,0.00846568673056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
21,0.042,1,-0.485900074244,1.93697951545e-06,0,120,5,2.87311406527e-06,0,2.87311406527e-06,0,-0.48590008178,1.93697945328e-06,-0.485900004326,-3.1566365094e-07,-7.7453803371e-08,2.25264310422e-06,120,5,0,-0.486040391673,0.00997904379577,-0.0001403873469,0.00997935945942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
21,0.042,2,0.267624884844,2.42122428062e-06,0,120,5,1.27108399201e-05,0,1.27108399201e-05,0,0.267624897775,2.42122431663e-06,0.267624968779,-2.13539454286e-06,-7.10040706786e-08,4.55661885949e-06,120,5,0,0.267449510409,0.012473804745,-0.000175458370447,0.0124759401395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
22,0.044,1,-0.485900074244,5.24721554029e-06,0,120,5,1.97343848362e-05,0,1.97343848362e-05,0,-0.485900074742,5.2472153859e-06,-0.485900005047,-3.60383377562e-07,-6.96956027335e-08,5.60759876346e-06,120,5,0,-0.486016963478,0.0135015770795,-0.00011695843135,0.0135019374629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
22,0.044,2,0.267624914646,6.55901931168e-06,0,120,5,3.65079372671e-05,0,3.65079372671e-05,0,0.267624906572,6.5590192328e-06,0.267624964883,-1.9482473702e-06,-5.8310783646e-08,8.507266603e-06,120,5,0,0.267478795652,0.0168769713502,-0.000146169230471,0.0168789195976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
23,0.046,1,-0.485900074244,9.50247886067e-06,0,120,5,4.1414343346e-05,0,4.1414343346e-05,0,-0.485900060161,9.50247852407e-06,-0.485900005889,-4.20908167024e-07,-5.42725214214e-08,9.92338669109e-06,120,5,0,-0.485986175521,0.0173388763161,-8.61696320306e-05,0.0173392972243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
23,0.046,2,0.267624914646,1.18780981211e-05,0,120,5,6.12845670478e-05,0,6.12845670478e-05,0,0.267624924799,1.18780981558e-05,0.267624961859,-1.51192224873e-06,-3.70603578936e-08,1.33900204046e-05,120,5,0,0.267517280599,0.0216735953962,-0.000107681259746,0.0216751073185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
24,0.048,1,-0.485900044441,1.48368080772e-05,0,120,5,7.20582178432e-05,0,7.20582178432e-05,0,-0.485900036013,1.48368078024e-05,-0.485900006843,-4.77192854908e-07,-2.91702891841e-08,1.53140006573e-05,120,5,0,-0.485947397881,0.0214913139469,-4.73910376203e-05,0.0214917911398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
