cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
20,0.04,2,0.670000135899,-3.51295238943e-06,0,70,4,-1.21501012034e-05,0,-1.21501012034e-05,-1.21501012034e-05,300,0,0.670000107569,-3.51295237916e-06,0.669999994095,2.00613295776e-06,1.13473865637e-07,-5.51908533692e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.042,1,-0.399999886751,-8.6706932052e-06,0,120,3,-1.12168310119e-05,0,-1.12168310119e-05,-1.12168310119e-05,200,0,-0.399999878635,-8.67069328498e-06,-0.400000014287,1.69672770001e-07,1.3565133905e-07,-8.84036605498e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.042,2,0.670000076294,-6.93655465511e-06,0,70,4,-2.9481460663e-05,0,-2.9481460663e-05,-2.9481460663e-05,300,0,0.670000097092,-6.93655463087e-06,0.669999997713,1.80897514364e-06,9.93785761461e-08,-8.74552977451e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.044,1,-0.399999886751,-1.25955093608e-05,0,120,3,-2.32274460334e-05,0,-2.32274460334e-05,-2.32274460334e-05,200,0,-0.399999899986,-1.25955090443e-05,-0.400000013827,2.2999532862e-07,1.13840932126e-07,-1.28255043729e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.044,2,0.670000076294,-1.00764073068e-05,0,70,4,-4.08447378463e-05,0,-4.08447378463e-05,-4.08447378463e-05,300,0,0.670000080011,-1.00764072394e-05,0.670000000631,1.45888095419e-06,7.93804812993e-08,-1.15352881936e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.046,1,-0.399999916553,-1.58516522788e-05,0,120,3,-3.6767649316e-05,0,-3.6767649316e-05,-3.6767649316e-05,200,0,-0.399999928572,-1.58516524891e-05,-0.40000001328,2.73296860758e-07,8.4707724779e-08,-1.61249493498e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.046,2,0.670000076294,-1.26813220049e-05,0,70,4,-4.96320425187e-05,0,-4.96320425187e-05,-4.96320425187e-05,300,0,0.670000057142,-1.26813219962e-05,0.670000002661,1.0152583809e-06,5.44806734171e-08,-1.36965803771e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.048,1,-0.399999976158,-1.80902516149e-05,0,120,3,-5.07316550459e-05,0,-5.07316550459e-05,-5.07316550459e-05,200,0,-0.399999962715,-1.80902511074e-05,-0.400000012715,2.82574362037e-07,5.00001676174e-08,-1.83728254694e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.048,2,0.670000016689,-1.44722007462e-05,0,70,4,-5.90476871132e-05,0,-5.90476871132e-05,-5.90476871132e-05,300,0,0.670000029828,-1.44722008914e-05,0.670000003696,5.17110632535e-07,2.61325255879e-08,-1.4989311524e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.05,1,-0.40000000596,-1.89275451703e-05,0,120,3,-5.68083816729e-05,0,-5.68083816729e-05,-5.68083816729e-05,200,0,-0.4,-1.8927545136e-05,-0.400000012199,2.58114308851e-07,1.21987708268e-08,-1.91856594449e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.05,2,0.670000016689,-1.51420363181e-05,0,70,4,-5.94875381938e-05,0,-5.94875381938e-05,-5.94875381938e-05,300,0,0.67,-1.51420361146e-05,0.670000003613,-4.13161051167e-08,-3.61297680662e-09,-1.51007200095e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.052,1,-0.40000000596,3.96257455577e-05,0,120,3,0.000118963313317,0,0.000118963313317,0.000118963313317,200,0,-0.399999998543,3.96257441158e-05,-0.40000001179,2.04481518891e-07,1.32467949387e-08,3.94212625969e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.052,2,0.670000016689,3.17005942634e-05,0,70,4,0.00013010226544,0,0.00013010226544,0.00013010226544,300,0,0.670000001166,3.17005952868e-05,0.670000002461,-5.75977229585e-07,-1.29543276106e-09,3.22765725164e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.054,1,-0.399999767542,0.000208657846088,0,120,3,0.000654343725743,0,0.000654343725743,0.000654343725743,200,0,-0.399999767845,0.000208657842939,-0.40000001121,2.89988645951e-07,2.43364445596e-07,0.000208367854293,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.054,2,0.670000195503,0.000166926271049,0,70,4,0.000678634586047,0,0.000678634586047,0.000678634586047,300,0,0.670000185724,0.000166926274345,0.670000003709,6.24022469538e-07,1.82014624817e-07,0.000166302251876,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.056,1,-0.399999082088,0.000478257512441,0,120,3,0.00154330489894,0,0.00154330489894,0.00154330489894,200,0,-0.399999096867,0.000478257507625,-0.400000009381,9.14259750617e-07,9.1251381279e-07,0.000477343247875,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.056,2,0.670000731945,0.000382605998311,0,70,4,0.00155361878823,0,0.00155361878823,0.00155361878823,300,0,0.670000722506,0.000382606006094,0.67000001713,6.71056109986e-06,7.05375811871e-07,0.000375895444994,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.058,1,-0.399997800589,0.000838554056827,0,120,3,0.00277236937457,0,0.00277236937457,0.00277236937457,200,0,-0.399997794352,0.000838554040717,-0.400000004228,2.57651861168e-06,2.20987659733e-06,0.000835977522105,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
