case,joint,joint_id,delay_steps,delay_s,eig_index,eig_real,eig_imag,eig_abs,eig_angle_rad
C,Hip,1,5,0.01,6,-0.12638802320346826,0.31271187878021334,0.33728719444937616,1.9548903289432624
C,Hip,1,5,0.01,7,-0.12638802320346826,-0.31271187878021334,0.33728719444937616,-1.9548903289432624
C,Hip,1,5,0.01,8,0.19730815091442,0.282729689886434,0.3447703350935905,0.9615023172294586
C,Hip,1,5,0.01,9,0.19730815091442,-0.282729689886434,0.3447703350935905,-0.9615023172294586
C,Hip,1,5,0.01,10,0.09407360713409176,0.0,0.09407360713409176,0.0
C,Hip,1,5,0.01,11,-0.0014410281546554983,0.0010500246436228903,0.0017830069811207157,2.5118873169998164
C,Hip,1,5,0.01,12,-0.0014410281546554983,-0.0010500246436228903,0.0017830069811207157,-2.5118873169998164
C,Hip,1,5,0.01,13,0.0005535806905406239,0.00168985477039797,0.0017782184134622525,1.2542230243906882
C,Hip,1,5,0.01,14,0.0005535806905406239,-0.00168985477039797,0.0017782184134622525,-1.2542230243906882
C,Hip,1,5,0.01,15,0.001774894703519417,0.0,0.001774894703519417,0.0
C,Knee,2,0,0.0,0,0.3200292759734513,0.21817363783744562,0.38732218336588514,0.5983588632010859
C,Knee,2,0,0.0,1,0.3200292759734513,-0.21817363783744562,0.38732218336588514,-0.5983588632010859
C,Knee,2,0,0.0,2,0.953422772388447,0.03841860176521923,0.9541965058993178,0.04027366388058312
C,Knee,2,0,0.0,3,0.953422772388447,-0.03841860176521923,0.9541965058993178,-0.04027366388058312
C,Knee,2,0,0.0,4,0.8297275454548483,0.0,0.8297275454548483,0.0
C,Knee,2,0,0.0,5,0.17813270949649973,0.0,0.17813270949649973,0.0
C,Knee,2,1,0.002,0,0.9503945780522152,0.041992204223763374,0.9513218168457077,0.04415524994154092
C,Knee,2,1,0.002,1,0.9503945780522152,-0.041992204223763374,0.9513218168457077,-0.04415524994154092
C,Knee,2,1,0.002,2,0.8570119227925157,0.0,0.8570119227925157,0.0
C,Knee,2,1,0.002,3,0.31716833782886733,0.22106505735411155,0.38660770052354515,0.608706998904234
C,Knee,2,1,0.002,4,0.31716833782886733,-0.22106505735411155,0.38660770052354515,-0.608706998904234
C,Knee,2,1,0.002,5,0.16980492500952774,0.0,0.16980492500952774,0.0
C,Knee,2,1,0.002,6,-0.007178327889063376,0.0,0.007178327889063376,3.141592653589793
C,Knee,2,1,0.002,7,2.98900786870985e-15,0.0,2.98900786870985e-15,0.0
C,Knee,2,2,0.004,0,0.947200559283498,0.048010582150126074,0.948416530594741,0.05064347716522245
C,Knee,2,2,0.004,1,0.947200559283498,-0.048010582150126074,0.948416530594741,-0.05064347716522245
C,Knee,2,2,0.004,2,0.8868965654415557,0.0,0.8868965654415557,0.0
C,Knee,2,2,0.004,3,0.31443469839507543,0.22930134984639558,0.38916357562878506,0.6300879940892918
C,Knee,2,2,0.004,4,0.31443469839507543,-0.22930134984639558,0.38916357562878506,-0.6300879940892918
C,Knee,2,2,0.004,5,0.13461953255987244,0.0,0.13461953255987244,0.0
C,Knee,2,2,0.004,6,0.004988869158279027,0.093075071391516,0.09320867840504031,1.5172470830637816
C,Knee,2,2,0.004,7,0.004988869158279027,-0.093075071391516,0.09320867840504031,-1.5172470830637816
C,Knee,2,2,0.004,8,5.169743267049503e-15,4.186040407578689e-08,4.186040407578721e-08,1.570796203295294
C,Knee,2,2,0.004,9,5.169743267049503e-15,-4.186040407578689e-08,4.186040407578721e-08,-1.570796203295294
C,Knee,2,5,0.01,0,0.957887807876168,0.07148170423901123,0.9605512409646473,0.07448623573818029
C,Knee,2,5,0.01,1,0.957887807876168,-0.07148170423901123,0.9605512409646473,-0.07448623573818029
C,Knee,2,5,0.01,2,0.9329165967620179,0.0,0.9329165967620179,0.0
C,Knee,2,5,0.01,3,0.3785055853860828,0.36729605248355734,0.5274209593279977,0.7703691149932067
C,Knee,2,5,0.01,4,0.3785055853860828,-0.36729605248355734,0.5274209593279977,-0.7703691149932067
C,Knee,2,5,0.01,5,-0.3590646105342652,0.0,0.3590646105342652,3.141592653589793
C,Knee,2,5,0.01,6,-0.1493403806990032,0.35058190622699076,0.3810645906943779,1.9734955436709436
C,Knee,2,5,0.01,7,-0.1493403806990032,-0.35058190622699076,0.3810645906943779,-1.9734955436709436
C,Knee,2,5,0.01,8,0.256650053923987,0.2348954749195831,0.34791541258886755,0.7411695199877452
C,Knee,2,5,0.01,9,0.256650053923987,-0.2348954749195831,0.34791541258886755,-0.7411695199877452
C,Knee,2,5,0.01,10,0.09350623255307075,0.0,0.09350623255307075,0.0
C,Knee,2,5,0.01,11,-0.0011346774438398964,0.0008260343153026644,0.0014035047529725657,2.512327113882682
C,Knee,2,5,0.01,12,-0.0011346774438398964,-0.0008260343153026644,0.0014035047529725657,-2.512327113882682
C,Knee,2,5,0.01,13,0.0004350874762454897,0.0013316609198137526,0.0014009360861027454,1.2550046347230541
C,Knee,2,5,0.01,14,0.0004350874762454897,-0.0013316609198137526,0.0014009360861027454,-1.2550046347230541
C,Knee,2,5,0.01,15,0.0013991798550443476,0.0,0.0013991798550443476,0.0
D,Hip,1,0,0.0,0,0.14999924545321056,0.3570701423614921,0.38729686314581574,1.17309742881977
D,Hip,1,0,0.0,1,0.14999924545321056,-0.3570701423614921,0.38729686314581574,-1.17309742881977
D,Hip,1,0,0.0,2,0.9807101114020009,0.03284078933800504,0.9812598229064862,0.03347423640978954
D,Hip,1,0,0.0,3,0.9807101114020009,-0.03284078933800504,0.9812598229064862,-0.03347423640978954
D,Hip,1,0,0.0,4,0.7252843493316891,0.0,0.7252843493316891,0.0
D,Hip,1,0,0.0,5,0.20540777946942052,0.0,0.20540777946942052,0.0
D,Hip,1,1,0.002,0,0.9808976529879725,0.03373856340787092,0.9814777105457566,0.03438204572799705
D,Hip,1,1,0.002,1,0.9808976529879725,-0.03373856340787092,0.9814777105457566,-0.03438204572799705
