family,method,scan,group,ko_scale,ku_scale,window,n_runs,n_complete_window,duration_s_mean,rows_total_mean,coord_rmse_rad_mean,coord_peak_abs_rad_mean,hip_rmse_rad_mean,hip_peak_abs_err_rad_mean,hip_dq_rmse_rad_s_mean,hip_tau_est_rms_nm_mean,hip_tau_est_diff_rms_nm_per_sample_mean,hip_tau_cmd_rms_nm_mean,hip_tau_cmd_peak_abs_nm_mean,hip_eta_u_rms_nm_mean,hip_tau_dist_rms_nm_mean,hip_tau_dist_peak_abs_nm_mean,knee_rmse_rad_mean,knee_peak_abs_err_rad_mean,knee_dq_rmse_rad_s_mean,knee_tau_est_rms_nm_mean,knee_tau_est_diff_rms_nm_per_sample_mean,knee_tau_cmd_rms_nm_mean,knee_tau_cmd_peak_abs_nm_mean,knee_eta_u_rms_nm_mean,knee_tau_dist_rms_nm_mean,knee_tau_dist_peak_abs_nm_mean,duration_s_std,rows_total_std,coord_rmse_rad_std,coord_peak_abs_rad_std,hip_rmse_rad_std,hip_peak_abs_err_rad_std,hip_dq_rmse_rad_s_std,hip_tau_est_rms_nm_std,hip_tau_est_diff_rms_nm_per_sample_std,hip_tau_cmd_rms_nm_std,hip_tau_cmd_peak_abs_nm_std,hip_eta_u_rms_nm_std,hip_tau_dist_rms_nm_std,hip_tau_dist_peak_abs_nm_std,knee_rmse_rad_std,knee_peak_abs_err_rad_std,knee_dq_rmse_rad_s_std,knee_tau_est_rms_nm_std,knee_tau_est_diff_rms_nm_per_sample_std,knee_tau_cmd_rms_nm_std,knee_tau_cmd_peak_abs_nm_std,knee_eta_u_rms_nm_std,knee_tau_dist_rms_nm_std,knee_tau_dist_peak_abs_nm_std
P4D,eid,ko,o3,0.75,1.0,post,3,2,8.830774252333336,8623.333333333334,0.06841466864048511,0.16518441326584923,0.020668852808107204,0.051381126918217945,0.3370775117778309,3.9372380426833757,0.5865649417339037,3.9619009088896013,8.220516204833984,0.01545294700810663,0.0,0.0,0.05014853123211372,0.12149147120436321,0.6943707863153817,3.8583794985047764,0.8495238493456995,3.859438641064667,8.136266708374023,0.02191993202916448,0.0,0.0,2.0219801171366925,1973.9628500388078,0.07187406240785936,0.1934585488412611,0.01965145716890761,0.05152588467614554,0.3560651343031016,1.3297629972732223,0.06888812894329377,1.3019956578531784,2.740012867447204,0.01069454163882985,0.0,0.0,0.05492059178142612,0.14620321738422512,0.7317524293467894,1.7835231115595949,0.10264610778167328,1.7256550660682757,4.274750209623007,0.005423352676333549,0.0,0.0
P4D,eid,ko,o3,0.75,1.0,pre,3,3,8.830774252333336,8623.333333333334,0.029669909058710264,0.0549141388405389,0.01039335628279676,0.021249214890832868,0.10976606485204587,3.185643452683774,0.5316843457348852,3.2143779886826374,6.554586887359619,0.007821506618847654,0.0,0.0,0.020198819641797098,0.03604096263541826,0.22934544196006482,2.856623144227406,0.7547416740570303,2.9183723852607373,5.386919975280762,0.019522948701783015,0.0,0.0,2.0219801171366925,1973.9628500388078,0.0007392235697482999,0.0007540471178866377,0.0003169363138528203,0.0011373344200054402,0.00617734211005332,0.05878601485053865,0.029622117431139877,0.06155267642200263,0.1584096127223482,6.686058149477808e-05,0.0,0.0,0.0005504795489012197,0.0018738189712021968,0.008717806881299505,0.011171793486720446,0.01793508263001533,0.018421302319959653,0.1498359303335608,0.00025666698871343297,0.0,0.0
P4D,eid,ko,o3,0.75,1.0,steady,3,3,8.830774252333336,8623.333333333334,0.07111514803486511,0.23256877295856918,0.029916224145259167,0.08992763190723747,0.2452911824319393,3.2961229714580695,0.5315075212905347,3.3230875056686813,8.557039578755697,0.01441755432662617,2.76728675303625,6.0,0.04386330432290011,0.14861735001840548,0.48808179077017505,3.2531453805376667,0.8051185936783173,3.275655690330069,8.32843510309855,0.03049094697611497,1.8448578353574998,4.0,2.0219801171366925,1973.9628500388078,0.03189590618083709,0.13511007725078367,0.009400825237568354,0.018177288861859712,0.17120318130595572,0.49725672452943825,0.0326233096134682,0.48356036201853975,2.4573789968782953,0.004643780959737874,0.5828527009868599,0.0,0.02491898195923987,0.1227096267221955,0.35498499618467155,0.7055084880984535,0.03268110108327363,0.6835976886710928,4.10903336559489,0.004605272975355851,0.3885684673245733,0.0
P4D,eid,ko,o4,1.0,1.0,disturbance,3,3,9.998788516666764,9778.666666666666,0.09841187949575869,0.1448505796172892,0.04990453446760069,0.07669599583385407,0.2006225383268574,2.600178058525366,0.4671983908901853,2.629306965198341,6.514671961466472,0.01942051289451373,5.438841175218715,6.0,0.04967957195903818,0.07222197405345128,0.32216442820462404,2.8163851598255385,0.7833324577942772,2.8759345027823655,5.321542421976726,0.047017454305275354,3.6258941168124768,4.0,0.0006845563458349485,9.865765724632755,0.0008050148787412276,0.0020254203836474827,0.0006214095757672492,0.0010478282431994116,0.01409041562890537,0.09073232029365785,0.01677625235291702,0.08379710370175392,0.30523142681386156,0.0009604786863340049,0.002054584147258147,0.0,0.0002980950755225796,0.0008144357293006423,0.021984188568037386,0.08327151782234034,0.013011123492392184,0.08551736581705446,0.053208920462880845,0.0003061823240850585,0.001369722764838866,0.0
P4D,eid,ko,o4,1.0,1.0,plateau,3,3,9.998788516666764,9778.666666666666,0.10924581979007238,0.1448505796172892,0.05525123129333843,0.07669599583385407,0.16202120028489211,2.9176334126822163,0.4646543367970919,2.9536545133298078,6.514671961466472,0.018905658570410946,6.0,6.0,0.0553403542828978,0.07222197405345128,0.2651402785370387,3.1010423038766706,0.7511865668630974,3.146085416241719,5.148766835530599,0.049650218777303474,4.0,4.0,0.0006845563458349485,9.865765724632755,0.0008953719679870779,0.0020254203836474827,0.0007028066426096435,0.0010478282431994116,0.01070937629877229,0.10972406494289177,0.030234789031168274,0.0924038421039392,0.30523142681386156,0.0013097597310593257,0.0,0.0,0.0003298002929831348,0.0008144357293006423,0.028070548831681728,0.08914917809246438,0.0028733253458702464,0.10154832814507322,0.13854586243513092,0.0003523966842201636,0.0,0.0
P4D,eid,ko,o4,1.0,1.0,post,3,3,9.998788516666764,9778.666666666666,0.025324168439549228,0.051397542966656516,0.00922517233561866,0.01942798053596694,0.12382257897652212,3.170897694467108,0.5421760782622678,3.205536114838791,6.86843729019165,0.00985322195169301,0.0,0.0,0.017235157905694534,0.034629794500567836,0.24792669859016195,2.804407132833175,0.8074394753224352,2.8431354182557897,5.475375652313232,0.019373158358105335,0.0,0.0,0.0006845563458349485,9.865765724632755,0.000746548544331159,0.0005993726683863784,0.0003512607052934088,0.0007003928637078969,0.007708450697526554,0.04579479336456817,0.009607124555859235,0.024905803351024203,0.16922765905803605,0.0006492162828328385,0.0,0.0,0.0005847405034057648,0.0010772330984459178,0.015734098771016062,0.04695504859191114,0.005672256935172841,0.0360345470395544,0.23485557767397938,0.0001305547617304776,0.0,0.0
P4D,eid,ko,o4,1.0,1.0,pre,3,3,9.998788516666764,9778.666666666666,0.028272872824346335,0.05061403161656316,0.009974243582257626,0.019002966455540005,0.11160266140332342,3.1313193107543498,0.5208052037952817,3.166540816453517,6.598174889882405,0.008662450918174467,0.0,0.0,0.0192298895466016,0.034052278181483854,0.2276957214343329,2.903042646178971,0.7940565552781456,2.941880615969216,5.4735110600789385,0.019986639200103695,0.0,0.0,0.0006845563458349485,9.865765724632755,0.0006584287468954508,0.0015350968576823502,0.0005082553177672566,0.0006944206064838088,0.0035855106753107033,0.010375963971615193,0.02021908256953264,0.015846130501446454,0.08806594928354194,0.00018442251322291876,0.0,0.0,0.00021983856045787028,0.0010447047185077553,0.011459963708690441,0.033951279552581384,0.0060037547312607,0.02397330570294519,0.2039350527223197,0.00040539263095796824,0.0,0.0
P4D,eid,ko,o4,1.0,1.0,steady,3,3,9.998788516666764,9778.666666666666,0.05012300309633625,0.1448505796172892,0.023916041644307866,0.07669599583385407,0.13638166791601072,2.9800504050250023,0.5131658020554959,3.0171985978310474,6.86843729019165,0.012066438124332363,2.4314943315221673,6.0,0.027540352863153487,0.07222197405345128,0.25830380171296013,2.8070745113761255,0.7963688507926515,2.851266410140424,5.624542395273845,0.02751007625976655,1.620996221014778,4.0,0.0006845563458349485,9.865765724632755,0.00041461009461014577,0.0020254203836474827,0.0002886895923753523,0.0010478282431994116,0.005311365201416883,0.020731846812851253,0.004367430775259222,0.017334684242698076,0.16922765905803605,0.000391679399013568,0.0011241362893648602,0.0,0.000227017626730716,0.0008144357293006423,0.0066746977419166725,0.027471061806239476,0.003708293658413243,0.025231140969955226,0.16418824649329147,7.342370600792732e-05,0.0007494241929099659,0.0
P4D,eid,ko,o5,1.25,1.0,disturbance,3,3,9.998315105999987,9764.0,0.09652606126772549,0.14015236925857666,0.04937193087588903,0.07522887911863237,0.23435991878080045,2.6647486479311557,0.4861500340650918,2.695741411724747,7.042753537495931,0.02935604817923353,5.439175018442032,6.0,0.048494463877693794,0.06951752421378561,0.33093619423936643,2.881479533845434,0.823463877906003,2.941175989998412,5.2584602038065595,0.04707789867914628,3.626116678961355,4.0,0.00035852935675299445,5.291502622129181,0.0003666151112247138,0.0021464868417005057,0.00012758932578074112,0.002141281520588249,0.005903779576519488,0.01320153634031981,0.0013268788667218363,0.003784164851077224,0.08772297876303566,0.00217324581673695,0.0008525589408690463,0.0,0.0002764453106474256,0.001196578082996048,0.013332041341579594,0.05700776230946657,0.0174084466942022,0.047018318917751496,0.15567377574014893,4.322701430696627e-05,0.0005683726272458133,0.0
P4D,eid,ko,o5,1.25,1.0,plateau,3,3,9.998315105999987,9764.0,0.10714204107279017,0.14015236925857666,0.054783831609374924,0.07522887911863237,0.2135255028952745,2.996405695354563,0.4895058449320555,3.0347638331861817,7.042753537495931,0.03059417467512415,6.0,6.0,0.05392338954956468,0.06951752421378561,0.28348177431659527,3.170652442401952,0.7979765532836969,3.2151243874871547,5.176805814107259,0.04949874044843397,4.0,4.0,0.00035852935675299445,5.291502622129181,0.00040700385263362063,0.0021464868417005057,0.0002237554183423224,0.002141281520588249,0.008488500480017655,0.02772064528368747,0.003810608233455839,0.02319674309978045,0.08772297876303566,0.002861203246277192,0.0,0.0,0.0002930252227244269,0.001196578082996048,0.021989033969639554,0.07239113648115238,0.015814554506126653,0.060624669234421696,0.20977047078988395,0.00017079056480730348,0.0,0.0
P4D,eid,ko,o5,1.25,1.0,post,3,3,9.998315105999987,9764.0,0.02445170882171352,0.04872384095061677,0.009021650614657517,0.018794520420240064,0.11777115393618896,3.1470811884522454,0.5405540046039845,3.1918101308227484,6.755061944325765,0.010588161469770617,0.0,0.0,0.016459145217967566,0.03317635506648394,0.23902849135558646,2.7988022454891825,0.795029288416556,2.8386989227461346,5.638938903808594,0.020209002147375445,0.0,0.0,0.00035852935675299445,5.291502622129181,0.00015997351222132392,0.0017561746053934896,0.0003161325160584742,0.0002095070474365469,0.0032163308346138644,0.01164150153330416,0.013363281866796294,0.01098543648813954,0.23731493298954587,0.00013951221522902745,0.0,0.0,3.8424432972703904e-05,0.0010410308031189796,0.003239080966575899,0.018282313219164025,0.04272556841974272,0.014470661624729321,0.23402522894462077,0.0004803505342299285,0.0,0.0
P4D,eid,ko,o5,1.25,1.0,pre,3,3,9.998315105999987,9764.0,0.027350289896133532,0.049957812315736115,0.00993193552191179,0.020058963535185475,0.1080919599846852,3.1642048810642063,0.5343986229842239,3.19597950287654,6.552435715993245,0.009904171007628094,0.0,0.0,0.018476966716183072,0.03183551597795272,0.22659402460599135,2.8825824196469636,0.7715158002451692,2.9452210269577024,5.3699320157368975,0.02024391231026798,0.0,0.0,0.00035852935675299445,5.291502622129181,0.00018977373348512215,0.0013235884901887272,0.0002805383200930934,0.0009156011100722645,0.0010694755371835909,0.01808035886300966,0.026493120086686917,0.01567263469874744,0.08627087471561846,0.0004339767899488035,0.0,0.0,0.00013442809256800656,0.00016268579035982672,0.0007647711975295646,0.01616887171168247,0.02174582211822005,0.012808131119861841,0.11896996926091412,0.00022888121263552543,0.0,0.0
P4D,eid,ko,o5,1.25,1.0,steady,3,3,9.998315105999987,9764.0,0.048976781403329485,0.14015236925857666,0.023634382133124174,0.07522887911863237,0.14479141053685893,2.9856889959586437,0.5182878984914706,3.0249226640649236,7.042753537495931,0.016311119624260628,2.4309297098893934,6.0,0.02670725110693396,0.06951752421378561,0.2569479015787484,2.8083900173741356,0.7855038716524277,2.8611193561946116,5.638938903808594,0.02807513709875779,1.620619806592929,4.0,0.00035852935675299445,5.291502622129181,0.00020283732366956897,0.0021464868417005057,9.043543097240011e-05,0.002141281520588249,0.0016007630969323806,0.014073602153608353,0.010619111164783535,0.008388422265140584,0.08772297876303566,0.0010094721292434133,0.0008307194432993215,0.0,0.00011760423134459175,0.001196578082996048,0.004628656024017649,0.022598958876246175,0.013292863895339168,0.013076673945241592,0.23402522894462077,0.0003776359033878854,0.0005538129621998566,0.0
P4D,eid,ku,u1,1.0,0.5,disturbance,3,3,9.999139854333256,9766.0,0.09890530649280634,0.14462324815315938,0.05011659251756385,0.07735837558687343,0.21278925532854295,2.6423069530450416,0.4799489015346306,2.6551763039107783,6.752899169921875,0.010672351775043784,5.439390949628874,6.0,0.049917328881124705,0.07323112718594638,0.3315046212043031,2.825814107871436,0.7891049588987885,2.8847153161263326,5.62778917948405,0.02378984804744606,3.6262606330859164,4.0,0.000419977319344263,5.291502622129181,0.0002471533581068853,0.0009441539400280783,9.440635050375936e-05,0.0006188935460191111,0.005935914915477979,0.02200592932063763,0.007579163561252285,0.025242123845788878,0.19619335397572865,0.00023207291538101846,0.001928759213987965,0.0,0.0002026994205974191,0.0006023446455995314,0.004540763075297692,0.047569120735528665,0.011747633731468757,0.042970835881731825,0.1827648227969109,0.00013545459753338447,0.0012858394759920591,0.0
P4D,eid,ku,u1,1.0,0.5,plateau,3,3,9.999139854333256,9766.0,0.10971497551973086,0.14462324815315938,0.055590355191880186,0.07735837558687343,0.17623848184176671,2.9583730169072084,0.48213269595585473,2.9799863937320334,6.752899169921875,0.01075996801014674,6.0,6.0,0.05542408794009048,0.07323112718594638,0.27054062765603254,3.1032743195628925,0.760764076708386,3.1493799310727013,5.62778917948405,0.025026514419760684,4.0,4.0,0.000419977319344263,5.291502622129181,0.0003583516253706058,0.0009441539400280783,0.00012447703906180884,0.0006188935460191111,0.008703598072552415,0.02466693684188562,0.007594385024537497,0.02935342879899997,0.19619335397572865,0.00032879415621870836,0.0,0.0,0.00028379106669872053,0.0006023446455995314,0.00714815747154632,0.05149211570711158,0.033920957956676524,0.04649419326070446,0.1827648227969109,0.00014309032210402668,0.0,0.0
P4D,eid,ku,u1,1.0,0.5,post,3,3,9.999139854333256,9766.0,0.025985220175048063,0.05201283145583968,0.009305175240284394,0.019490775333570336,0.13152548132480998,3.1656399686622856,0.5328498350186978,3.2035371849688032,6.687521616617839,0.005162144944055019,0.0,0.0,0.017578301810629592,0.03507812621991235,0.2696256474001091,2.8200254156443143,0.7819680820716775,2.8433717541776775,5.69506311416626,0.009579282783938754,0.0,0.0,0.000419977319344263,5.291502622129181,0.00019648403850038978,0.002047319306958521,0.00015909240183386127,0.000976993790233727,0.002697777542135981,0.01065364253284465,0.021268170237286783,0.006246475246647051,0.20842630966913717,3.154494536729885e-05,0.0,0.0,0.00018028371950612774,0.0006767335608947657,0.011712486735244203,0.02641886119811797,0.03442422130217039,0.018506068966501157,0.2049232664777136,0.00020122382316850555,0.0,0.0
P4D,eid,ku,u1,1.0,0.5,pre,3,3,9.999139854333256,9766.0,0.0279152906446633,0.05015836998685582,0.010020410623991312,0.0193859215407699,0.10934866462824877,3.1140504120132007,0.5291207196898526,3.1699196105286127,6.622803688049316,0.004352298972422744,0.0,0.0,0.01886685012776056,0.032955292551654004,0.22705408436449181,2.8803350525250067,0.811559627604065,2.9043327859720485,5.344692548116048,0.009823067551459189,0.0,0.0,0.000419977319344263,5.291502622129181,0.00030355270914392285,0.0008613778990549698,0.00011691943104440114,8.21304344594752e-05,0.0024502713891188356,0.009695698433415263,0.006262520140624737,0.004285832079802587,0.11500380589915442,9.118513954594589e-05,0.0,0.0,0.00026633474032669113,0.0007056599252979811,0.0002309956770365818,0.047908798949891106,0.021677720666972256,0.0250970086083339,0.07231356496885644,0.00012338306794691632,0.0,0.0
P4D,eid,ku,u1,1.0,0.5,steady,3,3,9.999139854333256,9766.0,0.05030524965212079,0.14462324815315938,0.02400559773248129,0.07735837558687343,0.14158911875806168,2.982965848435557,0.5167253734468753,3.019316949511918,6.763820171356201,0.006410280182099721,2.4303133785079507,6.0,0.0275721193164439,0.07323112718594638,0.26606007490191197,2.7931558243796526,0.7861011098415277,2.8330958289492343,5.698415120442708,0.01377172308741272,1.6202089190053004,4.0,0.000419977319344263,5.291502622129181,4.4251595049791e-05,0.0009441539400280783,6.112906617118759e-05,0.0006188935460191111,0.001523420812387878,0.00265868043357179,0.012286676209195678,0.00441080240873993,0.19069089155156604,8.655822923098972e-05,0.0015289918495696075,0.0,6.713787578740424e-05,0.0006023446455995314,0.002934430926272528,0.02335093515856374,0.013174912865419658,0.016743428760383684,0.19976256734756617,7.486325160168173e-05,0.0010193278997129409,0.0
P4D,eid,ku,u2,1.0,0.75,disturbance,3,3,9.998854458333275,9768.0,0.09929000774754405,0.14640840814675027,0.05049321784819297,0.07909265644639407,0.22168545046587215,2.6656987199989732,0.4741870994535617,2.6808336000863116,6.776554107666016,0.017588521950747057,5.4394792362600555,6.0,0.049903030132581266,0.07163663165910687,0.3322427083647629,2.796238222255734,0.805015649878122,2.847253697197002,5.355005582173665,0.03542048630510782,3.626319490840037,4.0,0.0005459542944256452,16.3707055437449,0.000813476313546024,0.0029731706695550653,0.000551306614876084,0.0026608677400709207,0.01581581382520493,0.08209002762131558,0.0070502670454961995,0.08250134017086816,0.26478862207903486,0.0008792464546588046,0.0027052926184013004,0.0,0.0004218204954544103,0.00021076134073548552,0.033364993584476185,0.11078364425701391,0.010205888712705849,0.11462461125843527,0.1656461997765408,0.0003654302379448811,0.0018035284122677679,0.0
