family,method,scan,group,ko_scale,ku_scale,repeat,condition,manifest_log_path,log_path,returncode,status,window,duration_s,rows_total,flags_seen,coord_rmse_rad,coord_peak_abs_rad,window_complete,hip_rmse_rad,hip_peak_abs_err_rad,hip_dq_rmse_rad_s,hip_tau_est_rms_nm,hip_tau_est_diff_rms_nm_per_sample,hip_tau_cmd_rms_nm,hip_tau_cmd_peak_abs_nm,hip_eta_u_rms_nm,hip_tau_dist_rms_nm,hip_tau_dist_peak_abs_nm,knee_rmse_rad,knee_peak_abs_err_rad,knee_dq_rmse_rad_s,knee_tau_est_rms_nm,knee_tau_est_diff_rms_nm_per_sample,knee_tau_cmd_rms_nm,knee_tau_cmd_peak_abs_nm,knee_eta_u_rms_nm,knee_tau_dist_rms_nm,knee_tau_dist_peak_abs_nm
P4D,eid,ko,o3,0.75,1.0,r03,P4D_EID_Ko_o3_anti_phase_hip_knee_software_disturbance,data/20260623_191853/h1_real_p4_ko_o3_hip_knee_eid_log.csv,data/20260623_191853/h1_real_p4_ko_o3_hip_knee_eid_log.csv,0,ok,pre,9.998237898999832,9760,4,0.028816555285914203,0.054744969975381474,True,0.010265251312666531,0.02247660850966071,0.10272705571868493,3.239504533430759,0.4993465533496337,3.2808828214475922,6.3826904296875,0.007887131221138795,0.0,0.0,0.019639906251663862,0.033877912890912354,0.23748431877012174,2.854521171035186,0.7642005361753816,2.8971586023173446,5.55961275100708,0.01922818028084474,0.0,0.0
P4D,eid,ko,o3,0.75,1.0,r03,P4D_EID_Ko_o3_anti_phase_hip_knee_software_disturbance,data/20260623_191853/h1_real_p4_ko_o3_hip_knee_eid_log.csv,data/20260623_191853/h1_real_p4_ko_o3_hip_knee_eid_log.csv,0,ok,disturbance,9.998237898999832,9760,4,0.1026450572443254,0.1529775828971256,True,0.05096899366982072,0.07815366027620119,0.2200002076903774,2.634284083674665,0.4629198785370931,2.6602722310926645,6.664257049560546,0.019601095817184992,5.435409742158173,6.0,0.052885937602703104,0.07745327476745201,0.36158054968334075,2.8977561196409445,0.8256473857909863,2.908821346183981,5.094712257385254,0.04802331495900613,3.6236064947721154,4.0
P4D,eid,ko,o3,0.75,1.0,r03,P4D_EID_Ko_o3_anti_phase_hip_knee_software_disturbance,data/20260623_191853/h1_real_p4_ko_o3_hip_knee_eid_log.csv,data/20260623_191853/h1_real_p4_ko_o3_hip_knee_eid_log.csv,0,ok,plateau,9.998237898999832,9760,4,0.11373750485151828,0.1529775828971256,True,0.05638772104173536,0.07815366027620119,0.17409929777861133,2.9306065678526245,0.4553026898338471,2.954281303316553,6.664257049560546,0.019358198902677815,6.0,6.0,0.05873814615137052,0.07745327476745201,0.31098561658467816,3.1990886918048838,0.8049529295244536,3.2024557995551084,5.094712257385254,0.050626243716716125,4.0,4.0
P4D,eid,ko,o3,0.75,1.0,r03,P4D_EID_Ko_o3_anti_phase_hip_knee_software_disturbance,data/20260623_191853/h1_real_p4_ko_o3_hip_knee_eid_log.csv,data/20260623_191853/h1_real_p4_ko_o3_hip_knee_eid_log.csv,0,ok,post,9.998237898999832,9760,4,0.027418538804502224,0.052791027741919905,True,0.00974187075096885,0.022813332119189997,0.14234418827684997,3.1924919851858964,0.5434505261164236,3.2333287936431265,6.559764862060546,0.009665949534334849,0.0,0.0,0.01868788978717954,0.037902811135437475,0.2912102586210471,2.8441334507019427,0.8313260944848381,2.8593076526275603,5.804776668548584,0.018420967743676204,0.0,0.0
P4D,eid,ko,o4,1.0,1.0,r01,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,steady,9.998349377000295,9772,4,0.05059294200730382,0.14712692393086702,True,0.02424199931179022,0.07789273714092632,0.14230341719342735,3.0010415327154263,0.5084380796544397,3.0335620457733032,7.051449298858643,0.012515785517153084,2.430343458648338,6.0,0.027797625018257086,0.07315997864357093,0.26556601735699736,2.8344746435511134,0.7982565113310519,2.8754518783163263,5.727724075317383,0.027576799941279297,1.6202289724322252,4.0
P4D,eid,ko,o4,1.0,1.0,r01,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,pre,9.998349377000295,9772,4,0.027999753871811972,0.04983139449888574,True,0.009845413186385783,0.019370116027365714,0.11532112013988365,3.124096549091733,0.498855028758792,3.162223085177388,6.696702480316161,0.008867227367587766,0.0,0.0,0.019108744952414877,0.03473401020702149,0.23999490955009,2.942081818051147,0.7905997277054001,2.9694044285533465,5.704559326171875,0.020429911226098683,0.0,0.0
P4D,eid,ko,o4,1.0,1.0,r01,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,disturbance,9.998349377000295,9772,4,0.09933034062534257,0.14712692393086702,True,0.050621686851313526,0.07789273714092632,0.21675933000155917,2.70085975135963,0.4841340096746771,2.722744452318338,6.831853866577148,0.02050252164992566,5.438390067617252,6.0,0.05001474600507866,0.07315997864357093,0.3472341433932209,2.912462218318589,0.7705694039388385,2.974579655099172,5.278091430664063,0.047359359722935146,3.6255933784115015,4.0
P4D,eid,ko,o4,1.0,1.0,r01,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,plateau,9.998349377000295,9772,4,0.11026615453307206,0.14712692393086702,True,0.056060111324179596,0.07789273714092632,0.17437363401287345,3.0372728087944725,0.4991726776900831,3.0553373538852453,6.831853866577148,0.020386538961218253,6.0,6.0,0.055721173076433414,0.07315997864357093,0.296793652429236,3.203709088089391,0.749157316630894,3.2630016589836077,5.043196678161621,0.05003488045157469,4.0,4.0
P4D,eid,ko,o4,1.0,1.0,r01,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,post,9.998349377000295,9772,4,0.02618599186209742,0.05117061393519862,True,0.009630399518927631,0.018621025334705305,0.13230630001326982,3.216134387698362,0.5312713942454853,3.2286228918039526,7.051449298858643,0.010545825671570542,0.0,0.0,0.017910292678614655,0.03582872469228515,0.2660936247873297,2.8554628620708438,0.8010453195643188,2.884657966458103,5.727724075317383,0.019364984881679353,0.0,0.0
P4D,eid,ko,o4,1.0,1.0,r02,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,steady,9.999577283000008,9774,4,0.04996721441832781,0.14417718714489514,True,0.023813522549260665,0.07625190320923536,0.13480291643548478,2.9795217309145454,0.514009488183674,3.019000332998657,6.717618942260742,0.011886238488176782,2.4325896728718113,6.0,0.027455251616515665,0.07181141916079159,0.2569080367954134,2.807215825435029,0.7987535329728576,2.8532416475295586,5.710693836212158,0.027522013462575993,1.6217264485812075,4.0
