case,window,signal,unit,samples,fs_hz,peak_freq_hz_0p5_100,peak_psd,psd_at_0p8_hz,psd_at_5_hz,psd_at_20_hz,bandpower_0p5_3hz,bandpower_3_15hz,bandpower_15_80hz
B,disturbance,e_coord,rad,700,500.0000000000551,0.9765625000001076,0.00016694085990849098,0.00016694085990849098,3.3235328746796e-07,2.4861410823842798e-08,0.00011159396761128792,8.113627506159156e-07,6.75084267216783e-08
B,disturbance,tau_total_hip,N m,700,500.0000000000551,0.9765625000001076,1.2985307804376816,1.2985307804376816,0.0015953299796120485,0.14135148876709727,0.9568203409312985,0.006845017082170641,0.4499813233256827
B,disturbance,tau_total_knee,N m,700,500.0000000000551,0.9765625000001076,0.685311223775268,0.685311223775268,0.0014623683534737409,0.11503782580670772,0.6230707104974164,0.00529942632059954,0.33024900382238526
B,disturbance,delta_tau_total_hip,N m/sample,700,500.0000000000551,20.50781250000226,0.01150630195131849,0.0001378734422275363,5.312480182523271e-06,0.008529168538293198,0.00036043246427996977,5.5941487747432366e-05,0.032342610523693666
B,disturbance,delta_tau_total_knee,N m/sample,700,500.0000000000551,20.50781250000226,0.007838197286136895,0.00010791427235393022,5.168393168410435e-06,0.006914483556743489,0.00016012284190717552,2.1816794842392177e-05,0.022922486844594626
B,disturbance,eta_q_hip,rad,700,500.0000000000551,20.50781250000226,4.0562529950401214e-10,1.8473073039109587e-10,1.4216185553601246e-12,3.755213466689997e-10,1.6854154958724884e-10,7.899722936044718e-12,1.057426665447478e-09
B,disturbance,eta_q_knee,rad,700,500.0000000000551,0.9765625000001076,8.970921433553226e-10,8.970921433553226e-10,4.4211831890976874e-12,7.321104078109805e-10,6.288487440326942e-10,2.6097179995468533e-11,2.040582215395026e-09
B,disturbance,eta_dq_hip,rad/s,700,500.0000000000551,20.50781250000226,3.978005075534825e-06,1.8442672651642503e-06,1.415949090139892e-08,3.6887101750839576e-06,1.683605543914367e-06,7.866286893591268e-08,1.0377468143162279e-05
B,disturbance,eta_dq_knee,rad/s,700,500.0000000000551,0.9765625000001076,6.182780605706425e-06,6.182780605706425e-06,3.005252580241292e-08,5.047912716450062e-06,4.346276359496517e-06,1.7947479884696039e-07,1.4080289196511626e-05
B,disturbance,eta_u_hip,N m,700,500.0000000000551,20.50781250000226,1.250081629063985e-06,5.784643220665403e-07,4.442314492876767e-09,1.1589737534802812e-06,5.280394527254005e-07,2.4679812541152697e-08,3.260855323130283e-06
B,disturbance,eta_u_knee,N m,700,500.0000000000551,0.9765625000001076,2.0248403865774866e-06,2.0248403865774866e-06,9.859125862607019e-09,1.6522147617136798e-06,1.4228816908140108e-06,5.878994793052715e-08,4.6079328013598055e-06
C,full,e_hip,rad,4000,500.0000000000551,0.9765625000001076,5.3564169363747525e-05,5.3564169363747525e-05,5.477424817338897e-08,1.5723739592705147e-09,4.67741335069019e-05,2.502244510895919e-07,6.185848986531121e-09
C,full,e_knee,rad,4000,500.0000000000551,0.9765625000001076,2.8506891546707917e-05,2.8506891546707917e-05,1.4590956098142662e-07,6.069224022636787e-09,2.3585686266311077e-05,5.389516539557817e-07,1.951562043979769e-08
C,full,e_coord,rad,4000,500.0000000000551,0.9765625000001076,0.00015745158134040555,0.00015745158134040555,3.4394489888737175e-07,1.2188776954651524e-08,0.00012617073338403034,1.240742145790523e-06,4.24452950056809e-08
C,full,tau_total_hip,N m,4000,500.0000000000551,0.9765625000001076,1.2101289180162327,1.2101289180162327,0.0038391722561274965,0.0899152484239943,0.94152993319136,0.014164686758011278,0.3700247067220983
C,full,tau_total_knee,N m,4000,500.0000000000551,0.9765625000001076,0.44815904548659796,0.44815904548659796,0.0014122550651313147,0.06066286708436282,0.3091904035564889,0.004149374621957742,0.20564852731267905
C,full,delta_tau_total_hip,N m/sample,4000,500.0000000000551,20.50781250000226,0.007707676040780082,0.00013253981931637778,1.2015996923835165e-05,0.0052910997118955265,0.000197528382891574,9.805096347879333e-05,0.026128788965772417
C,full,delta_tau_total_knee,N m/sample,4000,500.0000000000551,20.50781250000226,0.004434782819251069,4.883780652935181e-05,4.96121565231195e-06,0.003562377581780412,4.3294899743284146e-05,1.7553116478272502e-05,0.014328983940560652
C,full,eta_q_hip,rad,4000,500.0000000000551,0.9765625000001076,2.5783884916407712e-08,2.5783884916407712e-08,1.0797113094955528e-11,2.0604504644448778e-10,1.2728100549348262e-08,3.026495728114335e-11,7.198061147928065e-10
C,full,eta_q_knee,rad,4000,500.0000000000551,0.9765625000001076,5.99350061332423e-08,5.99350061332423e-08,4.20975142529178e-11,3.5689466573212484e-10,3.048143007576826e-08,1.26012286903847e-10,1.227931425501319e-09
C,full,eta_dq_hip,rad/s,4000,500.0000000000551,0.9765625000001076,2.618788166383162e-06,2.618788166383162e-06,7.502480172089017e-08,1.4233366568160832e-06,2.2393952734561643e-06,2.101357700966434e-07,4.971077709780587e-06
C,full,eta_dq_knee,rad/s,4000,500.0000000000551,0.9765625000001076,1.4677566734726828e-05,1.4677566734726828e-05,1.7977794686723767e-07,1.5655315185631766e-06,1.2350876567368162e-05,5.375973291215771e-07,5.402773392986862e-06
C,full,eta_u_hip,N m,4000,500.0000000000551,0.9765625000001076,1.7621089245963182e-06,1.7621089245963182e-06,2.4544388689303755e-08,4.657636518661646e-07,1.1747184349325656e-06,6.875149944863561e-08,1.6266638513386182e-06
C,full,eta_u_knee,N m,4000,500.0000000000551,0.9765625000001076,7.192471966233546e-06,7.192471966233546e-06,6.295440657844384e-08,5.443085789388357e-07,5.328155152434803e-06,1.882771163561227e-07,1.8770401661289735e-06
C,post_startup,e_hip,rad,2500,500.0000000000551,0.9765625000001076,7.99842013124691e-05,7.99842013124691e-05,1.0055085379313801e-07,1.728547878885305e-09,6.743154921652859e-05,3.60942942192529e-07,7.252021369480637e-09
C,post_startup,e_knee,rad,2500,500.0000000000551,0.9765625000001076,4.523914412465308e-05,4.523914412465308e-05,2.611067275213297e-07,6.826338391067484e-09,3.524215891411346e-05,8.250816079186237e-07,2.3204519110620584e-08
