case,window,pair,input_signal,output_signal,samples,fs_hz,peak_coherence_freq_hz_0p5_80,peak_coherence,cross_spectrum_mag_at_peak,cross_spectrum_phase_rad_at_peak,coherence_at_0p8_hz,coherence_at_5_hz,coherence_at_20_hz
A,disturbance,tau_dist_hip_to_e_hip,tau_dist_h,e_h,700,500.0000000000551,50.78125000000559,0.9539336359999395,8.047191659239924e-12,1.8484563217366556,0.7028087565842707,0.81051450070896,0.5725192627887923
A,disturbance,tau_dist_knee_to_e_knee,tau_dist_k,e_k,700,500.0000000000551,5.859375000000646,0.9822689462467079,2.262231558438819e-05,2.0145781437324826,0.9648853002909198,0.9822689462467079,0.5619325409067002
A,disturbance,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,700,500.0000000000551,5.859375000000646,0.9776842206117954,8.018536483194159e-05,1.9277945040688202,0.8884029670837157,0.9776842206117954,0.5584206091801781
A,disturbance,eta_u_hip_to_tau_total_hip,eta_u_h,tau_total_h,700,500.0000000000551,21.484375000002366,0.9865691829898297,0.00016036441007070328,0.9027504957880742,0.15025132867365296,0.7354633814658996,0.9857091951528307
A,disturbance,eta_u_knee_to_tau_total_knee,eta_u_k,tau_total_k,700,500.0000000000551,21.484375000002366,0.9871659899266068,0.00017143421345464254,1.509505086955681,0.0014734371940132685,0.9482392181236209,0.9844120411925578
B,full,tau_dist_hip_to_e_hip,tau_dist_h,e_h,4000,500.0000000000551,1.9531250000002152,0.5855913019201275,0.0010282167351117865,2.6179641108920113,0.10133691322796946,0.34612868223500076,0.03115823938977109
B,full,tau_dist_knee_to_e_knee,tau_dist_k,e_k,4000,500.0000000000551,1.9531250000002152,0.8922851568640452,0.0004959805739467146,2.9065985990567245,0.5210478970559912,0.6871110053328757,0.01598025447846679
B,full,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,4000,500.0000000000551,3.9062500000004303,0.8267569986537693,0.0006294746066713623,2.3771047481044154,0.2167827882679331,0.6098445542471181,0.02040556735375353
B,full,eta_u_hip_to_tau_total_hip,eta_u_h,tau_total_h,4000,500.0000000000551,21.484375000002366,0.9788031715252521,0.00014934763705499673,0.8053095781770636,0.20530919912387274,0.6662932708134501,0.9757927377002177
B,full,eta_u_knee_to_tau_total_knee,eta_u_k,tau_total_k,4000,500.0000000000551,19.531250000002153,0.9821129195636016,0.00018951918896867377,1.4904770448377438,0.04613502374163569,0.5151158077145646,0.9821129195636016
