family,method,scan,group,ko_scale,ku_scale,target,disturbance_method,repeat,status,returncode,config,log_path,duration_s,rows_total,rows_steady,flag_nonzero_rows,sat_rows,max_lowstate_gap_s,hip_rmse_rad,hip_vel_rmse_rad_s,hip_max_abs_err_rad,hip_tau_est_rms_nm,hip_tau_est_diff_rms_nm_per_sample,hip_tau_cmd_rms_nm,hip_tau_cmd_diff_rms_nm_per_sample,hip_max_abs_tau_est_nm,hip_max_abs_tau_cmd_nm,hip_max_abs_dq_rad_s,hip_ref_acc_rms_rad_s2,hip_ref_jerk_rms_rad_s3,hip_eta_q_rms,hip_eta_dq_rms,hip_eta_u_rms_nm,knee_rmse_rad,knee_vel_rmse_rad_s,knee_max_abs_err_rad,knee_tau_est_rms_nm,knee_tau_est_diff_rms_nm_per_sample,knee_tau_cmd_rms_nm,knee_tau_cmd_diff_rms_nm_per_sample,knee_max_abs_tau_est_nm,knee_max_abs_tau_cmd_nm,knee_max_abs_dq_rad_s,knee_ref_acc_rms_rad_s2,knee_ref_jerk_rms_rad_s3,knee_eta_q_rms,knee_eta_dq_rms,knee_eta_u_rms_nm,coord_rmse_rad,coord_max_abs_rad,condition_key
P2-H,eid,,,,,hip,manual_push,r03,ok,0,config/h1_real_p2_anti_hip_knee_eid.yaml,data/20260623_165743/h1_real_p2_anti_hip_knee_eid_log.csv,9.99923945000046,9758,6828,6828,6828,nan,0.007756131212657512,0.10413415576206005,0.016862211140572292,2.7622218456795964,0.5063790553107935,2.8085329394841283,0.18524613925004754,7.03125,6.489190578460693,1.212975263595581,4.387279963355004,264.5463858180642,0.0005158578230741312,0.005878032355515363,0.009674580556442734,0.01673837485466481,0.20983005071835772,0.03609876684710034,2.5302597042534596,0.7509710696351412,2.5845688139508267,0.14182640453492446,6.84375,5.924071788787842,1.6546971797943115,5.484099954733795,330.68298230388405,0.000616257398972675,0.015151906144246623,0.018909712445310783,0.023687109828473156,0.04900278921948109,P2-H:eid
P2-H,pd,,,,,hip,manual_push,r04,ok,0,config/h1_real_p2_anti_hip_knee_pd.yaml,data/20260623_165759/h1_real_p2_anti_hip_knee_pd_log.csv,9.999977743000272,9768,6840,6840,6840,nan,0.02345697280732,0.13426089711145978,0.04764887188147382,2.3869746328398054,0.3711020180899552,0.0,0.0,4.8046875,0.0,1.1956442594528198,4.3847323410485,264.2882816968661,0.3335673047687314,0.791483682641247,0.0,0.024246907293623478,0.1810946132533485,0.04611705283935941,2.3114873760855,0.6290167340207431,0.0,0.0,5.25,0.0,1.437074065208435,5.480915426851294,330.3603521517305,0.5303225571624177,0.989354603204157,0.0,0.04650354422667344,0.09365976681946964,P2-H:pd
P2-H,eid,,,,,hip,manual_push,r04,ok,0,config/h1_real_p2_anti_hip_knee_eid.yaml,data/20260623_165814/h1_real_p2_anti_hip_knee_eid_log.csv,9.999825373000022,9760,6826,6826,6826,nan,0.00786266143260395,0.10412524080061224,0.016018167899022107,2.76920139120307,0.5159232139014127,2.8068420358740207,0.18468253256759282,7.03125,6.487663269042969,1.1881126165390015,4.386197680657264,264.5122179400456,0.0004380468337507596,0.005725787065714168,0.008942115401123987,0.016762363487776082,0.20878636580513776,0.033746279441555505,2.513770547976983,0.7831708142593101,2.5756690165481624,0.1420029894868765,6.9375,5.857388973236084,1.6252604722976685,5.482747101382204,330.6402724549042,0.0005509977012795067,0.015034890159882028,0.01846493298786661,0.023827760837586403,0.04760609691009243,P2-H:eid
P2-H,pd,,,,,hip,manual_push,r05,ok,0,config/h1_real_p2_anti_hip_knee_pd.yaml,data/20260623_165830/h1_real_p2_anti_hip_knee_pd_log.csv,9.999824630000148,9766,6830,6830,6830,nan,0.02344715221377626,0.1341874481551851,0.04118510743704501,2.384392224784583,0.37595822907749626,0.0,0.0,4.86328125,0.0,1.1979886293411255,4.386266729572907,264.6244919604251,0.33350620479935617,0.7909894205487483,0.0,0.024273948649663948,0.18134964445154184,0.03905399612662219,2.305136345943436,0.6241893908504562,0.0,0.0,4.96875,0.0,1.4395982027053833,5.48283341249266,330.7806149828655,0.5302273312359376,0.988736775588514,0.0,0.04652250174281245,0.07788156847020444,P2-H:pd
P2-H,eid,,,,,hip,manual_push,r05,ok,0,config/h1_real_p2_anti_hip_knee_eid.yaml,data/20260623_165845/h1_real_p2_anti_hip_knee_eid_log.csv,9.999417226999867,9762,6832,6832,6832,nan,0.007801203987999443,0.10541084879920277,0.01723150631214687,2.772132034546963,0.5200112090657178,2.808436604296564,0.18439370654462592,7.08984375,6.559914588928223,1.2040915489196777,4.388446007199553,264.3888451086517,0.0004357669186570123,0.005788988420643205,0.009021423192418452,0.01677236169841306,0.21052716347232175,0.03381892503572104,2.5414291854559905,0.7709604242439206,2.580058214919721,0.14151206234291322,6.84375,5.783054351806641,1.641592264175415,5.485557509521496,330.48605641807086,0.0005423701081247183,0.015118956588720001,0.018564124054426024,0.02385527506800265,0.04822491685407071,P2-H:eid
P3,quintic,,,,,,,r01,ok,0,config/h1_real_p3_quintic_hip_knee_pd.yaml,data/20260623_165905/h1_real_p3_quintic_hip_knee_pd_log.csv,7.998820376000367,7806,4878,4878,4878,nan,0.027559870356747142,0.6086979460340085,0.05129940229821567,3.3336124326781973,0.5853243241043673,0.0,0.0,8.0859375,0.0,1.63679039478302,54.42889516853927,6999.5005960954995,0.3274146295894801,0.7876410579127783,0.0,0.025491935798968378,0.6181468737638839,0.05403869349848617,3.545152115612545,0.9910151569602034,0.0,0.0,10.40625,0.0,1.4075567722320557,68.03611896067409,8749.375745119369,0.5260495621604345,0.9845513223909722,0.0,0.030278425333473795,0.04719115711716804,P3:quintic
P3,preview2,,,,,,,r01,ok,0,config/h1_real_p3_preview2_hip_knee_pd.yaml,data/20260623_165919/h1_real_p3_preview2_hip_knee_pd_log.csv,7.999691861999963,5974,3706,3706,3706,nan,0.028690211217357427,0.16787337118555046,0.04878879386720719,2.9840844877437456,0.44959939216802614,0.0,0.0,5.859375,0.0,1.1543972492218018,3.5394541736850704,80.02897039252493,0.32770782099495976,0.659987099614493,0.0,0.027419512816011238,0.1845123008527085,0.05047127982742111,2.542509212800123,0.6989142274224116,0.0,0.0,6.65625,0.0,1.2568690776824951,4.424317717106326,100.03621299103489,0.5259658376401996,0.8249838745180924,0.0,0.030346032285019402,0.04687243111237749,P3:preview2
P3,quintic,,,,,,,r02,ok,0,config/h1_real_p3_quintic_hip_knee_pd.yaml,data/20260623_165932/h1_real_p3_quintic_hip_knee_pd_log.csv,7.99874580300002,7818,4884,4884,4884,nan,0.027480817101442772,0.6068666516750029,0.04973165745789809,3.3123258934264213,0.587870234542511,0.0,0.0,8.0859375,0.0,1.64781653881073,54.442775941961735,7002.284105580141,0.3273082054186989,0.7882226950515369,0.0,0.025403550416723545,0.6195642768076777,0.054476269503467734,3.5154414878394156,0.9785340734049174,0.0,0.0,10.125,0.0,1.4037895202636719,68.0534699274521,8752.85513197516,0.5261441671696854,0.9852783688144203,0.0,0.030208907378501744,0.046727100923778186,P3:quintic
P3,preview2,,,,,,,r02,ok,0,config/h1_real_p3_preview2_hip_knee_pd.yaml,data/20260623_165946/h1_real_p3_preview2_hip_knee_pd_log.csv,7.999912533000497,6054,3754,3754,3754,nan,0.02858391881895931,0.1676995395381263,0.0484285168287939,2.968442061383604,0.4534477103968218,0.0,0.0,5.5078125,0.0,1.1535694599151611,3.5206815932190865,81.53264144065466,0.32742693388005506,0.6603500718928768,0.0,0.027218387117948804,0.18370906829821243,0.05073925017225733,2.5258110630459636,0.6703830530623187,0.0,0.0,6.375,0.0,1.2568973302841187,4.400851991523741,101.91580180116125,0.526272944609998,0.8254375898660797,0.0,0.03044523585738795,0.04685702184533569,P3:preview2
P4-Ko,,ko,o0,0.0,1.0,none,none,r01,ok,0,config/h1_real_p4_ko_o0_hip_knee_eid.yaml,data/20260623_170004/h1_real_p4_ko_o0_hip_knee_eid_log.csv,7.9981184700000085,7838,4908,4908,4908,nan,0.11405818948086852,0.35496204901169126,0.21466720825394237,2.7954777795257084,0.5577066423525445,2.8225150283468126,0.18053999151066014,7.3828125,6.243772506713867,1.7320817708969116,4.369382472515718,263.47599247782813,0.0,0.0,0.0,0.32759221574081737,0.8102278110753861,0.5238019517052881,1.1603058202805918,0.5671308563952246,1.1939027927998032,0.1303520013695055,2.8125,2.165691614151001,0.5622519850730896,5.461728090635465,329.34499059406085,0.0,0.0,0.0,0.400029131235159,0.6065342972615202,P4-Ko:o0
P4-Ko,,ko,o0,0.0,1.0,none,none,r02,ok,0,config/h1_real_p4_ko_o0_hip_knee_eid.yaml,data/20260623_170017/h1_real_p4_ko_o0_hip_knee_eid_log.csv,7.999174176999986,7810,4880,4880,4880,nan,0.11800212458462142,0.3774032845199944,0.2290374214788582,2.8255221213253074,0.5426787810995742,2.860630425359192,0.18084542996713987,7.32421875,6.277982711791992,1.737382173538208,4.373829610697146,263.58045813437775,0.0,0.0,0.0,0.3295371733919535,0.7771603549468233,0.5373924108818301,1.1729794999925036,0.5869316213072916,1.2039230412947246,0.13060648513373177,3.28125,2.179898977279663,0.598783016204834,5.467287013367787,329.47557266295996,0.0,0.0,0.0,0.40488835742814155,0.6601467188974115,P4-Ko:o0
P4-Ko,,ko,o0,0.0,1.0,none,none,r03,ok,0,config/h1_real_p4_ko_o0_hip_knee_eid.yaml,data/20260623_170031/h1_real_p4_ko_o0_hip_knee_eid_log.csv,7.999041902000499,7812,4880,4880,4880,nan,0.1170638563704859,0.36818156552008513,0.21509086308816822,2.8285939992337537,0.5428784722295567,2.862035350671921,0.1813326711875402,6.796875,6.187827110290527,1.7128692865371704,4.372888050151933,263.83940761199347,0.0,0.0,0.0,0.33142549504640706,0.7936472417276418,0.5463507098647693,1.1834794291283994,0.5737993591547664,1.2051188548735992,0.13111966566305078,3.1875,2.15016770362854,0.5948201417922974,5.466110062653363,329.7992595130061,0.0,0.0,0.0,0.4073301373090696,0.6410010120370124,P4-Ko:o0
P4-Ko,,ko,o1,0.25,1.0,none,none,r01,ok,0,config/h1_real_p4_ko_o1_hip_knee_eid.yaml,data/20260623_170044/h1_real_p4_ko_o1_hip_knee_eid_log.csv,7.999850541999876,7798,4876,4876,4876,nan,0.0102783183432451,0.15502766242931687,0.029735782144250766,2.8106946525602243,0.48852194518915215,2.851472937670324,0.18109267166970808,7.03125,6.446723461151123,1.422906756401062,4.372574365686511,263.6121792527497,0.0003054268290410902,0.004728123520276194,0.008092463305761029,0.025465064789647978,0.2793807624704108,0.05418839877872905,2.5398738508527323,0.7397085440388856,2.577148162051442,0.13669427313638746,6.9375,5.52799654006958,1.8943543434143066,5.465717957101408,329.51522406130323,0.0005509715546382557,0.012207370603464055,0.01850411667397787,0.033947352080543815,0.08261451353074722,P4-Ko:o1
P4-Ko,,ko,o1,0.25,1.0,none,none,r02,ok,0,config/h1_real_p4_ko_o1_hip_knee_eid.yaml,data/20260623_170058/h1_real_p4_ko_o1_hip_knee_eid_log.csv,7.9990945999998075,7812,4882,4882,4882,nan,0.010371760352468454,0.16406947692629656,0.0292072658252146,2.8383847126635433,0.4982347124993941,2.876261200356431,0.18069308997588288,6.6796875,6.239647388458252,1.4338316917419434,4.372593453753753,263.88040976698846,0.00033853853287085366,0.004915138251246207,0.008523315328186344,0.02606046444080467,0.2992227492521142,0.05643809461723848,2.6397641436741606,0.7617350053435766,2.6507980951103782,0.1407502187428677,6.75,5.7555999755859375,1.8881381750106812,5.465741817224269,329.8505122077091,0.0005966959956691106,0.012568097697945455,0.019189780820879708,0.03476544228043687,0.08560479118671571,P4-Ko:o1
P4-Ko,,ko,o1,0.25,1.0,none,none,r03,ok,0,config/h1_real_p4_ko_o1_hip_knee_eid.yaml,data/20260623_170111/h1_real_p4_ko_o1_hip_knee_eid_log.csv,7.99985452600049,7826,4874,4874,4874,nan,0.010046070185715806,0.1586450161360361,0.0286319230154789,2.80355641424053,0.49774682627229805,2.8498422064861235,0.18096278796030985,7.03125,6.41117525100708,1.4681217670440674,4.373556918662068,263.6822788262471,0.0003499795012133837,0.004881532661079439,0.00857799907676132,0.02525400520832199,0.2963158695692072,0.05486965294752366,2.57043415620492,0.7599948817014747,2.614609518673275,0.14153480258192436,7.21875,5.933761119842529,1.9069745540618896,5.466946148336179,329.60284853163705,0.0005866515781748022,0.012232695715885665,0.018645195957524667,0.03371907501412109,0.07718039698834955,P4-Ko:o1
P4-Ko,,ko,o2,0.5,1.0,none,none,r01,ok,0,config/h1_real_p4_ko_o2_hip_knee_eid.yaml,data/20260623_170124/h1_real_p4_ko_o2_hip_knee_eid_log.csv,7.998066394999114,7816,4884,4884,4884,nan,0.008827555166705638,0.13493913534722202,0.02120106105420949,2.7338493915845117,0.4961820151042635,2.7834949297622082,0.1819151716907546,6.97265625,6.6843647956848145,1.2970796823501587,4.373974521473814,263.7696595269255,0.0004428877039447744,0.006070440794778809,0.009578318231666936,0.020357721449000155,0.27402955656582506,0.04480809166797395,2.6406653212469005,0.771947380472897,2.680604351826301,0.14706626422644617,7.21875,6.091538906097412,1.7982370853424072,5.467468151852315,329.7120744071343,0.0006011165190742166,0.0145555543307066,0.01943289747846921,0.028342728533821585,0.06573290081478467,P4-Ko:o2
P4-Ko,,ko,o2,0.5,1.0,none,none,r02,ok,0,config/h1_real_p4_ko_o2_hip_knee_eid.yaml,data/20260623_170138/h1_real_p4_ko_o2_hip_knee_eid_log.csv,7.998925199000041,7820,4888,4888,4888,nan,0.009030865149052233,0.13149897549909184,0.026057010935066294,2.7507648150852613,0.5142400611229596,2.7774994356944784,0.18193087825199414,7.20703125,6.644231796264648,1.3009772300720215,4.368773919878845,264.0622946315536,0.0003922572044182424,0.005779681947556705,0.009113299987033151,0.020152052332383475,0.274863640014278,0.04724202541413969,2.6668162119254526,0.7550913836054348,2.692476406471373,0.1456405618495443,7.5,6.529581069946289,1.7820361852645874,5.460967399874878,330.0778682856775,0.0005537476359121616,0.014607309468180465,0.019415758541749418,0.02835501285439629,0.07288070795728074,P4-Ko:o2
P4-Ko,,ko,o2,0.5,1.0,none,none,r03,ok,0,config/h1_real_p4_ko_o2_hip_knee_eid.yaml,data/20260623_170151/h1_real_p4_ko_o2_hip_knee_eid_log.csv,7.9988057939999635,7816,4886,4886,4886,nan,0.008891912947498573,0.13205870064586006,0.020491105712517776,2.7397794703859915,0.5050219710795585,2.775525511228405,0.1809189931640727,7.03125,6.552117347717285,1.3133821487426758,4.370332792947413,263.8946793284147,0.0003415201616308639,0.005945136688064657,0.009001825825144218,0.020309094481827814,0.2743435188066371,0.041146686066079075,2.6537437611864143,0.797300571070664,2.68274335896871,0.1443974677684837,7.3125,6.210392951965332,1.7916053533554077,5.462915991203736,329.86834915767747,0.00046244627484528996,0.014594266456886964,0.01899401045190458,0.02834908269105294,0.06030196344768024,P4-Ko:o2
P4-Ko,,ko,o3,0.75,1.0,none,none,r01,ok,0,config/h1_real_p4_ko_o3_hip_knee_eid.yaml,data/20260623_170205/h1_real_p4_ko_o3_hip_knee_eid_log.csv,7.99854055600008,7814,4886,4886,4886,nan,0.008233600934853876,0.11517339724208087,0.01738192754106893,2.7169693858044095,0.5076542061273035,2.75138266267806,0.18396056544566938,7.44140625,6.733158588409424,1.2745379209518433,4.372232379233232,263.79386836651923,0.0003695140677758804,0.006059573956326516,0.008960604196651869,0.01804281937196024,0.24324194578567468,0.035541912853276236,2.5973034133459083,0.7772494315364342,2.619356520859293,0.14198285371602412,9.0,6.227656841278076,1.6538432836532593,5.465290474013261,329.74233545407316,0.0004695727454926414,0.01523269236791091,0.018876500407142078,0.025629609132447113,0.05101896970283071,P4-Ko:o3
