method,repeat,log_path,window,n,dt_median,source,target,corr_zero_lag,best_corr_abs_lag,best_lag_ms
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,490,0.0020324049999089766,eid_comp_k,d_kacc,0.3634247011879814,0.6942202033281845,-34.5508849984526
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,490,0.0020324049999089766,eid_comp_k,d_vel,0.29962399825231534,0.3577227978884834,-79.26379499645009
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,490,0.0020324049999089766,eid_comp_k,d_model,0.37365440186617527,0.616184013491269,-30.48607499863465
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,490,0.0020324049999089766,eid_comp_k,d_in,0.37365440186617516,0.616184013491269,-30.48607499863465
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,976,0.0020324049999089766,eid_comp_k,tau_sw_k,,,0.0
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,976,0.0020324049999089766,eid_comp_k,d_g,-0.3191833582955752,-0.3389915534650428,79.26379499645009
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,976,0.0020324049999089766,eid_comp_k,d_hacc,0.39411217077008565,0.6539075632965249,-30.48607499863465
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,976,0.0020324049999089766,eid_comp_k,d_kacc,0.37178849387113044,0.6925146797678904,-30.48607499863465
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,976,0.0020324049999089766,eid_comp_k,d_vel,0.3184759784100767,0.3193712092563608,-4.064809999817953
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,976,0.0020324049999089766,eid_comp_k,d_model,0.35937203215019164,0.7081458326099362,-30.48607499863465
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,976,0.0020324049999089766,eid_comp_k,d_in,0.35937203215019164,0.7081458326099362,-30.48607499863465
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,pre,487,0.0020317380001415586,eid_comp_k,tau_sw_k,,,0.0
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,pre,487,0.0020317380001415586,eid_comp_k,d_g,,,0.0
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,pre,487,0.0020317380001415586,eid_comp_k,d_hacc,,,0.0
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,pre,487,0.0020317380001415586,eid_comp_k,d_kacc,,,0.0
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,pre,487,0.0020317380001415586,eid_comp_k,d_vel,,,0.0
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,pre,487,0.0020317380001415586,eid_comp_k,d_model,,,0.0
