method,repeat,log_path,window,n,dt_median,tau_sw_k_rms,tau_sw_k_peak_abs,tau_sw_k_mean,d_g_rms,d_g_peak_abs,d_g_mean,d_hacc_rms,d_hacc_peak_abs,d_hacc_mean,d_kacc_rms,d_kacc_peak_abs,d_kacc_mean,d_vel_rms,d_vel_peak_abs,d_vel_mean,d_model_rms,d_model_peak_abs,d_model_mean,d_in_rms,d_in_peak_abs,d_in_mean,eid_comp_k_rms,eid_comp_k_peak_abs,eid_comp_k_mean,tau_sw_k_rms_over_d_in,d_g_rms_over_d_in,d_hacc_rms_over_d_in,d_kacc_rms_over_d_in,d_vel_rms_over_d_in,d_model_rms_over_d_in,recon_err_rms,recon_err_over_model_rms
pd,r02,data\20260623_191407\h1_real_p2_anti_hip_knee_pd_log.csv,plateau,487,0.0020277890000670595,4.0,4.0,-4.0,1.1509849346900647,1.827115472211632,0.835642211641404,1.5708773358115125,2.832915753293518,-0.3137650201806727,1.95357375993953e-09,4.2567984692709615e-09,-2.5819820096662806e-10,0.05187719269346284,0.10144929509518485,0.03815384900566307,0.9879681689453932,2.2630628043749725,0.5600310402081963,3.534944523070163,5.1478330057144595,-3.4399689597918037,0.0,0.0,0.0,1.1315594838602807,0.32560197965721216,0.444385286829672,5.526462288700406e-10,0.014675532347083783,0.27948618783055895,2.3293396424338235e-16,2.357707176862062e-16
pd,r02,data\20260623_191407\h1_real_p2_anti_hip_knee_pd_log.csv,recovery,985,0.0020277890000670595,0.0,0.0,0.0,1.0112775489951862,1.5750890418052048,0.7409716992313149,1.3123664124817673,2.4019267778907873,-0.3402787543738771,1.739572168518413e-09,3.875885834503379e-09,-3.5605258160003277e-10,0.06523519920567108,0.13190746861785163,0.04951928507465512,0.8024262679232749,1.8555844516004867,0.45021222957604035,0.8024262679232749,1.8555844516004867,0.45021222957604035,0.0,0.0,0.0,0.0,1.2602747310509044,1.6354978207259425,2.167890357104741e-09,0.08129743730162713,1.0,2.1009653636462295e-16,2.6182659362381645e-16
pd,r03,data\20260623_191438\h1_real_p2_anti_hip_knee_pd_log.csv,pre,487,0.0020322970000279383,0.0,0.0,0.0,0.9785922326313345,1.583505594538757,0.5682366742712333,1.4757775954202792,2.51355087371463,-0.09882635974747139,1.915898494075451e-09,3.7243266248765394e-09,3.87687978058784e-12,0.05584301347286772,0.12101111961324662,0.040206064523294296,0.9002465806172074,1.878798614681883,0.5096163790509329,0.9002465806172074,1.878798614681883,0.5096163790509329,0.0,0.0,0.0,0.0,1.0870268809690047,1.6393037498776044,2.1281930254729926e-09,0.06203079764499839,1.0,2.1467714740485829e-16,2.3846482955556025e-16
pd,r03,data\20260623_191438\h1_real_p2_anti_hip_knee_pd_log.csv,disturbance,683,0.0020322970000279383,3.6228244638330733,4.0,-3.424720040874198,1.0064445900503876,1.828372475477815,0.7062832008030853,1.4168639091363693,2.870600665152152,-0.05990341128569035,1.7941568063249743e-09,4.1075787216016124e-09,5.1263872559658684e-15,0.06837125564710567,0.1380249031718579,0.05409912423321807,1.0539997414402538,2.273160929998741,0.7004789137506183,3.1139741375890213,5.151908388492764,-2.72424112712358,0.0,0.0,0.0,1.1634086552298815,0.32320261684306156,0.45500182292245017,5.761630402345252e-10,0.021956269585476314,0.33847414746235105,2.002271827464267e-16,1.8996891068760914e-16
pd,r03,data\20260623_191438\h1_real_p2_anti_hip_knee_pd_log.csv,plateau,487,0.0020322970000279383,4.0,4.0,-4.0,1.152501849615438,1.828372475477815,0.8382567395927809,1.567246344605769,2.870600665152152,-0.31984139662012817,1.938558518109419e-09,4.1075787216016124e-09,-2.605935780412869e-10,0.05215977861019122,0.1021328413886371,0.03831732861520396,0.9832067409568362,2.273160929998741,0.5567326713272631,3.5373484596297344,5.151908388492764,-3.4432673286727367,0.0,0.0,0.0,1.1307904905751618,0.3258095329788556,0.4430568157172216,5.480258844254022e-10,0.01474544541072749,0.2779502082358467,2.116718232926532e-16,2.1528719695987703e-16
pd,r03,data\20260623_191438\h1_real_p2_anti_hip_knee_pd_log.csv,recovery,977,0.0020322970000279383,0.0,0.0,0.0,1.0104143224065403,1.572838801420103,0.737980698395458,1.3197272279054413,2.5341977141340593,-0.34375784801375575,1.7445185927600447e-09,4.093246630532121e-09,-3.5874828607505587e-10,0.0648704169604621,0.1295395306475582,0.04926864381342409,0.804243639353835,1.7723012605019761,0.4434914938363781,0.804243639353835,1.7723012605019761,0.4434914938363781,0.0,0.0,0.0,0.0,1.2563535139903026,1.6409545109561186,2.1691419209254402e-09,0.08066015543819764,1.0,2.109203752605176e-16,2.6225930170859716e-16
pd,r04,data\20260623_191505\h1_real_p2_anti_hip_knee_pd_log.csv,pre,489,0.002032538000094064,0.0,0.0,0.0,0.9780645249505373,1.5824965200952046,0.5645960355962087,1.4882088953476156,2.7437986265278806,-0.09205965266846737,1.9061012497054185e-09,3.746283727679156e-09,9.265501916963294e-12,0.056453474928427574,0.1237169502165143,0.04047407086937871,0.9173792598386178,1.9841519640657088,0.5130104538063857,0.9173792598386178,1.9841519640657088,0.5130104538063857,0.0,0.0,0.0,0.0,1.066150683548912,1.6222395256781978,2.0777679779252185e-09,0.06153777112680602,1.0,2.0896748346578153e-16,2.2778745129091143e-16
pd,r04,data\20260623_191505\h1_real_p2_anti_hip_knee_pd_log.csv,disturbance,683,0.002032538000094064,3.6267096959612704,4.0,-3.4313279585638576,1.007083677986139,1.827914290911428,0.7055242590381052,1.4161443770831823,2.9932829399841805,-0.0654109347325741,1.7850789072978145e-09,3.913056989546249e-09,-3.493754505595154e-12,0.06794030636484284,0.13731260267893486,0.05375930659642141,1.0525055392924443,2.1155294529037505,0.6938726308984586,3.1209791099460253,5.274665650005689,-2.7374553276653986,0.0,0.0,0.0,1.16204228487258,0.32268196694323775,0.45375003394613345,5.7196118410696e-10,0.021768907759852903,0.33723568861396397,2.1393138488045777e-16,2.0325915341431358e-16
pd,r04,data\20260623_191505\h1_real_p2_anti_hip_knee_pd_log.csv,plateau,488,0.002032538000094064,4.0,4.0,-4.0,1.152669959498085,1.827914290911428,0.8368806795407236,1.5705931455726703,2.9932829399841805,-0.3238133384415224,1.9182471003180555e-09,3.913056989546249e-09,-2.6434490721891046e-10,0.052119168164959935,0.10302842886870889,0.03834939857858633,0.9838777606175015,2.1155294529037505,0.5514167394134427,3.5435408185218025,5.274665650005689,-3.4485832605865574,0.0,0.0,0.0,1.1288144273920373,0.32528762007570844,0.4432270505713682,5.413362505354905e-10,0.014708217242069638,0.2776538527438013,2.277998278829954e-16,2.315326527352581e-16
pd,r04,data\20260623_191505\h1_real_p2_anti_hip_knee_pd_log.csv,recovery,975,0.002032538000094064,0.0,0.0,0.0,1.0101660885525658,1.573595802545239,0.7374673835192261,1.3281277885487084,2.4531951342991767,-0.34194863546062515,1.7520452160547496e-09,3.980016316518231e-09,-3.5865802199157836e-10,0.06548731190325278,0.13223480365048035,0.04955382640351587,0.8118564581615596,1.922007944458683,0.445072574103459,0.8118564581615596,1.922007944458683,0.445072574103459,0.0,0.0,0.0,0.0,1.2442668631842584,1.6359145452340673,2.1580726475000734e-09,0.0806636582673101,1.0,2.0411071919837895e-16,2.5141232436653336e-16
pd,r05,data\20260623_191536\h1_real_p2_anti_hip_knee_pd_log.csv,pre,489,0.002032565500030614,0.0,0.0,0.0,0.977068114827526,1.5807784192193215,0.5628847747192555,1.4788158119913157,2.647816259186895,-0.09131522404268572,1.907029662172009e-09,3.753433563957742e-09,7.962687454021472e-12,0.056079478506648225,0.12348962431752053,0.04016127176876503,0.908573473276873,1.8675149336772918,0.5117308224532974,0.908573473276873,1.8675149336772918,0.5117308224532974,0.0,0.0,0.0,0.0,1.0753870144410218,1.627623803122712,2.0989272945577983e-09,0.061722557565313065,1.0,2.14039047682298e-16,2.355770380466227e-16
pd,r05,data\20260623_191536\h1_real_p2_anti_hip_knee_pd_log.csv,disturbance,683,0.002032565500030614,3.6232035542729064,4.0,-3.425460772027067,1.0052106402090073,1.827775816889792,0.704613968597502,1.4147935343999767,3.0355706069389385,-0.06323557229939653,1.7959674230220107e-09,4.303834622021441e-09,-4.41247360846015e-12,0.06858920549191157,0.1387069062902806,0.054207337185087155,1.0492520993961083,2.2573820239101554,0.6955857334787802,3.1179711713838523,5.320222821635593,-2.7298750385482866,0.0,0.0,0.0,1.162038824324606,0.32239253827445224,0.4537545271055369,5.760051406199836e-10,0.021998024267001016,0.33651757560363127,2.1923295911041694e-16,2.089421209989433e-16
pd,r05,data\20260623_191536\h1_real_p2_anti_hip_knee_pd_log.csv,plateau,486,0.002032565500030614,4.0,4.0,-4.0,1.1514669755043256,1.827775816889792,0.8364891281703861,1.567798930814231,3.0355706069389385,-0.31953144673514733,1.9455941303491555e-09,4.303834622021441e-09,-2.5995110710505687e-10,0.05183487286855196,0.10110586411287548,0.038139756690909764,0.9844436621628138,2.2573820239101554,0.5550974378661976,3.5395409054060885,5.320222821635593,-3.4449025621338025,0.0,0.0,0.0,1.1300900616491345,0.32531534633365644,0.4429384975943254,5.496741476776178e-10,0.014644518668899233,0.2781274997159185,2.3427218244745655e-16,2.379741893332552e-16
pd,r05,data\20260623_191536\h1_real_p2_anti_hip_knee_pd_log.csv,recovery,975,0.002032565500030614,0.0,0.0,0.0,1.0086670813416887,1.573672413812901,0.7357249314332925,1.3227044664103282,2.5808192997568713,-0.3442678352591105,1.7533299597457706e-09,3.964562012015449e-09,-3.583665694971781e-10,0.06505418525549234,0.13060132084231046,0.04927061723333447,0.8054083627666249,1.9820336092301631,0.44072771304915004,0.8054083627666249,1.9820336092301631,0.44072771304915004,0.0,0.0,0.0,0.0,1.2523672809614967,1.6422780387662739,2.176945312217742e-09,0.0807716783968165,1.0,2.1373965128416395e-16,2.6538047177701973e-16
