cycle,t,q_h,q_k,dq_h,dq_k,tau_est_k,tau_cmd_k,u_feedback_k,xbar_q_k,eta_u_k,tau_sw_k,disturbance_scale,t_rel,qdd_h,qdd_k,tau_full,tau_loc,d_model,d_g,d_hacc,d_kacc,d_vel,d_recon,d_recon_err,d_in,eid_comp_k,method,repeat,condition_id,log_path,config_path
3003,1121.696159173,-0.4454376697540283,0.6746872663497925,-0.8389344811439514,0.9844565391540527,2.71875,3.676239252090454,2.1401731359367133,0.6755452631768514,-0.021397031541483036,0.0,0.0,6.144211136999957,4.011121129647179,-6.192512862623337,1.481712225207488,0.38726894299102854,1.0944432822164594,-0.20727381823776714,1.2258023300069099,2.0042585369139942e-09,0.07591476844305811,1.0944432822164594,0.0,1.0944432822164594,0.021397031541483036,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3004,1121.698210345,-0.4466392993927002,0.6766207218170166,-0.822991132736206,0.982650637626648,3.46875,3.87623929977417,2.196181438225651,0.6770648288534623,-0.025855732201329612,0.0,0.0,6.146262308999894,3.8129751923863777,-6.251366718162911,1.404531408643005,0.3795201541246853,1.0250112545183196,-0.21270141481394367,1.1644524554823072,2.023307299481303e-09,0.07326021182664899,1.0250112545183199,2.220446049250313e-16,1.0250112545183196,0.025855732201329612,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3005,1121.700301535,-0.4481988549232483,0.6795289516448975,-0.8182393312454224,0.9425094127655029,2.15625,4.076239109039307,2.226847476023371,0.6788367153830038,-0.022639011174996972,0.0,0.0,6.148353498999995,3.6531295652483755,-6.320056477123978,1.302874644855054,0.33539502562599344,0.9674796192290607,-0.21972435606086127,1.1144853323560375,2.045537961237187e-09,0.07271864088834645,0.9674796192290607,0.0,0.9674796192290607,0.022639011174996972,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3006,1121.702446491,-0.45001405477523804,0.6813985109329224,-0.8241963386535645,0.9309126138687134,3.5625,4.063004016876221,2.200510003478737,0.6814170440064088,-0.019180739450793616,0.0,0.0,6.1504984549999335,3.6681113048915304,-6.248907776797324,1.3144085204156155,0.3500764383136101,0.9643320821020054,-0.22795594250473594,1.1183100753275597,2.0225092711712023e-09,0.0739779472566724,0.9643320821020054,0.0,0.9643320821020054,0.019180739450793616,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3007,1121.704589183,-0.45129239559173584,0.6826448440551758,-0.8159931302070618,0.9078047275543213,3.28125,3.863003969192505,2.220138245379191,0.6836198611178455,-0.025103639551998472,0.0,0.0,6.15264114699994,3.8103636052531855,-6.145485209560179,1.3585394686339765,0.35849110793658134,1.0000483606973951,-0.23375405975311936,1.1611614001207589,1.9890364910679637e-09,0.07264101834071912,1.0000483606973951,0.0,1.0000483606973951,0.025103639551998472,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3008,1121.706681636,-0.45377230644226074,0.686000406742096,-0.7854348421096802,0.8890579342842102,4.3125,3.69136118888855,2.327450452826327,0.6850957400237123,-0.036103123329723166,0.0,0.0,6.154733599999872,3.92974509374656,-5.976310663191521,1.416039251115084,0.3972713879697227,1.0187678631453614,-0.24495339413319672,1.1960994262549534,1.934283178073315e-09,0.06762182908932157,1.0187678631453614,0.0,1.0187678631453614,0.036103123329723166,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3009,1121.708772763,-0.45551085472106934,0.6872787475585938,-0.789415717124939,0.8726319670677185,4.03125,3.491361141204834,2.296463156783134,0.6877140965776138,-0.023274706088631303,0.0,0.0,6.156824726999957,4.150813913618809,-5.826308612505318,1.5025438941308578,0.424159023244322,1.0783848708865358,-0.2528511191988225,1.2628041542763873,1.8857333472510618e-09,0.06843183392323748,1.0783848708865356,-2.220446049250313e-16,1.0783848708865358,0.023274706088631303,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3010,1121.710802153,-0.4572237730026245,0.6889245510101318,-0.7971362471580505,0.8639209866523743,3.5625,3.3016810417175293,2.3483982189508894,0.6895614946488284,-0.032315485180258854,0.0,0.0,6.158854116999919,4.404528554917476,-5.544533276525782,1.6419082016151183,0.4933866827035436,1.1485215189115747,-0.26061138429526887,1.339194945246665,1.7945340768932283e-09,0.0699379561656448,1.148521518911575,2.220446049250313e-16,1.1485215189115747,0.032315485180258854,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3011,1121.712831426,-0.4596526026725769,0.6904745101928711,-0.7796497941017151,0.8588430285453796,4.125,3.2113230228424072,2.422520631634508,0.6911225747748762,-0.033732856963048286,0.0,0.0,6.160883389999981,4.599352664983379,-5.326550126833329,1.7428951715304364,0.5498533051812771,1.1930418663491593,-0.271651912509421,1.3976456494009852,1.7239818461689538e-09,0.06704812773361324,1.1930418663491593,0.0,1.1930418663491593,0.033732856963048286,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3012,1121.714861695,-0.4608030915260315,0.6917048692703247,-0.7681784629821777,0.8399422764778137,3.09375,3.13059663772583,2.486822416789829,0.6926018830520582,-0.031853871981385375,0.0,0.0,6.162913658999969,4.767309833687395,-5.153470373206533,1.8161999113344305,0.5798160872029283,1.2363838241315022,-0.27685409737684963,1.4480367305192798,1.6679644332384669e-09,0.06520118932110774,1.2363838241315024,2.220446049250313e-16,1.2363838241315022,0.031853871981385375,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
