cycle,t_rel,q_h,q_k,dq_h,dq_k,qdd_h,qdd_k,d_k_total,d_h_total,d_k_from_hip_acc,d_h_from_knee_acc,d_k_other_after_row2,d_h_other_after_row2,method,frequency_hz,reference_acceleration_gain
1220,2.44,-0.521452861712,0.746690548111,-0.517369589176,0.605638619313,4.502472983067596,-4.4772649955480714,0.821078058148978,-1.4851528783411836,1.3392083172596174,-1.3317104940245903,-0.5181302591106394,-0.1534423843165933,EID,0.8,1.0
1225,2.45,-0.526408434689,0.752626474482,-0.486650389447,0.596306187983,3.5241301056100838,-2.8754300068477043,0.5021639970440375,-1.001427328663032,1.0457179854900123,-0.8532286788707459,-0.5435539884459748,-0.14819864979228603,EID,0.8,1.0
1230,2.46,-0.531223411753,0.758696193025,-0.475710431991,0.605799487142,4.000903231835686,-4.332198752182157,0.6184027070791867,-1.4048377021806187,1.1842751311933182,-1.2823392489905538,-0.5658724241141315,-0.1224984531900648,EID,0.8,1.0
1235,2.47,-0.535739589327,0.764433627477,-0.430379899053,0.542482192816,5.50737294762216,-7.090673074469329,1.0358126329318684,-2.1868461398231434,1.626371488353045,-2.093932739116312,-0.5905588554211765,-0.09291340070683152,EID,0.8,1.0
1240,2.48,-0.539593658745,0.76917128706,-0.352639176785,0.426097460814,6.323273775845324,-7.835454823315642,1.248842881339192,-2.3872091447974646,1.8636676001891335,-2.3093549013709884,-0.6148247188499414,-0.07785424342647618,EID,0.8,1.0
1245,2.49,-0.54261562806,0.772806332978,-0.272523457393,0.329922830203,5.536806472250194,-5.68987869989321,0.9952185426055304,-1.7525022741604213,1.6294092841307535,-1.6744564263984412,-0.634190741525223,-0.07804584776198009,EID,0.8,1.0
1250,2.5,-0.54506647044,0.775924071429,-0.23245050643,0.310463793296,4.330289055892213,-3.6474276540667745,0.6253022025262591,-1.150100651417704,1.272689245465548,-1.0719935526308575,-0.647387042939289,-0.07810709878684641,EID,0.8,1.0
1255,2.51,-0.547298939993,0.779118102962,-0.215322943914,0.317545785716,4.61609179296977,-4.774942818254271,0.6968465309488021,-1.468399773657565,1.3548706175520548,-1.4014950341318482,-0.6580240866032527,-0.06690473952571674,EID,0.8,1.0
1260,2.52,-0.549185041982,0.7819684769,-0.165659332303,0.253533474866,6.117632857060396,-7.701256618856264,1.1249105211984456,-2.310037042205572,1.7934316921961804,-2.257683325022076,-0.6685211709977348,-0.052353717183495796,EID,0.8,1.0
1265,2.53,-0.550354080925,0.783768978723,-0.08083922582,0.126438938378,6.9910923463963695,-8.765815181204323,1.3717683389405282,-2.613007295124104,2.0479320904082248,-2.5678096238321553,-0.6761637514676966,-0.04519767129194863,EID,0.8,1.0
1270,2.54,-0.550611965996,0.784325617575,0.00667696682839,0.0172988069884,6.181618332674474,-6.834143035745893,1.1323246714278756,-2.048903177394886,1.810381920757965,-2.0014838073051022,-0.6780572493300894,-0.04741937008978381,EID,0.8,1.0
1275,2.55,-0.550231470587,0.7842519936,0.0532766884611,-0.0129678002861,4.810012005764932,-4.690856612772147,0.7327488690388961,-1.42666856403158,1.4087299205844102,-1.373832342967816,-0.675981051545514,-0.052836221063763844,EID,0.8,1.0
1280,2.56,-0.549577204869,0.784155607724,0.0739037672629,-0.0141333068534,4.804256176375611,-5.4386476654573475,0.7344246077283498,-1.6459991957292264,1.407101700380399,-1.592906393182437,-0.6726770926520491,-0.053092802546789386,EID,0.8,1.0
1285,2.57,-0.548575343267,0.783660060033,0.122851339446,-0.0829794270004,6.0244775967202315,-7.995449757069274,1.0978793797905222,-2.3905697352846214,1.764858744992424,-2.3422511242457444,-0.6669793652019018,-0.04831861103887691,EID,0.8,1.0
1290,2.58,-0.546866767371,0.782078865658,0.206123980321,-0.211744333269,6.691545875203301,-8.768071116693843,1.3055583758269487,-2.616898457240819,1.961587242879876,-2.570308381342092,-0.6560288670529273,-0.04659007589872699,EID,0.8,1.0
1295,2.59,-0.544276906046,0.779265368947,0.289713610914,-0.31873634286,5.782403144552034,-6.65460691753419,1.0575622466505012,-2.0075505832686296,1.6970898872555011,-1.9530748412185792,-0.6395276406049999,-0.054475742050050346,EID,0.8,1.0
1300,2.6,-0.541091632421,0.775844645475,0.3320571685,-0.346821719388,4.419135441846756,-4.482437190416221,0.6765563299774947,-1.387584494243058,1.2988447306523487,-1.3174499858323463,-0.622288400674854,-0.07013450841071167,EID,0.8,1.0
1305,2.61,-0.537674683275,0.772421806008,0.348524351704,-0.346020243908,4.407239905298152,-5.254407864407208,0.6913488564639134,-1.627298051580845,1.297200383968688,-1.5465506860752605,-0.6058515275047747,-0.08074736550558459,EID,0.8,1.0
1310,2.62,-0.533949983535,0.768616522109,0.393628778768,-0.413433717959,5.553858749432768,-7.7702674176664015,1.0519248592169395,-2.3717278002327666,1.6372727142555954,-2.2906680560995216,-0.5853478550386559,-0.08105974413324502,EID,0.8,1.0
1315,2.63,-0.529554860624,0.763736427468,0.473375239075,-0.541230085296,6.084776644188584,-8.482675514795453,1.239751822132924,-2.589860721019172,1.7973980753772438,-2.5057196896298244,-0.5576462532443198,-0.08414103138934781,EID,0.8,1.0
1320,2.64,-0.524335144346,0.757650123086,0.5491786991,-0.644180544447,5.101248122047827,-6.473917308180262,0.985183633677914,-2.0216589506806093,1.5106221084344216,-1.9171078096839276,-0.5254384747565076,-0.10455114099668172,EID,0.8,1.0
1325,2.65,-0.518607199331,0.751000024411,0.582856887359,-0.668072225468,3.746891002042833,-4.424590207586709,0.6167484044343616,-1.452244328700603,1.1125463733833914,-1.313772347921101,-0.4957979689490297,-0.13847198077950207,EID,0.8,1.0
1330,2.66,-0.51272280428,0.744359857764,0.593125963187,-0.668507259545,3.761205491518,-5.143762656992948,0.6512227273797383,-1.692571496240805,1.1197665323883894,-1.5313742593535498,-0.4685438050086511,-0.16119723688725518,EID,0.8,1.0
1335,2.67,-0.506577763404,0.737312342703,0.634017002261,-0.738914181989,4.874145890851105,-7.370009658705952,1.0194963945721924,-2.3652561747259107,1.4551553574607308,-2.2002847841574606,-0.43565896288853834,-0.16497139056845,EID,0.8,1.0
1340,2.68,-0.499815844406,0.729205337525,0.706880109963,-0.85952061211,5.310575626610541,-7.800421845012778,1.1958277147096867,-2.511680873061873,1.5904771696478042,-2.336167250109037,-0.3946494549381174,-0.175513622952836,EID,0.8,1.0
1345,2.69,-0.492318295386,0.720008919955,0.773057369091,-0.950652849343,4.365106990248071,-5.890778268920403,0.9613529665787959,-1.984957645441983,1.311952413681214,-1.7704997347457354,-0.3505994471024181,-0.21445791069624764,EID,0.8,1.0
1350,2.7,-0.484405605989,0.71034616028,0.797748406643,-0.965955249473,3.210210378650487,-4.048654575544019,0.6567635658545408,-1.490697770318743,0.9683813504241474,-1.221303628989694,-0.31161778456960665,-0.26939414132904904,EID,0.8,1.0
1355,2.71,-0.476403598593,0.700720329758,0.804000364143,-0.968463064358,3.256860185008067,-4.598677346093277,0.7105261312714131,-1.696573011916529,0.9859837404852798,-1.3922062457141484,-0.27545760921386675,-0.30436676620238057,EID,0.8,1.0
1360,2.72,-0.468153810957,0.690651514145,0.843643269644,-1.04037847173,4.095427810452435,-6.203864081840782,1.0123639890788738,-2.2008211308164123,1.244433613072641,-1.8851014721033073,-0.23206962399376718,-0.31571965871310503,EID,0.8,1.0
1365,2.73,-0.459341806283,0.679653594698,0.908114802448,-1.13943228245,4.143387305335098,-6.131473307357695,1.0827987193693769,-2.214921361002221,1.2639955310600985,-1.8704876682262297,-0.18119681169072166,-0.34443369277599123,EID,0.8,1.0
1370,2.74,-0.449952713598,0.667832952977,0.954506143689,-1.20252130497,2.936438987530691,-4.065832338692166,0.7685943886651165,-1.6627600850103277,0.8995387091462086,-1.2455132182492985,-0.13094432048109206,-0.4172468667610292,EID,0.8,1.0
1375,2.75,-0.44032482022,0.655755805058,0.963322062345,-1.20269985767,1.7726454405202343,-2.370084378489775,0.45814929486280787,-1.231202424632479,0.5452922220780125,-0.7290733655568404,-0.08714292721520467,-0.5021290590756387,EID,0.8,1.0
1380,2.76,-0.430733820462,0.643796275101,0.95963088357,-1.20008038049,1.9102356075612406,-2.9523801450892755,0.5440722175083297,-1.460515419932829,0.5899919472175754,-0.9118668418874014,-0.04591972970924574,-0.5486485780454275,EID,0.8,1.0
1385,2.77,-0.420991355235,0.631506904733,0.987960629776,-1.25346173086,2.6875384547816203,-4.266553551456308,0.8358026871876441,-1.8893014380387734,0.8334382355435053,-1.3231099474878256,0.0023644516441387875,-0.5661914905509478,EID,0.8,1.0
1390,2.78,-0.410820446937,0.618532095633,1.03704127621,-1.32597740445,2.642214398547024,-4.149179182676843,0.8795632514007461,-1.90424863107277,0.8228112931233049,-1.2920948014574494,0.05675195827744117,-0.6121538296153206,EID,0.8,1.0
1395,2.79,-0.400254578685,0.604999508344,1.0651567711,-1.36495810027,1.6783188425456483,-2.554302856311498,0.6334957946861977,-1.5032120220473555,0.5248677306208276,-0.7988179060642642,0.10862806406537007,-0.7043941159830913,EID,0.8,1.0
1400,2.8,-0.389606357371,0.591366222283,1.0603886255,-1.35634839299,0.8077425290419313,-1.2702401612634944,0.407809643190596,-1.2026310536977167,0.25366220853076804,-0.39890424619928666,0.15414743465982794,-0.8037268074984301,EID,0.8,1.0
1405,2.81,-0.379071342565,0.577869893012,1.05363996334,-1.3526375865,0.9348293674980024,-1.5426351983333682,0.49366543534241303,-1.345250741128729,0.2947512967022665,-0.48639221322739434,0.1989141386401465,-0.8588585279013348,EID,0.8,1.0
1410,2.82,-0.368410736215,0.564135667862,1.07786187492,-1.39097686034,1.5994034653350493,-2.3959921791869156,0.7565801956882057,-1.6398047968574514,0.506294426903992,-0.7584562079048425,0.2502857687842137,-0.8813485889526089,EID,0.8,1.0
1415,2.83,-0.357439145279,0.549963132524,1.10830171712,-1.43211691465,1.8522999534301743,-2.5124993774310305,0.8928220783783876,-1.721710942249278,0.5886823547960542,-0.7985013697110559,0.3041397235823333,-0.9232095725382221,EID,0.8,1.0
1420,2.84,-0.346261831586,0.535527850538,1.12148798742,-1.44741867391,1.329702790519388,-1.4973280011296666,0.7797104158612125,-1.4892632933590648,0.4242547469737479,-0.4777372182605131,0.3554556688874646,-1.0115260750985517,EID,0.8,1.0
1425,2.85,-0.335046303718,0.521076185247,1.12068463111,-1.44233373282,0.504208704447823,-0.22798405917340858,0.5657391899828577,-1.1955699818486223,0.16148506557135,-0.07301742397557165,0.40425412441150765,-1.1225525578730506,EID,0.8,1.0
1430,2.86,-0.32382154909,0.50665577655,1.12499012249,-1.44358103582,-0.009612792741579668,0.5013113109958027,0.45096524459696097,-1.0561698599518081,-0.003090038298200426,0.16114683754676928,0.4540552828951614,-1.2173166974985774,EID,0.8,1.0
1435,2.87,-0.312534646602,0.492198983799,1.13032654064,-1.44590655873,-0.09720033315741539,0.6318335937828436,0.4729268953670094,-1.0834425756866426,-0.03135626595084856,0.20382586725551555,0.504283161317858,-1.2872684429421581,EID,0.8,1.0
1440,2.88,-0.30124294023,0.477786571238,1.12723308793,-1.43653283904,0.12672973182828784,0.344019703074089,0.5940681353316313,-1.2267324650251341,0.041022215155309016,0.11135863757916287,0.5530459201763223,-1.338091102604297,EID,0.8,1.0
1445,2.89,-0.290015423775,0.463512884671,1.120067554,-1.42168825232,0.13763848163552517,0.3795021986995053,0.6455933527310698,-1.278863395924071,0.04469898854866716,0.12324579748549658,0.6008943641824026,-1.4021091934095675,EID,0.8,1.0
1450,2.9,-0.278800732183,0.449308854356,1.12563668671,-1.42381311916,-0.3570366463636443,1.1142077069048995,0.5344506000576938,-1.1359315925108655,-0.11631327430693605,0.3629799572902561,0.6507638743646299,-1.4989115498011216,EID,0.8,1.0
1455,2.91,-0.267489607689,0.43503545458,1.13048047317,-1.42376277266,-1.4412228393417816,2.617614883800565,0.22991975939121012,-0.7847995511117292,-0.47093527011666436,0.8553341917111283,0.7008550295078745,-1.6401337428228575,EID,0.8,1.0
1460,2.92,-0.256309779018,0.421009266757,1.10657653319,-1.38443219957,-2.3746783451616693,3.7124761013081518,-0.03209918257781075,-0.560237185101605,-0.7781716571037528,1.216562102231308,0.746072474525942,-1.776799287332913,EID,0.8,1.0
1465,2.93,-0.245465704693,0.407498387494,1.0692740216,-1.32876298813,-2.1984830002003815,3.1761847067239746,0.06595999726274182,-0.7882487402186271,-0.7223400504841916,1.0435766031363443,0.7883000477469334,-1.8318253433549714,EID,0.8,1.0
1470,2.94,-0.234953526971,0.394470445808,1.04240233651,-1.29018995068,-1.1102496466252738,1.6918456865749487,0.46520660115558,-1.2546167103633672,-0.36568119727187054,0.5572405793116095,0.8308877984274505,-1.8118572896749767,EID,0.8,1.0
1475,2.95,-0.224528155788,0.381557989159,1.04743153521,-1.2996275217,-0.4290686875134764,1.2168360632323498,0.7355613091633562,-1.4141788955832602,-0.14165135718277666,0.4017223461928707,0.8772126663461328,-1.8159012417761309,EID,0.8,1.0
1480,2.96,-0.213955837491,0.368449786319,1.05886822265,-1.30876944332,-1.478700978894807,3.215655549482383,0.4355262072084234,-0.8919728554277702,-0.48928156995556765,1.0640156584348897,0.9248077771639911,-1.9559885138626598,EID,0.8,1.0
1485,2.97,-0.203494631273,0.355650411608,1.03311944165,-1.25383064245,-3.34694640985688,5.761496481336817,-0.14223914081768108,-0.2571162176843167,-1.1098064486685342,1.9104416880227524,0.9675673078508531,-2.167557905707069,EID,0.8,1.0
1490,2.98,-0.193469095528,0.343635004988,0.979179036788,-1.16445013707,-4.106868280418686,6.020653265659204,-0.3585699106190199,-0.2907378474221698,-1.3643813459138718,2.000177859379363,1.005811435294852,-2.290915706801533,EID,0.8,1.0
