scope,direction,s,inc_pct,rms_x,rms_y,rms_res,reduction,corr,s_intercept,intercept,rms_res_intercept,reduction_intercept,n
EID r03,hip->knee,0.8601941846354477,-13.980581536455228,2.9470233080873656,2.671939650192373,0.8443779214884025,68.39831612859933,0.9741476845465837,0.8863968341505924,0.5983808210378103,0.6007306948501595,77.51705601558372,1762
EID r03,knee->hip,0.8225916818114682,-17.740831818853174,6.32217116606785,5.499702789819444,1.7890919959077802,67.46929671873202,0.9870343672212526,0.8539347745649711,-1.5752957524235491,0.8709531675086235,84.16363209443148,1762
EID r04,hip->knee,0.7174025731615905,-28.259742683840948,1.875495444531252,1.564816967463308,0.7989502879051072,48.94289207508602,0.940917329499705,0.7480909695086817,0.6235601081207389,0.5027992056500911,67.86849733198072,2140
EID r04,knee->hip,0.7053985406719027,-29.460145932809734,2.9615562194488168,2.6999079197758973,1.7103386344575158,36.65196424182198,0.939536548454912,0.742282057296951,-1.5160848460559135,0.7991725387801719,70.40000761038894,2140
EID r05,hip->knee,0.718946791659925,-28.105320834007497,1.8729804900317568,1.5660299289770583,0.7994936197813384,48.94774327183049,0.940902898239928,0.7492144069308367,0.6240040401120035,0.5030137534095622,67.87968453845998,2150
EID r05,knee->hip,0.720263285748619,-27.973671425138104,3.1015394190118957,2.816338446055669,1.7150339525964595,39.10412454162267,0.9459115086643464,0.7535218555802693,-1.5206703075132875,0.7997148037932087,71.6044495677278,2150
PD r01,hip->knee,0.4459266315558615,-55.407336844413855,1.392090521944877,0.9204593142231411,0.6796246476237803,26.164618346289746,0.9482250460173437,0.5116643289680484,0.6438146637667879,0.2361502437177687,74.34430397207971,2145
PD r01,knee->hip,0.35332615221793157,-64.66738477820684,1.7938155429549145,1.6168656321181127,1.4874641402863051,8.003231020643941,0.8811820578154949,0.45627970717598965,-1.43422890634333,0.43548088324191475,73.06635291199616,2145
PD r02,hip->knee,0.4415668795821551,-55.843312041784486,1.385396621532944,0.9125617098115586,0.6771533114612118,25.796436100629073,0.9500251222973298,0.5072340175643446,0.6438617703552959,0.22859370984918856,74.95032857598282,2156
PD r02,knee->hip,0.3536047015633825,-64.63952984366175,1.7906024344461713,1.6182228059449275,1.4892100509884734,7.972496400526241,0.8799230246151302,0.4569973647629571,-1.4352854860422333,0.43815199979809083,72.92387684882236,2156
PD r03,hip->knee,0.4424684328619499,-55.753156713805005,1.3883373621317259,0.913113519019993,0.6755867007583697,26.012846520611266,0.9493861071702403,0.5079175111761315,0.6413532669484158,0.23095432073883018,74.70694323015785,2147
PD r03,knee->hip,0.352079303506839,-64.79206964931609,1.7906752486835242,1.6140412718273662,1.485816206987012,7.944348578842842,0.8802588449778918,0.4553406127803896,-1.4324406800987493,0.43583743718319445,72.99713180879488,2147
PD r04,hip->knee,0.44594769773653414,-55.40523022634658,1.3947450467048075,0.9192759199111844,0.6769083679286454,26.36504957140129,0.9481049204406422,0.5106252539006246,0.6406467673062826,0.23646197974450192,74.27736606357016,2147
PD r04,knee->hip,0.3509103379889928,-64.90896620110071,1.7881137304582846,1.6139678081590452,1.4870025234876365,7.866655334112904,0.879998398448894,0.45438486239279496,-1.4339786491426665,0.434874349494815,73.0555747582816,2147
PD r05,hip->knee,0.4437856880281692,-55.62143119718308,1.3898607707664616,0.9138098712104052,0.6742446499017146,26.216090333032817,0.9485918554684529,0.5086199523020973,0.638905750518531,0.2335063386736279,74.44694503416423,2147
PD r05,knee->hip,0.3534336489378521,-64.6566351062148,1.7928687462073398,1.616613888316206,1.4872509159590481,8.002094581279184,0.8795351871022918,0.4564783356529128,-1.4329223058774978,0.4390670659721803,72.84032574843872,2147
