method,repeat,log_path,window,n,dt_median,d_k_total_rms,d_k_total_peak_abs,d_k_total_mean,d_k_config_rms,d_k_config_peak_abs,d_k_config_mean,d_k_from_hip_acc_rms,d_k_from_hip_acc_peak_abs,d_k_from_hip_acc_mean,d_k_from_hip_vel_rms,d_k_from_hip_vel_peak_abs,d_k_from_hip_vel_mean,d_k_from_hip_dynamic_rms,d_k_from_hip_dynamic_peak_abs,d_k_from_hip_dynamic_mean,d_k_self_acc_err_rms,d_k_self_acc_err_peak_abs,d_k_self_acc_err_mean,d_k_vel_residual_rms,d_k_vel_residual_peak_abs,d_k_vel_residual_mean,d_k_recon_err_rms,d_k_recon_err_peak_abs,d_k_recon_err_mean,d_h_total_rms,d_h_total_peak_abs,d_h_total_mean,d_h_config_rms,d_h_config_peak_abs,d_h_config_mean,d_h_from_knee_acc_rms,d_h_from_knee_acc_peak_abs,d_h_from_knee_acc_mean,d_h_from_knee_vel_rms,d_h_from_knee_vel_peak_abs,d_h_from_knee_vel_mean,d_h_from_knee_dynamic_rms,d_h_from_knee_dynamic_peak_abs,d_h_from_knee_dynamic_mean,d_h_self_acc_err_rms,d_h_self_acc_err_peak_abs,d_h_self_acc_err_mean,d_h_vel_residual_rms,d_h_vel_residual_peak_abs,d_h_vel_residual_mean,d_h_recon_err_rms,d_h_recon_err_peak_abs,d_h_recon_err_mean
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,late_5p4_7p4,589,0.002031108499977563,3.9757911853281254,9.139713600748188,-0.33535847180987205,0.8888652825238376,1.4722593573065328,0.5511186196452115,4.28091809368897,9.664239023322951,-0.990367076177316,0.1643476201535302,0.5755973989455958,0.10388998650214276,4.280134615192948,9.664207662707621,-0.8864770896751735,1.010491246921681e-08,2.3057779685586866e-08,-1.779909817060375e-09,0.16434762015353008,0.5755973989455967,0.10388998650214264,1.0771912894844094e-15,5.329070518200751e-15,3.124269377446854e-17,8.582238751592154,19.079666615024273,0.058361549953978194,1.809534483171147,2.5662613598773447,-1.5272333765126662,9.965448922658489,23.957290583163225,2.1315658658313974,0.15293361980123146,0.841452044329154,-0.026644826853325674,9.9611373518121,23.950366599628367,2.104921038978072,0.9580456912958062,2.609525220855879,-0.5193261125114274,0.15293361980123146,0.841452044329154,-0.026644826853325723,1.924599826971515e-15,1.4210854715202004e-14,-6.01292266308022e-17
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,steady_3_7p4,2140,0.0020356659999833937,1.564816967463308,8.102393731313619,0.4940563682633837,0.9359509609044708,1.771960609069364,0.6220905524099681,1.875495444531252,9.461113947973232,-0.17311228865977138,0.06074759669585797,0.17482691753789625,0.04507810465460826,1.8828336211836356,9.41228513950743,-0.12803418400516306,2.954725863093935e-09,9.066634554244501e-09,-1.4142130243923746e-10,0.060747596695857865,0.1748269175378958,0.04507810465460815,3.1834739841547753e-16,2.6645352591003757e-15,-1.1008198506432262e-17,2.6999079197758973,8.344540047625678,-1.3576984998180017,1.6815530540678065,2.594424397679255,-1.4763142953547432,2.9615562194488168,9.405536979659052,0.2133775761934508,0.05521551683320713,0.17091577413729553,0.03998643355790397,2.9580093126346463,9.42741698963476,0.25336400975135476,0.4253124312395169,2.5185762507251184,-0.1347482142146132,0.05521551683320707,0.17091577413729508,0.03998643355790389,7.540552481258259e-16,5.329070518200751e-15,-1.7249960546161895e-17
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,early_3_4,486,0.0020356659999833937,1.1652919525939378,2.7927576762596833,0.5390269594707078,0.9025759133632872,1.464446967568322,0.48470385718578246,1.6110631403487654,3.477268204181153,0.015848934079290285,0.05491821595549746,0.1250119279133557,0.03847416799327956,1.6244686916754711,3.4718706668990587,0.054323102072569816,2.7226633501331405e-09,7.4081363266031985e-09,2.123557254694022e-10,0.054918215955497354,0.12501192791335525,0.03847416799327943,2.8621511725433327e-16,1.3322676295501878e-15,-1.5519707147216372e-17,2.472024578012826,7.034455006183275,-1.5419663618638961,1.604106875613899,2.460747665584037,-1.333154577708539,2.6745086689803586,6.893887442551984,-0.1163704612478047,0.05053999235472271,0.11976833703686207,0.03498765128204523,2.662829131310839,6.834852782257764,-0.08138280996575963,0.32027816118666347,0.9432563073816684,-0.12742897418959753,0.050539992354722674,0.11976833703686207,0.03498765128204516,6.200304901253322e-16,2.886579864025407e-15,5.162765505458547e-17
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,middle_4_5p4,682,0.0020356659999833937,2.0423897752209967,8.102393731313619,0.5748054912877198,0.9518600535258903,1.771960609069364,0.6635468030824161,2.256224726231186,9.461113947973232,-0.13581970964130358,0.06307467839463309,0.17482691753789625,0.04707839806927869,2.261210839434773,9.41228513950743,-0.0887413115720248,3.0634401110684086e-09,7.303499138799907e-09,-2.2267131331690734e-10,0.06307467839463299,0.1748269175378958,0.04707839806927858,3.6855507810472476e-16,2.6645352591003757e-15,-2.3726540445618265e-17,2.8313061274184124,6.120263737358488,-1.2647866617775305,1.6616958761027865,2.594424397679255,-1.4754617342529905,3.0801942918062566,7.557890471281528,0.28371795886908413,0.05621635802279567,0.17091577413729553,0.039995214519262814,3.0833145155232478,7.646489842552403,0.32371317338834676,0.5275505413563039,2.5185762507251184,-0.1130381009128867,0.056216358022795634,0.17091577413729508,0.03999521451926277,8.656490501207021e-16,5.329070518200751e-15,-4.289498049688105e-17
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,late_5p4_7p4,972,0.0020356659999833937,1.3361501120792396,4.012898443303724,0.4149137661755683,0.9410695363834229,1.4704877975155242,0.6616962838095001,1.6955017886083354,5.306542662248299,-0.29375909230357683,0.06184840367717708,0.1288416493198925,0.04697657493094626,1.7023380692484926,5.29065537882362,-0.24678251737263066,2.988327339247885e-09,9.066634554244501e-09,-2.613010639053157e-10,0.061848403677176984,0.12884164931989295,0.04697657493094615,2.9471992937998935e-16,2.220446049250313e-15,1.7133071367672168e-19,2.7145627479647696,8.344540047625678,-1.3307557967205703,1.732464169436111,2.47567160621374,-1.5484923503418326,3.0127723975967036,9.405536979659052,0.3288975404029861,0.056725065242324235,0.12358718960181392,0.04247966356862476,3.0080303402246753,9.42741698963476,0.37137720397161095,0.38947830360103425,1.4208778565533073,-0.15364065035034885,0.056725065242324145,0.12358718960181303,0.042479663568624655,7.306560543915204e-16,3.552713678800501e-15,-3.369504035642193e-17
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,steady_3_7p4,2150,0.002032498499943358,1.566029928977058,6.550378113722774,0.4965177654352414,0.9346407475586875,1.7851956388747257,0.6215391144644489,1.872980490031757,7.906091249458156,-0.1701599348563118,0.060863406528125136,0.16989871664847755,0.04513858596527728,1.8803570462870285,7.858948813431157,-0.12502134889103447,3.0861979176464567e-09,8.607181634090466e-09,-1.3817268453610227e-10,0.060863406528125046,0.16989871664847755,0.045138585965277166,3.1661453785009115e-16,1.7763568394002505e-15,1.267397040029939e-17,2.816338446055669,7.939618217376136,-1.3621375668228346,1.684279477423634,2.6677624378112217,-1.4785135052947667,3.1015394190118952,8.921371914412601,0.21038904116241106,0.055282154550743305,0.16299428576858332,0.04012425785864354,3.097600587290508,8.988908993800388,0.2505132990210546,0.4231827547768248,2.111865985016099,-0.13413736054912254,0.05528215455074325,0.16299428576858332,0.04012425785864347,7.034193725104441e-16,3.552713678800501e-15,2.3805247179171963e-17
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,early_3_4,488,0.002032498499943358,1.1798834391333528,2.9061551965325383,0.5522051982688634,0.9028604431481312,1.4547790915506014,0.48443058262156613,1.6132788229930588,3.35861043917231,0.02879567184812807,0.05547373966227866,0.13004924685933839,0.03897894359235836,1.627059265253112,3.355167694184706,0.06777461544048645,2.671374986737514e-09,7.26252924465598e-09,2.0681116621147702e-10,0.05547373966227858,0.13004924685933839,0.03897894359235826,2.781205662504073e-16,1.5543122344752192e-15,1.923836772948049e-17,2.417292846949693,6.880910990620712,-1.5367978492388847,1.6072359001129641,2.459726250397245,-1.336307116218417,2.618657108445773,6.747818301273886,-0.11150865966209453,0.051375625278618685,0.1178809925948352,0.03562133747066848,2.6059221447483707,6.693055547807751,-0.07588732219142608,0.31949512834195937,0.9113816843136853,-0.1246034108290417,0.05137562527861866,0.11788099259483609,0.03562133747066842,6.123575078615423e-16,2.6645352591003757e-15,2.002041519815856e-17
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,middle_4_5p4,686,0.002032498499943358,2.0408117554307785,6.550378113722774,0.5747907523667838,0.9494286722717402,1.7851956388747257,0.6633048938122472,2.25432922351721,7.906091249458156,-0.13594793527663265,0.0635869737898471,0.16989871664847755,0.047433794038115186,2.259398348997174,7.858948813431157,-0.08851414123851734,3.4183374450718788e-09,8.607181634090466e-09,-2.0694591052460068e-10,0.06358697378984701,0.16989871664847755,0.04743379403811508,3.445566178923321e-16,1.7763568394002505e-15,1.2138006828992237e-19,3.147331495524635,6.674002005479877,-1.2835425471359558,1.666208858597783,2.6677624378112217,-1.4790651867536244,3.4606850477623357,8.921371914412601,0.26865960641086956,0.05669699319173315,0.16299428576858332,0.040591860487488,3.462125061423168,8.988908993800388,0.30925146689835764,0.5251223638386354,2.111865985016099,-0.1137288272806892,0.056696993191733096,0.16299428576858332,0.04059186048748792,7.819689622357204e-16,3.552713678800501e-15,3.6252180395923476e-17
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,late_5p4_7p4,976,0.002032498499943358,1.3337823366271546,3.6259961264594676,0.4136584045153178,0.9397704700694205,1.4703708069021049,0.6607375149836465,1.6895186140609642,4.918177641246762,-0.2936842870934292,0.06147866950051384,0.1306740370184225,0.04660517688742647,1.6961882516987399,4.905516234958855,-0.24707911020600268,3.033202433466224e-09,8.340835577769212e-09,-2.623260514794514e-10,0.06147866950051375,0.13067403701842206,0.04660517688742636,3.141758662363908e-16,1.5543122344752192e-15,1.8214596497756474e-17,2.7547367890136343,7.939618217376136,-1.3300494169111194,1.733824642786277,2.4934868885230976,-1.5492289401190313,3.0568153965045313,8.644612486425766,0.33038132624634176,0.05615238431601466,0.12447085696355664,0.04204705472948836,3.0523093980399527,8.668187179588445,0.37242838097583,0.3868341617591142,1.3144976863929188,-0.15324885776791836,0.0561523843160146,0.12447085696355487,0.04204705472948828,6.875310775852402e-16,3.552713678800501e-15,1.6949101502986507e-17
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,steady_3_7p4,2145,0.002031906500064906,0.9204593142231411,2.110001611309868,0.5425696327041819,1.002680035450585,1.8224906743251679,0.6918491680370755,1.392090521944877,2.8167428924401583,-0.197873928922899,0.06401146679897328,0.13698606353560328,0.04859439375174267,1.4014849439845696,2.811403262542603,-0.1492795351711564,1.8044012807082562e-09,3.958197769549088e-09,-1.6173714072152378e-10,0.0640114667989732,0.13698606353560328,0.04859439375174257,2.1714696224117367e-16,8.881784197001252e-16,-3.7848512203130335e-19,1.6168656321181127,3.917069952973731,-1.3288364332388591,1.668710631993206,2.503503111291642,-1.4632664430801257,1.7938155429549145,4.100572859081933,0.23098216170245087,0.06098004687112927,0.13167687072285705,0.0460803551974112,1.7881148210414868,4.105476509744643,0.27706251689986205,0.3041790529549642,0.7754617233906362,-0.14263250705859526,0.060980046871129234,0.13167687072285794,0.04608035519741116,5.113129224307015e-16,2.220446049250313e-15,8.359021840417845e-18
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,early_3_4,487,0.002031906500064906,0.9204509440768711,1.8373852436054814,0.511578410336258,0.9805707252730402,1.5789827430427905,0.5727468243831215,1.4882524917455742,2.620063989143774,-0.10125014868438685,0.05562340207225387,0.11954389599572623,0.04008173462682472,1.4974321874381937,2.61602362852999,-0.06116841405756208,1.923349500052958e-09,3.727629760419404e-09,1.0698580953708715e-11,0.05562340207225381,0.11954389599572623,0.04008173462682463,2.2288366588953693e-16,8.881784197001252e-16,5.8132827778113945e-18,1.6651498509346752,3.6158911582066757,-1.3844287436555436,1.613889351124206,2.4352722028785276,-1.3491716296330192,1.8921663573434022,3.795247002112216,0.07625544842600242,0.053440677379530184,0.11669631377502387,0.038477025301767206,1.8833280804501866,3.803921752912687,0.11473247372776985,0.30777554691318965,0.7108257415913588,-0.14998958775029395,0.05344067737953014,0.11669631377502432,0.03847702530176715,5.649860570232044e-16,1.7763568394002505e-15,-2.2797187363966252e-18
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,middle_4_5p4,682,0.002031906500064906,1.0561925749927452,2.110001611309868,0.698971275341898,1.005492318870079,1.8224906743251679,0.7066225038889016,1.416294068672923,2.8167428924401583,-0.06142982043371778,0.068079182486833,0.13698606353560328,0.05377859189115969,1.4294402497377179,2.811403262542603,-0.0076512285425580934,1.7991912903619629e-09,3.932801195816182e-09,-4.445280839520787e-12,0.0680791824868329,0.13698606353560328,0.053778591891159584,2.206053597825707e-16,8.881784197001252e-16,-1.310453863377201e-17,1.710988679344864,3.917069952973731,-1.4101983530040587,1.6158669985621668,2.503503111291642,-1.4211501204654486,1.7835699232193212,3.6684592694568448,0.06945558740962461,0.0640971762218957,0.13167687072285705,0.05058550790297244,1.7809212811250104,3.650477225014183,0.12004109531259703,0.3143031421572698,0.7754617233906362,-0.10908932785120731,0.06409717622189566,0.13167687072285794,0.05058550790297239,4.740254322447592e-16,2.220446049250313e-15,9.360384738408577e-18
pd,r01,data\20260623_191336\h1_real_p2_anti_hip_knee_pd_log.csv,late_5p4_7p4,976,0.002031906500064906,0.8122651827611984,1.9973644785484939,0.44874463784173985,1.0115829866601027,1.5751070620039047,0.7409551376154875,1.3237116939112057,2.606110325612136,-0.3414299360599657,0.06498259606542577,0.13113533557769985,0.049219436643907266,1.3304409847846697,2.6023952865252524,-0.2922104994160584,1.7457757101099195e-09,3.958197769549088e-09,-3.576892359012003e-10,0.06498259606542567,0.1311353355776994,0.049219436643907176,2.1174357899487496e-16,8.881784197001252e-16,5.4245656236487865e-18,1.5219420902148486,3.828764452109537,-1.2442439286765723,1.730801509860222,2.4567306906393465,-1.5496265928464685,1.7499993377788747,4.100572859081933,0.4210569906300513,0.06226214216411978,0.13045096422823654,0.04672616207649508,1.743808473638491,4.105476509744643,0.4677831527065463,0.2950445833569217,0.7081351450044044,-0.1624004885366499,0.062262142164119745,0.13045096422823654,0.04672616207649504,5.082217098646571e-16,1.9984014443252818e-15,1.2967768935170886e-17
pd,r02,data\20260623_191407\h1_real_p2_anti_hip_knee_pd_log.csv,steady_3_7p4,2156,0.0020266300000457704,0.9125617098115586,2.2644017506866834,0.5445702708863203,1.0027677395649772,1.827115472211632,0.6915450893603543,1.385396621532944,2.8345358563307226,-0.1957508684960782,0.0641928894186498,0.1364817760122774,0.048776050183876624,1.3949181268335271,2.8240467160415257,-0.1469748183122016,1.8017111573780508e-09,4.2592329663193595e-09,-1.618323890858828e-10,0.06419288941864972,0.13648177601227696,0.048776050183876526,2.1208578383162495e-16,8.881784197001252e-16,7.659817945871615e-19,1.6182228059449275,4.20966976048361,-1.329734215378236,1.6697775464266547,2.501423194388784,-1.46492140027854,1.7906024344461713,3.9740314914237906,0.23096691316534163,0.06117480300233346,0.1312352787851836,0.04625315422331823,1.7848691064884383,3.9560083358018083,0.2772200673886599,0.30216259708164284,0.7783538405643924,-0.14203288248835605,0.06117480300233341,0.1312352787851836,0.046253154223318174,5.367539725654461e-16,3.774758283725532e-15,-1.941345455861243e-17
