method,direction,acc_gain,row2_acc_torque_rms,row3_total_residual_rms,remaining_after_removing_row2_rms,row2_rms_share_percent
PD,hip_to_knee,2.1,2.913904246975676,2.2446685720680497,1.0269707577665945,73.94053968900855
PD,hip_to_knee,2.2,3.052661592069756,2.377356561251776,1.0269707577665945,74.82687973567545
PD,hip_to_knee,2.3,3.191418937163835,2.510700826832786,1.0269707577665945,75.65491023741153
PD,hip_to_knee,2.4,3.330176282257915,2.644602099754502,1.0269707577665945,76.43020195708571
PD,hip_to_knee,2.5,3.4689336273519946,2.7789798653153497,1.0269707577665945,77.15763793451968
PD,hip_to_knee,2.6,3.607690972446075,2.9137681993023112,1.0269707577665945,77.8415164353436
PD,hip_to_knee,2.7,3.7464483175401546,3.048912650165278,1.0269707577665945,78.48563594428174
PD,hip_to_knee,2.8,3.885205662634234,3.1843678774672695,1.0269707577665945,79.09336575328467
PD,hip_to_knee,2.9,4.023963007728314,3.3200958437051273,1.0269707577665945,79.66770491463832
PD,hip_to_knee,3.0,4.162720352822394,3.4560644156852507,1.0269707577665945,80.21133173665818
EID,hip_to_knee,0.0,0.0,0.9573649233663512,0.9573649233663512,0.0
EID,hip_to_knee,0.1,0.1809062500584424,0.865840365500457,0.9573649233663512,15.893071377195428
EID,hip_to_knee,0.2,0.3618125001168848,0.8051494415250413,0.9573649233663512,27.42712948812702
EID,hip_to_knee,0.3,0.5427187501753271,0.7824997447070653,0.9573649233663512,36.17923184871249
EID,hip_to_knee,0.4,0.7236250002337696,0.8011243476299882,0.9573649233663512,43.04755133118263
EID,hip_to_knee,0.5,0.9045312502922119,0.8583406857914527,0.9573649233663512,48.581186378123256
EID,hip_to_knee,0.6,1.0854375003506542,0.9471807578412494,0.9573649233663512,53.134727458156895
EID,hip_to_knee,0.7,1.2663437504090966,1.0597208055827354,0.9573649233663512,56.947376486105895
EID,hip_to_knee,0.8,1.4472500004675393,1.1892514982818123,0.9573649233663512,60.18635192366105
EID,hip_to_knee,0.9,1.6281562505259815,1.3308208779420931,0.9573649233663512,62.97207181927267
EID,hip_to_knee,1.0,1.8090625005844239,1.480980565297198,0.9573649233663512,65.39345601197358
EID,hip_to_knee,1.1,1.9899687506428665,1.637368865903425,0.9573649233663512,67.51759287355948
EID,hip_to_knee,1.2,2.1708750007013085,1.7983615637274228,0.9573649233663512,69.39605188206004
EID,hip_to_knee,1.3,2.351781250759751,1.962826015563996,0.9573649233663512,71.06912559947047
EID,hip_to_knee,1.4,2.5326875008181933,2.1299581600298954,0.9573649233663512,72.56875235649102
EID,hip_to_knee,1.5,2.713593750876636,2.2991763095077022,0.9573649233663512,73.9205747511234
EID,hip_to_knee,1.6,2.8945000009350785,2.4700517775029325,0.9573649233663512,75.14541807200112
EID,hip_to_knee,1.7,3.0754062509935207,2.6422630466154855,0.9573649233663512,76.26037079779725
EID,hip_to_knee,1.8,3.256312501051963,2.815565018623174,0.9573649233663512,77.27958676147325
EID,hip_to_knee,1.9,3.437218751110405,2.989768031687357,0.9573649233663512,78.2148891844609
EID,hip_to_knee,2.0,3.6181250011688477,3.1647232951911124,0.9573649233663512,79.07623141660387
EID,hip_to_knee,2.1,3.79903125122729,3.34031260955787,0.9573649233663512,79.87205253254281
EID,hip_to_knee,2.2,3.979937501285733,3.5164409943347175,0.9573649233663512,80.60955475228332
EID,hip_to_knee,2.3,4.160843751344174,3.693031322142364,0.9573649233663512,81.29492202815474
EID,hip_to_knee,2.4,4.341750001402617,3.8700203576508274,0.9573649233663512,81.93349385778625
EID,hip_to_knee,2.5,4.52265625146106,4.047355795276654,0.9573649233663512,82.52990466963838
EID,hip_to_knee,2.6,4.703562501519502,4.224994016694888,0.9573649233663512,83.08819648247557
EID,hip_to_knee,2.7,4.884468751577945,4.402898373943704,0.9573649233663512,83.61191063223004
EID,hip_to_knee,2.8,5.0653750016363865,4.581037861016325,0.9573649233663512,84.10416296755639
EID,hip_to_knee,2.9,5.246281251694829,4.759386075900374,0.9573649233663512,84.56770588859527
EID,hip_to_knee,3.0,5.427187501753272,4.937920402102905,0.9573649233663512,85.00497983852934
PD,knee_to_hip,0.0,0.0,1.884981246093258,1.884981246093258,0.0
PD,knee_to_hip,0.1,0.17884775534913658,1.7805612402155637,1.884981246093258,8.665822373081355
