method,direction,t_rel,row2,row3
PD,knee_to_hip,5.80999999999994,4.013775409864972,1.0505197372108845
PD,knee_to_hip,5.81999999999994,3.7469332356745126,0.8684620953891136
PD,knee_to_hip,5.82999999999994,3.4865387557314995,0.6463980935142374
PD,knee_to_hip,5.8399999999999395,3.2301876556827884,0.45227106000170114
PD,knee_to_hip,5.849999999999939,2.9024149778709947,0.20154069329730348
PD,knee_to_hip,5.859999999999939,2.5371549719539366,-0.05529552895211933
PD,knee_to_hip,5.869999999999939,2.179865136533485,-0.31610045024461264
PD,knee_to_hip,5.879999999999939,1.900975778501924,-0.5149612534997992
PD,knee_to_hip,5.889999999999938,1.624053698087383,-0.7016423412663129
PD,knee_to_hip,5.899999999999938,1.268511590322063,-0.9994766821034329
PD,knee_to_hip,5.909999999999938,0.9506464675067384,-1.2525250858258903
PD,knee_to_hip,5.919999999999938,0.7082175188300586,-1.396617076764051
PD,knee_to_hip,5.9299999999999375,0.5871091441374846,-1.3976538461188281
PD,knee_to_hip,5.939999999999937,0.4605741688535908,-1.4275170884756114
PD,knee_to_hip,5.949999999999937,0.34837212834547454,-1.4607591502051158
PD,knee_to_hip,5.959999999999937,0.11429188524502246,-1.6440857987294095
PD,knee_to_hip,5.969999999999937,-0.1454509561320187,-1.8142293945353782
PD,knee_to_hip,5.9799999999999365,-0.26911269767717727,-1.8015806152637492
PD,knee_to_hip,5.989999999999936,-0.27454954639642526,-1.6811944998591772
PD,knee_to_hip,5.999999999999936,-0.2927208924793765,-1.579495325515175
PD,knee_to_hip,6.009999999999936,-0.3013224516430233,-1.4830725653988126
PD,knee_to_hip,6.019999999999936,-0.2860650814247147,-1.4024718886295662
PD,knee_to_hip,6.029999999999935,-0.3644130267251745,-1.467886339928113
PD,knee_to_hip,6.039999999999935,-0.46146911354418985,-1.5157558749561495
PD,knee_to_hip,6.049999999999935,-0.5036142599133994,-1.4819858762976357
PD,knee_to_hip,6.059999999999935,-0.548175767640027,-1.4287399722052279
PD,knee_to_hip,6.069999999999935,-0.6104668083044993,-1.394862476339257
PD,knee_to_hip,6.079999999999934,-0.5698612289691887,-1.2563443613242447
PD,knee_to_hip,6.089999999999934,-0.7019335985719006,-1.3248498368543316
PD,knee_to_hip,6.099999999999934,-0.8671725725854744,-1.441282003961575
PD,knee_to_hip,6.109999999999934,-0.9890128647316034,-1.5436238648052278
PD,knee_to_hip,6.1199999999999335,-1.061038134593867,-1.584581722883206
PD,knee_to_hip,6.129999999999933,-1.1147404429231442,-1.6009223305603417
PD,knee_to_hip,6.139999999999933,-1.179713615400194,-1.6083523232948
PD,knee_to_hip,6.149999999999933,-1.3439849597242102,-1.7061281848312162
PD,knee_to_hip,6.159999999999933,-1.5178378967519495,-1.8472764605360503
PD,knee_to_hip,6.169999999999932,-1.518092689783524,-1.8221053242616274
PD,knee_to_hip,6.179999999999932,-1.5541069821108224,-1.8323808335859986
PD,knee_to_hip,6.189999999999932,-1.5612909911401318,-1.8232244529604031
PD,knee_to_hip,6.199999999999932,-1.5913222248936552,-1.8328375480528714
PD,knee_to_hip,6.209999999999932,-1.6806832348055871,-1.9057978759846723
PD,knee_to_hip,6.219999999999931,-1.7625046389089765,-1.976043638705751
PD,knee_to_hip,6.229999999999931,-1.8369027156456164,-2.033877918857547
PD,knee_to_hip,6.239999999999931,-2.0033882920518065,-2.1782196214904053
PD,knee_to_hip,6.249999999999931,-2.1392689080891043,-2.3043767490080462
PD,knee_to_hip,6.2599999999999305,-1.9996375886724418,-2.1665370808047095
PD,knee_to_hip,6.26999999999993,-1.681024198577837,-1.8395386483080103
PD,knee_to_hip,6.27999999999993,-1.6303188789222773,-1.7756580352847844
PD,knee_to_hip,6.28999999999993,-1.8830371466059692,-2.021744349774742
PD,knee_to_hip,6.29999999999993,-2.268051900320346,-2.40118911687873
PD,knee_to_hip,6.309999999999929,-2.3018746741758753,-2.4417745034876317
PD,knee_to_hip,6.319999999999929,-1.7167975365093209,-1.876807152898485
PD,knee_to_hip,6.329999999999929,-0.7925077633442645,-0.9648533875508694
PD,knee_to_hip,6.339999999999929,-0.15186297990499703,-0.324964716128532
PD,knee_to_hip,6.349999999999929,-0.13604621336003067,-0.30163963401269844
PD,knee_to_hip,6.359999999999928,-0.6136931780222405,-0.7791585552211593
PD,knee_to_hip,6.369999999999928,-1.0364284650653373,-1.2054295286051402
PD,knee_to_hip,6.379999999999928,-1.1543473819144618,-1.327126555645787
PD,knee_to_hip,6.389999999999928,-1.3085677176594228,-1.48817309145219
PD,knee_to_hip,6.3999999999999275,-1.7464747613899618,-1.9171201420039636
PD,knee_to_hip,6.409999999999927,-2.389629995960692,-2.544957101616815
PD,knee_to_hip,6.419999999999927,-3.0912830674386726,-3.2504849996303684
PD,knee_to_hip,6.429999999999927,-3.5356219530861956,-3.695533876476233
PD,knee_to_hip,6.439999999999927,-3.605292979164253,-3.771962995133248
PD,knee_to_hip,6.4499999999999265,-3.479100724164655,-3.676143781425867
PD,knee_to_hip,6.459999999999926,-3.252010788569597,-3.469759727118016
PD,knee_to_hip,6.469999999999926,-2.913282565342697,-3.1615531014822613
PD,knee_to_hip,6.479999999999926,-2.5456237257863075,-2.839059596521828
PD,knee_to_hip,6.489999999999926,-2.277815727633171,-2.5985884902757097
PD,knee_to_hip,6.499999999999925,-2.0348254362595717,-2.390215564372369
PD,knee_to_hip,6.509999999999925,-1.7109972529906117,-2.133310817867494
PD,knee_to_hip,6.519999999999925,-1.2450527074499107,-1.7464714739516858
PD,knee_to_hip,6.529999999999925,-0.9600637625512212,-1.5448642802430428
PD,knee_to_hip,6.5399999999999245,-0.7590916463517038,-1.416325781655496
PD,knee_to_hip,6.549999999999924,-0.635416082692122,-1.3510379003010802
PD,knee_to_hip,6.559999999999924,-0.5344628040953264,-1.2926622401746388
PD,knee_to_hip,6.569999999999924,-0.3358058995184366,-1.14808057211672
PD,knee_to_hip,6.579999999999924,-0.21160454761793898,-1.0946498101119333
PD,knee_to_hip,6.5899999999999235,-0.23869253521455938,-1.2197440913243656
PD,knee_to_hip,6.599999999999923,-0.3568922155923676,-1.4415118940488096
PD,knee_to_hip,6.609999999999923,-0.3601029160663623,-1.550249014701076
PD,knee_to_hip,6.619999999999923,-0.33914490271892245,-1.614640905413875
PD,knee_to_hip,6.629999999999923,-0.16911110960351666,-1.4669383760442254
PD,knee_to_hip,6.639999999999922,0.04924246670406951,-1.2580084388213686
PD,knee_to_hip,6.649999999999922,0.2094151438017322,-1.1494872839862875
PD,knee_to_hip,6.659999999999922,0.4472721398514093,-1.0206712281925898
PD,knee_to_hip,6.669999999999922,0.65759030454657,-0.935665495456273
PD,knee_to_hip,6.679999999999922,0.8389826289298183,-0.8614969290291828
