candidate,scan,group,repeat,joint,signal,freq_hz,amp
O4,ko,o4,r01,Hip,tau_est,37.55230125523013,0.03765672202358777
O4,ko,o4,r01,Hip,tau_est,37.96861924686193,0.03212999849249264
O4,ko,o4,r01,Hip,tau_est,38.38493723849373,0.031703976248042484
O4,ko,o4,r01,Hip,tau_est,38.80125523012552,0.03676425319363722
O4,ko,o4,r01,Hip,tau_est,39.21757322175732,0.03853630186410784
O4,ko,o4,r01,Hip,tau_est,39.63389121338912,0.0391543629773403
O4,ko,o4,r01,Hip,tau_est,40.05020920502092,0.036688871646030796
O4,ko,o4,r01,Hip,tau_est,40.46652719665272,0.038023323197772727
O4,ko,o4,r01,Hip,tau_est,40.88284518828452,0.0486549702584995
O4,ko,o4,r01,Hip,tau_est,41.29916317991632,0.05933178758175979
O4,ko,o4,r01,Hip,tau_est,41.71548117154812,0.07004415577402162
O4,ko,o4,r01,Hip,tau_est,42.13179916317992,0.06909575252810372
O4,ko,o4,r01,Hip,tau_est,42.54811715481171,0.06400254857727014
O4,ko,o4,r01,Hip,tau_est,42.96443514644351,0.04298051972492913
O4,ko,o4,r01,Hip,tau_est,43.38075313807531,0.030458829154945594
O4,ko,o4,r01,Hip,tau_est,43.79707112970711,0.032539916554279055
O4,ko,o4,r01,Hip,tau_est,44.21338912133891,0.038974151684382494
O4,ko,o4,r01,Hip,tau_est,44.62970711297071,0.047885000999828536
O4,ko,o4,r01,Hip,tau_est,45.04602510460251,0.035543235513138455
O4,ko,o4,r01,Hip,tau_est,45.46234309623431,0.02320297062986121
O4,ko,o4,r01,Hip,tau_est,45.87866108786611,0.021073473346532107
O4,ko,o4,r01,Hip,tau_est,46.29497907949791,0.021332225262844576
O4,ko,o4,r01,Hip,tau_est,46.71129707112971,0.024560845768430338
O4,ko,o4,r01,Hip,tau_est,47.12761506276151,0.0328620419742378
O4,ko,o4,r01,Hip,tau_est,47.54393305439331,0.04318344631722558
O4,ko,o4,r01,Hip,tau_est,47.96025104602511,0.027642422777682096
O4,ko,o4,r01,Hip,tau_est,48.37656903765691,0.017881025002820666
O4,ko,o4,r01,Hip,tau_est,48.79288702928871,0.02627382282676717
O4,ko,o4,r01,Hip,tau_est,49.2092050209205,0.029470327895006483
O4,ko,o4,r01,Hip,tau_est,49.6255230125523,0.027937452309764094
O4,ko,o4,r01,Hip,tau_est,50.0418410041841,0.033488629604782015
O4,ko,o4,r01,Hip,tau_est,50.4581589958159,0.04089229611478389
O4,ko,o4,r01,Hip,tau_est,50.8744769874477,0.04834047017890569
O4,ko,o4,r01,Hip,tau_est,51.2907949790795,0.04586629045374714
O4,ko,o4,r01,Hip,tau_est,51.7071129707113,0.023415851527200444
O4,ko,o4,r01,Hip,tau_est,52.12343096234309,0.02285214499800174
O4,ko,o4,r01,Hip,tau_est,52.53974895397489,0.03679979375402608
O4,ko,o4,r01,Hip,tau_est,52.95606694560669,0.037011132802183405
O4,ko,o4,r01,Hip,tau_est,53.37238493723849,0.03426974643916992
O4,ko,o4,r01,Hip,tau_est,53.78870292887029,0.02592352002610435
O4,ko,o4,r01,Hip,tau_est,54.20502092050209,0.018644188069847085
O4,ko,o4,r01,Hip,tau_est,54.62133891213389,0.012902292050409965
O4,ko,o4,r01,Hip,tau_est,55.03765690376569,0.006938589372343271
O4,ko,o4,r01,Hip,tau_est,55.453974895397494,0.0008700798371723915
O4,ko,o4,r01,Hip,tau_est,55.87029288702929,0.010424492472163194
O4,ko,o4,r01,Hip,tau_est,56.28661087866109,0.01982543062428378
O4,ko,o4,r01,Hip,tau_est,56.70292887029289,0.025636826003685415
O4,ko,o4,r01,Hip,tau_est,57.11924686192469,0.027427844707838614
O4,ko,o4,r01,Hip,tau_est,57.53556485355649,0.024991581672422308
O4,ko,o4,r01,Hip,tau_est,57.95188284518829,0.022575692160681317
O4,ko,o4,r01,Hip,tau_est,58.36820083682009,0.020419879712210483
O4,ko,o4,r01,Hip,tau_est,58.78451882845188,0.027630754719845264
O4,ko,o4,r01,Hip,tau_est,59.20083682008368,0.033089186728061944
O4,ko,o4,r01,Hip,tau_est,59.61715481171548,0.03437570342883688
O4,ko,o4,r01,Hip,tau_est,60.03347280334728,0.026945819105649575
O4,ko,o4,r01,Hip,tau_est,60.44979079497908,0.012811948640084378
O4,ko,o4,r01,Hip,tau_est,60.86610878661088,0.017318785740083366
O4,ko,o4,r01,Hip,tau_est,61.28242677824268,0.024620725661515703
O4,ko,o4,r01,Hip,tau_est,61.69874476987448,0.02421218872617019
O4,ko,o4,r01,Hip,tau_est,62.11506276150628,0.02310725987254062
O4,ko,o4,r01,Hip,tau_est,62.53138075313807,0.02083470904478118
O4,ko,o4,r01,Hip,tau_est,62.94769874476987,0.017198583819043305
O4,ko,o4,r01,Hip,tau_est,63.36401673640167,0.0128055428065476
O4,ko,o4,r01,Hip,tau_est,63.78033472803347,0.011433102037233444
O4,ko,o4,r01,Hip,tau_est,64.19665271966528,0.011370317703351385
O4,ko,o4,r01,Hip,tau_est,64.61297071129707,0.01589361627282348
O4,ko,o4,r01,Hip,tau_est,65.02928870292887,0.02257927884602129
O4,ko,o4,r01,Hip,tau_est,65.44560669456067,0.03189300116380735
O4,ko,o4,r01,Hip,tau_est,65.86192468619247,0.04044514860113721
O4,ko,o4,r01,Hip,tau_est,66.27824267782427,0.04870236327679813
O4,ko,o4,r01,Hip,tau_est,66.69456066945607,0.032634201796472306
O4,ko,o4,r01,Hip,tau_est,67.11087866108787,0.021832265277979976
O4,ko,o4,r01,Hip,tau_est,67.52719665271967,0.026718875367334388
O4,ko,o4,r01,Hip,tau_est,67.94351464435147,0.02900045500169398
O4,ko,o4,r01,Hip,tau_est,68.35983263598327,0.02896437206780547
O4,ko,o4,r01,Hip,tau_est,68.77615062761507,0.022768567691739697
O4,ko,o4,r01,Hip,tau_est,69.19246861924687,0.015887449516921098
O4,ko,o4,r01,Hip,tau_est,69.60878661087867,0.020883690228148406
O4,ko,o4,r01,Hip,tau_est,70.02510460251047,0.026645694621162837
O4,ko,o4,r01,Hip,tau_est,70.44142259414227,0.033910633892508805
O4,ko,o4,r01,Hip,tau_est,70.85774058577405,0.044975762594403064
O4,ko,o4,r01,Hip,tau_est,71.27405857740585,0.05850148478875968
O4,ko,o4,r01,Hip,tau_est,71.69037656903765,0.0661166642399883
O4,ko,o4,r01,Hip,tau_est,72.10669456066945,0.06936157157357559
O4,ko,o4,r01,Hip,tau_est,72.52301255230125,0.05189794953044661
O4,ko,o4,r01,Hip,tau_est,72.93933054393305,0.037554730190588734
O4,ko,o4,r01,Hip,tau_est,73.35564853556485,0.02760418798809799
O4,ko,o4,r01,Hip,tau_est,73.77196652719665,0.030571220298986644
O4,ko,o4,r01,Hip,tau_est,74.18828451882845,0.039484561243075804
O4,ko,o4,r01,Hip,tau_est,74.60460251046025,0.04169285555691947
O4,ko,o4,r01,Hip,tau_est,75.02092050209205,0.04175560206307944
O4,ko,o4,r01,Hip,tau_est,75.43723849372385,0.03548797889189458
O4,ko,o4,r01,Hip,tau_est,75.85355648535565,0.03746389499723786
