family,scan,group,ko_scale,ku_scale,repeat,log_path,joint,eta_u_rms,comp_rms,tau_dist_rms,eta_to_dist_rms_ratio,corr_eta_u_tau_dist_zero_lag,corr_minus_eta_u_tau_dist_zero_lag,best_corr_minus_eta_u_tau_dist,best_lag_ms_minus_eta_u_tau_dist
P4D,ku,u1,1.0,0.5,r02,data/20260623_192109/h1_real_p4_ku_u1_hip_knee_eid_log.csv,Hip,0.010843704990973995,0.010843704990973995,5.4372149327047286,0.0019943491521273783,0.29679133241560257,-0.29679133241560257,-0.30401750977887787,12.199973998122005
P4D,ku,u1,1.0,0.5,r02,data/20260623_192109/h1_real_p4_ku_u1_hip_knee_eid_log.csv,Knee,0.023907340190610575,0.023907340190610575,3.624809955136486,0.0065954741038859194,0.6305416393314808,-0.6305416393314808,-0.640400045213281,-12.199973998122005
P4D,ku,u1,1.0,0.5,r03,data/20260623_192124/h1_real_p4_ku_u1_hip_knee_eid_log.csv,Hip,0.010408247605877429,0.010408247605877429,5.440068075060245,0.001913256867794281,0.3039518690365159,-0.3039518690365159,-0.31464658018655073,14.229372499585224
P4D,ku,u1,1.0,0.5,r03,data/20260623_192124/h1_real_p4_ku_u1_hip_knee_eid_log.csv,Knee,0.02364168919593896,0.02364168919593896,3.6267120500401635,0.006518766549353469,0.631763164098632,-0.631763164098632,-0.6488254853742953,-12.196604999644478
P4D,ku,u2,1.0,0.75,r01,data/20260623_192139/h1_real_p4_ku_u2_hip_knee_eid_log.csv,Hip,0.018601617147021715,0.018601617147021715,5.442134643511034,0.0034180736724699523,0.2721686959104932,-0.2721686959104932,-0.2775486584374094,4.055024999843226
P4D,ku,u2,1.0,0.75,r01,data/20260623_192139/h1_real_p4_ku_u2_hip_knee_eid_log.csv,Knee,0.03576533948332205,0.03576533948332205,3.6280897623406894,0.009857898185034918,0.6299172289121007,-0.6299172289121007,-0.6389854106882638,-10.137562499608066
P4D,ku,u2,1.0,0.75,r02,data/20260623_192155/h1_real_p4_ku_u2_hip_knee_eid_log.csv,Hip,0.017024503312128576,0.017024503312128576,5.439576389609765,0.0031297479974079223,0.2490271429386728,-0.2490271429386728,-0.2583582781214625,22.357588002023476
P4D,ku,u2,1.0,0.75,r02,data/20260623_192155/h1_real_p4_ku_u2_hip_knee_eid_log.csv,Knee,0.03503747369340872,0.03503747369340872,3.626384259739843,0.009661820475671906,0.6493346997271544,-0.6493346997271544,-0.6581238616056019,-12.195048001103714
P4D,ku,u2,1.0,0.75,r03,data/20260623_192210/h1_real_p4_ku_u2_hip_knee_eid_log.csv,Hip,0.01713944539309088,0.01713944539309088,5.4367266756593695,0.003152530266019341,0.26183635323486665,-0.26183635323486665,-0.28552499030420225,22.349448001818928
P4D,ku,u2,1.0,0.75,r03,data/20260623_192210/h1_real_p4_ku_u2_hip_knee_eid_log.csv,Knee,0.035458645738592684,0.035458645738592684,3.6244844504395797,0.009783086732319196,0.6253056592721379,-0.6253056592721379,-0.6325459671532886,-10.158840000826785
P4D,ku,u3,1.0,1.0,r01,data/20260623_192226/h1_real_p4_ku_u3_hip_knee_eid_log.csv,Hip,0.019648168662242078,0.019648168662242078,5.437676021465766,0.003613339335532125,0.3310773275222823,-0.3310773275222823,-0.3426349635954256,14.23055199825285
P4D,ku,u3,1.0,1.0,r01,data/20260623_192226/h1_real_p4_ku_u3_hip_knee_eid_log.csv,Knee,0.04733333558701559,0.04733333558701559,3.625117347643844,0.013057049206360185,0.6276581310840305,-0.6276581310840305,-0.6372027091091073,-16.263487998003257
P4D,ku,u3,1.0,1.0,r02,data/20260623_192241/h1_real_p4_ku_u3_hip_knee_eid_log.csv,Hip,0.023630185406544164,0.023630185406544164,5.44033872561461,0.004343513630003727,0.24751274264402703,-0.24751274264402703,-0.2662297207681573,20.330250001734385
P4D,ku,u3,1.0,1.0,r02,data/20260623_192241/h1_real_p4_ku_u3_hip_knee_eid_log.csv,Knee,0.04722371232124317,0.04722371232124317,3.6268924837430734,0.013020433479325732,0.6095639196852808,-0.6095639196852808,-0.6301938692875617,-12.19815000104063
P4D,ku,u3,1.0,1.0,r03,data/20260623_192257/h1_real_p4_ku_u3_hip_knee_eid_log.csv,Hip,0.028809667572450244,0.028809667572450244,5.4375031325769125,0.005298326616098319,0.18922050576510313,-0.18922050576510313,-0.20026290833432256,24.38204399868482
P4D,ku,u3,1.0,1.0,r03,data/20260623_192257/h1_real_p4_ku_u3_hip_knee_eid_log.csv,Knee,0.04722052508563317,0.04722052508563317,3.6250020883846084,0.01302634424320451,0.6261576572597354,-0.6261576572597354,-0.6350486054147695,-12.19102199934241
P4D,ku,u4,1.0,1.25,r01,data/20260623_192312/h1_real_p4_ku_u4_hip_knee_eid_log.csv,Hip,0.028790862551583245,0.028790862551583245,5.438862229935463,0.005293545108224753,0.25446335499940903,-0.25446335499940903,-0.2827616185398906,20.334519999778422
P4D,ku,u4,1.0,1.25,r01,data/20260623_192312/h1_real_p4_ku_u4_hip_knee_eid_log.csv,Knee,0.05931140476963217,0.05931140476963217,3.625908153290309,0.016357668827273075,0.6257758505504496,-0.6257758505504496,-0.6442067186791455,-20.334519999778422
P4D,ku,u4,1.0,1.25,r02,data/20260623_192327/h1_real_p4_ku_u4_hip_knee_eid_log.csv,Hip,0.03165053790257857,0.03165053790257857,5.436921634681308,0.005821407779851843,0.22277833830388957,-0.22277833830388957,-0.2294631916441558,22.258219499917686
P4D,ku,u4,1.0,1.25,r02,data/20260623_192327/h1_real_p4_ku_u4_hip_knee_eid_log.csv,Knee,0.05866190019282754,0.05866190019282754,3.624614423120872,0.016184314618027253,0.6300706557337178,-0.6300706557337178,-0.6337481374417805,-12.140846999955102
P4D,ku,u4,1.0,1.25,r03,data/20260623_192343/h1_real_p4_ku_u4_hip_knee_eid_log.csv,Hip,0.0274381365884849,0.0274381365884849,5.4381672267084955,0.005045474963279514,0.26710760817717344,-0.26710760817717344,-0.2761075870288121,24.42195600224295
P4D,ku,u4,1.0,1.25,r03,data/20260623_192343/h1_real_p4_ku_u4_hip_knee_eid_log.csv,Knee,0.058620030209843056,0.058620030209843056,3.625444817805664,0.016169058737825006,0.6352625688485144,-0.6352625688485144,-0.6457767187198951,-10.175815000934563
