family,scan,group,ko_scale,ku_scale,repeat,log_path,joint,u_star_rms,u_feedback_rms,u_eid_comp_rms,u_raw_rms,u_t_rms,tau_cmd_rms,tau_est_rms,tau_dist_rms
P4D,ko,o1,0.25,1.0,r01,data/20260623_191700/h1_real_p4_ko_o1_hip_knee_eid_log.csv,Hip,2.5796371132128435,5.716511706229954,0.020562677542513254,7.756581299652382,7.646367618061001,2.622635053909759,2.6163905174603808,5.434061693438075
P4D,ko,o1,0.25,1.0,r01,data/20260623_191700/h1_real_p4_ko_o1_hip_knee_eid_log.csv,Knee,1.1240828719017208,4.962254540826476,0.053221692681833216,5.366621740397666,5.364330866014952,2.570152547313374,2.523501786495775,3.6227077956253826
P4D,ko,o1,0.25,1.0,r02,data/20260623_191715/h1_real_p4_ko_o1_hip_knee_eid_log.csv,Hip,2.5782887405795654,5.753413053717972,0.020280414935823863,7.798882641499154,7.667464671065416,2.7239993817827557,2.6997474604511082,5.440007099717492
P4D,ko,o1,0.25,1.0,r02,data/20260623_191715/h1_real_p4_ko_o1_hip_knee_eid_log.csv,Knee,1.1235340045172386,4.912627831758895,0.052077875525753464,5.295718508046542,5.276649249211378,2.5955183655995113,2.5771963303420056,3.626671399811662
P4D,ko,o1,0.25,1.0,r03,data/20260623_191727/h1_real_p4_ko_o1_hip_knee_eid_log.csv,Hip,2.578589853949751,5.678323774547925,0.0202407682699705,7.707481961918604,7.621435997220068,2.612765293376965,2.592563132383992,5.436769913287826
P4D,ko,o1,0.25,1.0,r03,data/20260623_191727/h1_real_p4_ko_o1_hip_knee_eid_log.csv,Knee,1.1236514666351887,4.970181373705342,0.05330493731881797,5.3809591786933755,5.3811172442645505,2.6003752006792613,2.5485974882063065,3.624513275525217
P4D,ko,o2,0.5,1.0,r01,data/20260623_191742/h1_real_p4_ko_o2_hip_knee_eid_log.csv,Hip,2.5802196343518133,5.750725662856562,0.017678426619106687,7.787655679002203,7.657667929095714,2.6042442875184424,2.562292910864407,5.43696139219186
P4D,ko,o2,0.5,1.0,r01,data/20260623_191742/h1_real_p4_ko_o2_hip_knee_eid_log.csv,Knee,1.123894465611843,5.099497230714794,0.04894138055546739,5.5179824897539875,5.459727667061341,2.690620620080678,2.634854817544882,3.6246409281279064
P4D,ko,o2,0.5,1.0,r02,data/20260623_191754/h1_real_p4_ko_o2_hip_knee_eid_log.csv,Hip,2.5788171963826203,5.790990220613073,0.018837622937523668,7.803816392383189,7.673261293451262,2.632434039647439,2.60021365379276,5.4379268749888725
P4D,ko,o2,0.5,1.0,r02,data/20260623_191754/h1_real_p4_ko_o2_hip_knee_eid_log.csv,Knee,1.1254724115110297,5.116183610914567,0.04944498697971617,5.554571527840323,5.517275237233688,2.8044413331426745,2.763911564024138,3.625284583325915
P4D,ko,o2,0.5,1.0,r03,data/20260623_191810/h1_real_p4_ko_o2_hip_knee_eid_log.csv,Hip,2.579171300239577,5.802482578435439,0.017956915406542297,7.820765765875586,7.693034822317445,2.642315614913402,2.605860216352656,5.439288860225124
P4D,ko,o2,0.5,1.0,r03,data/20260623_191810/h1_real_p4_ko_o2_hip_knee_eid_log.csv,Knee,1.1245135726011268,5.111159750588945,0.04914239517423981,5.548218501855546,5.506502074932412,2.808944891650186,2.7561095784136893,3.6261925734834164
P4D,ko,o3,0.75,1.0,r01,data/20260623_191825/h1_real_p4_ko_o3_hip_knee_eid_log.csv,Hip,2.5792126036175653,5.846523128204865,0.018962465944208584,7.853403651203351,7.648148940160217,2.6623630702671552,2.636957041452891,5.4369444968417175
P4D,ko,o3,0.75,1.0,r01,data/20260623_191825/h1_real_p4_ko_o3_hip_knee_eid_log.csv,Knee,1.1240798480066876,5.462642531540702,0.048495881612315966,5.893518012762554,5.674061221222474,3.0465871473177963,2.982309664847442,3.624629664561145
P4D,ko,o3,0.75,1.0,r02,data/20260623_191841/h1_real_p4_ko_o3_hip_knee_eid_log.csv,Hip,2.5821224338219815,5.802052885434385,0.01815001071161174,7.824497029694939,7.702350668327728,2.6634526486598578,2.6421410674391232,5.44119785765659
P4D,ko,o3,0.75,1.0,r02,data/20260623_191841/h1_real_p4_ko_o3_hip_knee_eid_log.csv,Knee,1.1241367951557557,5.2345425785588535,0.04802006869293481,5.68959336528667,5.57679897428024,2.8818899807881775,2.8318137256561413,3.627465238437727
P4D,ko,o3,0.75,1.0,r03,data/20260623_191853/h1_real_p4_ko_o3_hip_knee_eid_log.csv,Hip,2.5775523091881496,5.818439851689992,0.019601095817184992,7.823689109960422,7.663591302572142,2.6602722310926645,2.634284083674665,5.435409742158173
