method,repeat,joint,signal,freq_hz,amp
pd,r01,Hip,tau_est,69.60878661087867,0.025835828784705833
pd,r01,Hip,tau_est,70.02510460251047,0.04005706251017469
pd,r01,Hip,tau_est,70.44142259414227,0.04889668261801024
pd,r01,Hip,tau_est,70.85774058577405,0.04957492939706669
pd,r01,Hip,tau_est,71.27405857740585,0.03720980210542034
pd,r01,Hip,tau_est,71.69037656903765,0.025244297303276667
pd,r01,Hip,tau_est,72.10669456066945,0.013492025251921495
pd,r01,Hip,tau_est,72.52301255230125,0.01099626059233807
pd,r01,Hip,tau_est,72.93933054393305,0.010029551107811653
pd,r01,Hip,tau_est,73.35564853556485,0.012187057024212144
pd,r01,Hip,tau_est,73.77196652719665,0.014804109199698762
pd,r01,Hip,tau_est,74.18828451882845,0.017974692849926626
pd,r01,Hip,tau_est,74.60460251046025,0.025181341301379445
pd,r01,Hip,tau_est,75.02092050209205,0.03395137645151296
pd,r01,Hip,tau_est,75.43723849372385,0.05633357256127811
pd,r01,Hip,tau_est,75.85355648535565,0.07188002300146139
pd,r01,Hip,tau_est,76.26987447698745,0.06698885169513029
pd,r01,Hip,tau_est,76.68619246861925,0.057856452060734004
pd,r01,Hip,tau_est,77.10251046025104,0.04484566970527072
pd,r01,Hip,tau_est,77.51882845188284,0.03497633561571051
pd,r01,Hip,tau_est,77.93514644351464,0.025780463356546747
pd,r01,Hip,tau_est,78.35146443514644,0.013856734390350836
pd,r01,Hip,tau_est,78.76778242677824,0.011067568579633938
pd,r01,Hip,tau_est,79.18410041841004,0.027346414682313816
pd,r01,Hip,tau_est,79.60041841004184,0.02349624306080938
pd,r01,Hip,tau_est,80.01673640167364,0.005720075341947357
pd,r01,Hip,tau_est,80.43305439330544,0.02993547100957438
pd,r01,Hip,tau_est,80.84937238493724,0.056951260740894
pd,r01,Hip,tau_est,81.26569037656904,0.0551400316283798
pd,r01,Hip,tau_est,81.68200836820084,0.04701528697715658
pd,r01,Hip,tau_est,82.09832635983264,0.02912361981659605
pd,r01,Hip,tau_est,82.51464435146444,0.02326602803973459
pd,r01,Hip,tau_est,82.93096234309624,0.023613243928544757
pd,r01,Hip,tau_est,83.34728033472804,0.018737976132396635
pd,r01,Hip,tau_est,83.76359832635984,0.01636329753320647
pd,r01,Hip,tau_est,84.17991631799163,0.026073674388315926
pd,r01,Hip,tau_est,84.59623430962343,0.028778584423867815
pd,r01,Hip,tau_est,85.01255230125523,0.023304270213761732
pd,r01,Hip,tau_est,85.42887029288703,0.019362891100626764
pd,r01,Hip,tau_est,85.84518828451883,0.015992716226976133
pd,r01,Hip,tau_est,86.26150627615063,0.011715632110006008
pd,r01,Hip,tau_est,86.67782426778243,0.011604807354455177
pd,r01,Hip,tau_est,87.09414225941423,0.023186103705369075
pd,r01,Hip,tau_est,87.51046025104603,0.02817389997988494
pd,r01,Hip,tau_est,87.92677824267783,0.027316516986982557
pd,r01,Hip,tau_est,88.34309623430963,0.022573339914906624
pd,r01,Hip,tau_est,88.75941422594143,0.017231181395860738
pd,r01,Hip,tau_est,89.17573221757323,0.017538226964499064
pd,r01,Hip,tau_est,89.59205020920503,0.0166977161720555
pd,r01,Hip,tau_est,90.00836820083683,0.013544386466506785
pd,r01,Hip,tau_est,90.42468619246861,0.019352504231617555
pd,r01,Hip,tau_est,90.84100418410041,0.03116459772574416
pd,r01,Hip,tau_est,91.25732217573221,0.03425031006464404
pd,r01,Hip,tau_est,91.67364016736401,0.03529203224241576
pd,r01,Hip,tau_est,92.08995815899581,0.03181895901314915
pd,r01,Hip,tau_est,92.50627615062761,0.026064450814394697
pd,r01,Hip,tau_est,92.92259414225941,0.01689288296191065
pd,r01,Hip,tau_est,93.33891213389121,0.013714185883914928
pd,r01,Hip,tau_est,93.75523012552301,0.013520164617040187
pd,r01,Hip,tau_est,94.17154811715481,0.019028666032576712
pd,r01,Hip,tau_est,94.58786610878661,0.025087671705537454
pd,r01,Hip,tau_est,95.00418410041841,0.031748537783561695
pd,r01,Hip,tau_est,95.42050209205021,0.03228613899731274
pd,r01,Hip,tau_est,95.83682008368201,0.025893431594050026
pd,r01,Hip,tau_est,96.25313807531381,0.022537237414715725
pd,r01,Hip,tau_est,96.66945606694561,0.020272294668158053
pd,r01,Hip,tau_est,97.08577405857741,0.019040393973539023
pd,r01,Hip,tau_est,97.5020920502092,0.01872226322362644
pd,r01,Hip,tau_est,97.918410041841,0.02086676022869501
pd,r01,Hip,tau_est,98.3347280334728,0.022288960324648856
pd,r01,Hip,tau_est,98.7510460251046,0.023090441225357243
pd,r01,Hip,tau_est,99.1673640167364,0.018327959225931507
pd,r01,Hip,tau_est,99.5836820083682,0.013338493336357159
pd,r01,Hip,tau_est,100.0,0.022755834711046308
pd,r01,Hip,delta_tau_est,0.5,0.010914408821134019
pd,r01,Hip,delta_tau_est,0.9163179916317992,0.012938949041985146
pd,r01,Hip,delta_tau_est,1.3326359832635983,0.012169758465322476
pd,r01,Hip,delta_tau_est,1.7489539748953975,0.015103697448763559
pd,r01,Hip,delta_tau_est,2.1652719665271967,0.019405336079865894
pd,r01,Hip,delta_tau_est,2.581589958158996,0.013180413768207585
pd,r01,Hip,delta_tau_est,2.997907949790795,0.009062900075707767
pd,r01,Hip,delta_tau_est,3.414225941422594,0.011110603196805183
pd,r01,Hip,delta_tau_est,3.8305439330543933,0.012301083301571078
pd,r01,Hip,delta_tau_est,4.2468619246861925,0.01271347205727771
pd,r01,Hip,delta_tau_est,4.663179916317992,0.009246085857412264
pd,r01,Hip,delta_tau_est,5.079497907949791,0.005060799572483403
pd,r01,Hip,delta_tau_est,5.49581589958159,0.006552528788336781
pd,r01,Hip,delta_tau_est,5.912133891213389,0.007446193771886814
pd,r01,Hip,delta_tau_est,6.328451882845188,0.0070578587342748494
pd,r01,Hip,delta_tau_est,6.7447698744769875,0.007298274066458412
pd,r01,Hip,delta_tau_est,7.161087866108787,0.007988882551499819
