cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
2873,5.746,1,-0.0959071442485,0,-2.71585178375,0,0,-2.71585178375,0,-2.71585178375,0,-0.0909536049105,-0.405231915183,-0.0959071425631,-0.453926057077,0.00495353765257,0.0486941418941,-0.359596689716,0.837895227779,-2.71585178855,0,0,-0.0959026797277,-0.451694639382,-1.82707697335e-06,0.000456769243338,-0.0959071425631,-0.0917674675524,-0.408301628673,-0.453926057077,-0.0939450505095,-0.40535655875,0.00196209205355,0.0485694983275,-3.52398272526,-2.71585178855,0.478298538063,-0.0909536049105,-0.405231915183,0.00495353765257,0.0486941418941,0.00495353765257,0.0486941418941,0,4,0
2873,5.746,2,0.238644868135,0,-0.239720731974,0,0,-0.239720731974,-0,-0.239720731974,0,0.238692006763,0.50653990237,0.238644874414,0.539315183349,4.71323487636e-05,-0.0327752809794,-0.140132401134,-0.158220523045,-0.239720735843,0,0,0.238647849388,0.54080267034,2.28384621029e-06,-0.000570961552575,0.238644874414,0.239709335082,0.510377044221,0.539315183349,0.237526260618,0.506491329614,-0.00111861379585,-0.0328238537354,1.10480119496,-0.239720735843,-0.29835292418,0.238692006763,0.50653990237,4.71323487636e-05,-0.0327752809794,4.71323487636e-05,-0.0327752809794,0,4,0
2874,5.748,1,-0.09683059901,0,-2.51585173607,0,0,-2.51585173607,0,-2.51585173607,0,-0.0917674675524,-0.408301628673,-0.0968306009762,-0.461729206583,0.00506313342385,0.0534275779107,0.471013731956,0.874713900415,-2.51585178855,0,0,-0.0968290906081,-0.460974022528,-4.66086217912e-07,0.000116521554478,-0.0968306009762,-0.0925854612648,-0.40934642089,-0.461729206583,-0.0878491557441,-0.408138365681,0.00898144523215,0.0535908409027,-3.30261647067,-2.51585178855,1.34572763237,-0.0917674675524,-0.408301628673,0.00506313342385,0.0534275779107,0.00506313342385,0.0534275779107,0,4,0
2874,5.748,2,0.239721059799,0,-0.439720749855,0,0,-0.439720749855,-0,-0.439720749855,0,0.239709335082,0.510377044221,0.239721053584,0.538089585112,-1.17185023356e-05,-0.0277125408918,-0.395084141555,-0.139968924739,-0.439720735843,0,0,0.239727923985,0.541524785739,5.82607770666e-07,-0.000145651942668,0.239721053584,0.240731827239,0.511683034488,0.538089585112,0.236422673246,0.510240099977,-0.0032983803385,-0.027849485135,0.290732568057,-0.439720735843,-0.535053066295,0.239709335082,0.510377044221,-1.17185023356e-05,-0.0277125408918,-1.17185023356e-05,-0.0277125408918,0,4,0
2875,5.75,1,-0.0977658703923,0,-2.31585168839,0,0,-2.31585168839,0,-2.31585168839,0,-0.0925854612648,-0.40934642089,-0.0977658737187,-0.467636371213,0.00518041245383,0.0582899503236,0.369790233432,0.913099246077,-2.31585178855,0,0,-0.0977672698553,-0.468334439525,-1.25148178702e-06,0.000312870446754,-0.0977658737187,-0.0934051060896,-0.410761023724,-0.467636371213,-0.0895092166886,-0.409218244033,0.00825665703004,0.0584181271809,-3.0829485422,-2.31585178855,1.28288947951,-0.0925854612648,-0.40934642089,0.00518041245383,0.0582899503236,0.00518041245383,0.0582899503236,0,4,0
2875,5.75,2,0.240787684917,0,-0.476910382509,0,0,-0.476910382509,-0,-0.476910382509,0,0.240731827239,0.511683034488,0.24078768785,0.533317133057,-5.5860611129e-05,-0.0216340985687,-0.362036617799,-0.114873766179,-0.476910383978,0,0,0.240798395685,0.538671050249,1.56435222992e-06,-0.000391088057479,0.24078768785,0.241756383287,0.513451288027,0.533317133057,0.237720084145,0.511557545193,-0.00306760370547,-0.0217595878643,0.141865642533,-0.476910383978,-0.476910383978,0.240731827239,0.511683034488,-5.5860611129e-05,-0.0216340985687,-5.5860611129e-05,-0.0216340985687,0,4,0
2876,5.752,1,-0.0987105742097,0,-2.11585187912,0,0,-2.11585187912,0,-2.11585187912,0,-0.0934051060896,-0.410761023724,-0.0987105727077,-0.472349494519,0.00530546661809,0.0615884707945,-0.745339275138,0.944598348144,-2.11585178855,0,0,-0.0987134782553,-0.473802268298,-2.96173871335e-06,0.000740434678339,-0.0987105727077,-0.094230250311,-0.414793414736,-0.472349494519,-0.0996055021393,-0.41101937356,-0.000894929431584,0.0613301209591,-2.86431831971,-2.11585178855,0.199259073006,-0.0934051060896,-0.410761023724,0.00530546661809,0.0615884707945,0.00530546661809,0.0615884707945,0,4,0
2876,5.752,2,0.241842195392,0,-0.27691039443,0,0,-0.27691039443,-0,-0.27691039443,0,0.241756383287,0.513451288027,0.241842191126,0.52725163811,-8.58078396392e-05,-0.0138003500827,-0.013210253579,-0.0792986911701,-0.276910383978,0,0,0.241854889579,0.533600864342,3.70217338239e-06,-0.000925543345595,0.241842191126,0.24278781358,0.518491776779,0.52725163811,0.24164648863,0.513446709083,-0.000195702496795,-0.0138049290267,0.946578106639,-0.276910383978,-0.0925089447491,0.241756383287,0.513451288027,-8.58078396392e-05,-0.0138003500827,-8.58078396392e-05,-0.0138003500827,0,4,0
2877,5.754,1,-0.0996643081307,0,-1.91585183144,0,0,-1.91585183144,0,-1.91585183144,0,-0.094230250311,-0.414793414736,-0.0996643046664,-0.476865979372,0.00543405435544,0.0620725646367,-1.73361985388,0.962449345836,-1.91585178855,0,0,-0.09966672897,-0.478078131158,-4.46720140308e-06,0.00111680035077,-0.0996643046664,-0.0950658187014,-0.421134596227,-0.476865979372,-0.108652044589,-0.415394322831,-0.0089877399229,0.0614716565418,-2.64573965261,-1.91585178855,-0.771170508039,-0.094230250311,-0.414793414736,0.00543405435544,0.0620725646367,0.00543405435544,0.0620725646367,0,4,0
2877,5.754,2,0.24288842082,0,-0.0769103839993,0,0,-0.0769103839993,-0,-0.0769103839993,0,0.24278781358,0.518491776779,0.242888423502,0.523116188002,-0.00010060992216,-0.00462441122354,0.29861550537,-0.0351952467769,-0.0769103839784,0,0,0.242900480715,0.529144794323,5.58400173933e-06,-0.00139600043483,0.242888423502,0.243832274085,0.526418253622,0.523116188002,0.245271963365,0.51859528302,0.00238353986255,-0.00452090498251,1.7437198978,-0.0769103839784,0.263420258593,0.24278781358,0.518491776779,-0.00010060992216,-0.00462441122354,-0.00010060992216,-0.00462441122354,0,4,0
